,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19990929,1999.7433,-263.4,147.4,-23.0,rrr,4.6,4.7,15.7,-0.0823,Southern_California.19990929.stacov.point-2016/02/16-09:28:40 
1,19990930,1999.746,-262.5,147.1,-30.7,rrr,4.1,4.5,14.5,-0.0038,Southern_California.19990930.stacov.point-2016/02/16-09:28:40 
2,19991001,1999.7488,-265.5,147.1,-17.6,rrr,4.3,4.7,14.9,-0.0238,Southern_California.19991001.stacov.point-2016/02/16-09:28:41 
3,19991002,1999.7515,-264.3,150.2,-12.8,rrr,4.1,4.5,14.5,-0.0328,Southern_California.19991002.stacov.point-2016/02/16-09:28:41 
4,19991003,1999.7542,-263.2,147.6,-26.0,rrr,4.1,4.5,14.8,-0.0445,Southern_California.19991003.stacov.point-2016/02/16-09:28:42 
5,19991004,1999.757,-261.0,146.4,-26.6,rrr,4.0,4.2,13.8,-0.0425,Southern_California.19991004.stacov.point-2016/02/16-09:28:42 
6,19991005,1999.7597,-265.1,147.7,-25.2,rrr,4.1,4.2,14.2,-0.0416,Southern_California.19991005.stacov.point-2016/02/16-09:28:43 
7,19991006,1999.7624,-263.4,150.0,-22.7,rrr,4.0,4.2,14.0,-0.0287,Southern_California.19991006.stacov.point-2016/02/16-09:28:43 
8,19991007,1999.7652,-262.0,147.3,-31.0,rrr,4.1,4.3,14.9,-0.0522,Southern_California.19991007.stacov.point-2016/02/16-09:28:44 
9,19991008,1999.7679,-259.7,149.2,-21.7,rrr,4.0,4.3,14.1,-0.0397,Southern_California.19991008.stacov.point-2016/02/16-09:28:44 
10,19991009,1999.7707,-261.6,150.2,-26.8,rrr,4.0,4.1,14.0,-0.0358,Southern_California.19991009.stacov.point-2016/02/16-09:28:44 
11,19991010,1999.7734,-260.6,147.8,-28.6,rrr,3.9,4.1,13.8,-0.0175,Southern_California.19991010.stacov.point-2016/02/16-09:28:45 
12,19991011,1999.7761,-261.0,149.0,-20.4,rrr,3.9,4.2,13.6,-0.0122,Southern_California.19991011.stacov.point-2016/02/16-09:28:45 
13,19991012,1999.7789,-260.3,147.1,-27.9,rrr,4.0,4.3,14.0,-0.0668,Southern_California.19991012.stacov.point-2016/02/16-09:28:46 
14,19991013,1999.7816,-262.4,146.9,-23.6,rrr,3.9,4.2,13.8,-0.0322,Southern_California.19991013.stacov.point-2016/02/16-09:28:46 
15,19991014,1999.7843,-262.2,149.0,-20.3,rrr,3.8,4.3,13.8,-0.0201,Southern_California.19991014.stacov.point-2016/02/16-09:28:47 
16,19991015,1999.7871,-263.1,146.8,-27.6,rrr,3.9,4.3,13.8,-0.0748,Southern_California.19991015.stacov.point-2016/02/16-09:28:47 
17,19991016,1999.7898,-243.4,157.5,-13.9,rrr,3.9,4.2,13.9,-0.0431,Southern_California.19991016.stacov.point-2016/02/16-09:28:48 
18,19991017,1999.7926,-229.1,162.2,-20.0,rrr,3.9,4.2,14.0,-0.0348,Southern_California.19991017.stacov.point-2016/02/16-09:28:48 
19,19991018,1999.7953,-230.4,161.4,-12.8,rrr,4.1,4.4,14.6,-0.0262,Southern_California.19991018.stacov.point-2016/02/16-09:28:49 
20,19991019,1999.798,-230.1,162.6,-18.4,rrr,4.1,4.2,14.5,-0.0456,Southern_California.19991019.stacov.point-2016/02/16-09:28:49 
21,19991020,1999.8008,-230.8,161.5,-14.9,rrr,4.0,4.3,13.8,-0.0527,Southern_California.19991020.stacov.point-2016/02/16-09:28:50 
22,19991021,1999.8035,-230.3,161.0,-18.7,rrr,4.1,4.3,14.3,-0.0302,Southern_California.19991021.stacov.point-2016/02/16-09:28:50 
23,19991022,1999.8062,-230.5,162.8,-14.6,rrr,4.1,4.3,14.5,-0.0376,Southern_California.19991022.stacov.point-2016/02/16-09:28:51 
24,19991023,1999.809,-230.5,162.4,-23.0,rrr,4.1,4.2,14.2,-0.0444,Southern_California.19991023.stacov.point-2016/02/16-09:28:52 
25,19991024,1999.8117,-230.2,159.3,-26.2,rrr,4.0,4.2,14.3,-0.0389,Southern_California.19991024.stacov.point-2016/02/16-09:28:52 
26,19991025,1999.8145,-230.3,161.3,-24.0,rrr,4.1,4.2,14.2,-0.0161,Southern_California.19991025.stacov.point-2016/02/16-09:28:53 
27,19991026,1999.8172,-230.5,165.6,-13.4,rrr,3.9,4.2,14.0,-0.027,Southern_California.19991026.stacov.point-2016/02/16-09:28:53 
28,19991027,1999.8199,-229.6,163.9,-26.2,rrr,4.0,4.3,14.5,-0.0502,Southern_California.19991027.stacov.point-2016/02/16-09:28:54 
29,19991028,1999.8227,-226.9,158.4,-17.6,rrr,4.1,4.4,14.7,-0.0148,Southern_California.19991028.stacov.point-2016/02/16-09:28:54 
30,19991029,1999.8254,-227.0,159.7,-14.8,rrr,4.4,4.6,15.5,-0.0126,Southern_California.19991029.stacov.point-2016/02/16-09:28:55 
31,19991030,1999.8282,-226.6,162.9,-15.1,rrr,4.0,4.4,14.3,0.0014,Southern_California.19991030.stacov.point-2016/02/16-09:28:55 
32,19991031,1999.831,-226.7,162.6,-13.5,rrr,4.3,4.4,14.8,0.0198,Southern_California.19991031.stacov.point-2016/02/16-09:28:56 
33,19991101,1999.8337,-227.5,163.4,-20.1,rrr,4.1,4.3,14.1,-0.0078,Southern_California.19991101.stacov.point-2016/02/16-09:28:57 
34,19991102,1999.8365,-226.6,162.7,-14.9,rrr,4.0,4.2,14.2,-0.0094,Southern_California.19991102.stacov.point-2016/02/16-09:28:57 
35,19991103,1999.8392,-225.3,162.3,-12.3,rrr,4.0,4.2,13.8,0.0283,Southern_California.19991103.stacov.point-2016/02/16-09:28:58 
36,19991104,1999.842,-225.4,163.7,-9.5,rrr,4.2,4.3,14.1,-0.0144,Southern_California.19991104.stacov.point-2016/02/16-09:28:58 
37,19991105,1999.8447,-226.5,163.2,-15.4,rrr,4.2,4.3,14.7,-0.0144,Southern_California.19991105.stacov.point-2016/02/16-09:28:59 
38,19991106,1999.8474,-226.5,161.5,-13.6,rrr,4.0,4.3,13.8,-0.0071,Southern_California.19991106.stacov.point-2016/02/16-09:28:59 
39,19991107,1999.8502,-225.8,161.8,-18.0,rrr,4.0,4.2,14.0,0.0118,Southern_California.19991107.stacov.point-2016/02/16-09:29:00 
40,19991108,1999.8529,-230.6,158.2,-11.2,rrr,4.3,4.4,15.6,0.0147,Southern_California.19991108.stacov.point-2016/02/16-09:29:01 
41,19991109,1999.8556,-228.6,163.0,-16.0,rrr,4.1,4.2,13.9,0.0197,Southern_California.19991109.stacov.point-2016/02/16-09:29:01 
42,19991110,1999.8584,-227.8,161.5,-7.4,rrr,3.9,4.2,14.2,0.0109,Southern_California.19991110.stacov.point-2016/02/16-09:29:02 
43,19991111,1999.8611,-225.1,161.4,-16.1,rrr,3.9,4.2,14.0,-0.0037,Southern_California.19991111.stacov.point-2016/02/16-09:29:02 
44,19991112,1999.8639,-226.5,163.5,-10.6,rrr,4.1,4.4,14.7,0.018,Southern_California.19991112.stacov.point-2016/02/16-09:29:03 
45,19991114,1999.8693,-224.8,160.5,-11.8,rrr,4.0,4.2,14.2,-0.0163,Southern_California.19991114.stacov.point-2016/02/16-09:29:04 
46,19991115,1999.8721,-228.7,162.0,-1.7,rrr,4.1,4.3,15.1,0.0176,Southern_California.19991115.stacov.point-2016/02/16-09:29:05 
47,19991116,1999.8748,-228.1,163.3,-21.3,rrr,4.2,4.3,14.5,0.0328,Southern_California.19991116.stacov.point-2016/02/16-09:29:05 
48,19991117,1999.8775,-233.3,163.4,-12.5,rrr,4.0,4.4,14.7,-0.0339,Southern_California.19991117.stacov.point-2016/02/16-09:29:06 
49,19991118,1999.8803,-228.0,166.3,-10.1,rrr,4.0,4.3,14.4,-0.0137,Southern_California.19991118.stacov.point-2016/02/16-09:29:06 
50,19991119,1999.883,-223.9,159.8,-20.4,rrr,4.1,4.4,14.7,0.0096,Southern_California.19991119.stacov.point-2016/02/16-09:29:07 
51,19991120,1999.8858,-228.6,163.7,-34.2,rrr,4.2,4.5,15.6,0.0167,Southern_California.19991120.stacov.point-2016/02/16-09:29:08 
52,19991121,1999.8885,-225.6,162.1,-18.5,rrr,4.2,4.5,15.2,-0.0001,Southern_California.19991121.stacov.point-2016/02/16-09:29:08 
