,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19991220,1999.9679,-0.8,15.3,-0.1,rrr,3.6,4.2,12.9,0.0179,Southern_California.19991220.stacov.point-2016/02/16-09:29:25 
1,19991221,1999.9706,3.6,13.8,-6.0,rrr,4.0,4.4,14.3,-0.009,Southern_California.19991221.stacov.point-2016/02/16-09:29:26 
2,19991222,1999.9734,2.0,13.8,-7.8,rrr,3.9,4.4,13.9,0.082,Southern_California.19991222.stacov.point-2016/02/16-09:29:26 
3,19991223,1999.9761,3.8,14.5,-14.7,rrr,3.7,4.5,13.5,0.0367,Southern_California.19991223.stacov.point-2016/02/16-09:29:27 
4,19991224,1999.9788,2.3,15.2,-10.8,rrr,3.6,4.2,12.8,0.0243,Southern_California.19991224.stacov.point-2016/02/16-09:29:27 
5,19991225,1999.9816,2.2,14.6,-12.2,rrr,3.7,4.2,13.2,0.018,Southern_California.19991225.stacov.point-2016/02/16-09:29:28 
6,19991226,1999.9843,3.1,14.5,-9.9,rrr,3.6,4.2,12.8,0.0259,Southern_California.19991226.stacov.point-2016/02/16-09:29:29 
7,19991227,1999.9871,0.1,16.4,-12.6,rrr,4.5,5.3,16.0,-0.03,Southern_California.19991227.stacov.point-2016/02/16-09:29:29 
8,20000203,2000.0911,3.4,13.0,-4.1,rrr,5.0,5.3,18.6,0.0579,Southern_California.20000203.stacov.point-2016/02/16-09:29:52 
9,20000204,2000.0938,2.4,14.7,2.6,rrr,2.6,3.0,9.4,0.0267,Southern_California.20000204.stacov.point-2016/02/16-09:29:52 
10,20000205,2000.0966,4.2,14.3,2.6,rrr,2.6,2.9,9.4,0.0201,Southern_California.20000205.stacov.point-2016/02/16-09:29:53 
11,20000206,2000.0993,2.9,14.8,-2.5,rrr,2.6,2.9,9.2,0.0443,Southern_California.20000206.stacov.point-2016/02/16-09:29:54 
12,20000207,2000.1021,3.7,15.7,-4.2,rrr,2.6,2.9,9.4,0.0257,Southern_California.20000207.stacov.point-2016/02/16-09:29:54 
