DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19940104,1994.0102,-264.9,258.8,-10.4,rrr,2.8,3.4,11.0,-0.0696,Southern_California.19940104.stacov.point-2016/02/16-09:18:49 
19940105,1994.0129,-264.5,258.0,3.3,rrr,2.8,3.4,11.0,-0.0646,Southern_California.19940105.stacov.point-2016/02/16-09:18:49 
19940106,1994.0157,-266.2,255.7,-4.9,rrr,2.9,3.4,11.5,-0.0264,Southern_California.19940106.stacov.point-2016/02/16-09:18:49 
19940107,1994.0184,-268.4,253.7,-9.2,rrr,2.9,3.4,11.7,-0.05,Southern_California.19940107.stacov.point-2016/02/16-09:18:50 
19940108,1994.0212,-265.9,255.0,-3.2,rrr,2.9,3.4,11.4,-0.0807,Southern_California.19940108.stacov.point-2016/02/16-09:18:50 
19940109,1994.0239,-266.4,257.5,-8.7,rrr,2.8,3.4,11.2,-0.0875,Southern_California.19940109.stacov.point-2016/02/16-09:18:50 
19940110,1994.0266,-267.7,255.0,5.6,rrr,2.9,3.5,11.5,-0.0588,Southern_California.19940110.stacov.point-2016/02/16-09:18:50 
19940111,1994.0294,-267.2,254.8,-3.0,rrr,2.9,3.5,11.5,-0.0584,Southern_California.19940111.stacov.point-2016/02/16-09:18:50 
19940112,1994.0321,-264.4,259.0,-5.0,rrr,2.9,3.5,11.7,-0.0783,Southern_California.19940112.stacov.point-2016/02/16-09:18:51 
19940113,1994.0348,-269.4,253.2,-4.0,rrr,2.9,3.4,11.4,-0.0744,Southern_California.19940113.stacov.point-2016/02/16-09:18:51 
19940114,1994.0376,-269.7,250.6,-7.7,rrr,2.9,3.4,11.4,-0.0808,Southern_California.19940114.stacov.point-2016/02/16-09:18:51 
19940115,1994.0403,-263.6,253.4,-6.7,rrr,2.9,3.5,11.5,-0.0449,Southern_California.19940115.stacov.point-2016/02/16-09:18:51 
19940116,1994.0431,-264.6,254.5,1.9,rrr,2.8,3.4,11.0,-0.0623,Southern_California.19940116.stacov.point-2016/02/16-09:18:51 
19940117,1994.0458,-266.6,253.3,-1.0,rrr,2.8,3.4,11.0,-0.056,Southern_California.19940117.stacov.point-2016/02/16-09:18:51 
19940118,1994.0485,-265.1,250.7,-7.6,rrr,2.8,3.4,11.0,-0.0657,Southern_California.19940118.stacov.point-2016/02/16-09:18:52 
19940119,1994.0513,-267.6,251.5,-5.9,rrr,2.8,3.4,11.0,-0.0659,Southern_California.19940119.stacov.point-2016/02/16-09:18:52 
19940120,1994.054,-264.9,252.7,1.6,rrr,3.0,3.6,11.4,-0.0351,Southern_California.19940120.stacov.point-2016/02/16-09:18:52 
19940121,1994.0568,-265.5,253.7,-1.7,rrr,3.0,3.6,11.4,-0.0334,Southern_California.19940121.stacov.point-2016/02/16-09:18:52 
19940122,1994.0595,-264.0,255.6,-5.5,rrr,3.1,3.5,11.6,-0.0747,Southern_California.19940122.stacov.point-2016/02/16-09:18:52 
19940123,1994.0622,-264.8,256.0,-11.6,rrr,2.8,3.4,11.0,-0.0475,Southern_California.19940123.stacov.point-2016/02/16-09:18:52 
19940124,1994.065,-264.4,255.7,-6.8,rrr,3.0,3.5,11.7,-0.0492,Southern_California.19940124.stacov.point-2016/02/16-09:18:53 
19940125,1994.0677,-267.1,254.5,-2.8,rrr,3.1,3.5,11.8,-0.0447,Southern_California.19940125.stacov.point-2016/02/16-09:18:53 
19940126,1994.0704,-265.0,252.3,-2.5,rrr,3.0,3.4,11.3,-0.0664,Southern_California.19940126.stacov.point-2016/02/16-09:18:53 
19940127,1994.0732,-264.3,252.8,2.1,rrr,3.0,3.5,11.4,-0.0367,Southern_California.19940127.stacov.point-2016/02/16-09:18:53 
19940128,1994.0759,-260.2,252.9,-5.4,rrr,3.0,3.4,11.3,-0.0629,Southern_California.19940128.stacov.point-2016/02/16-09:18:53 
19940129,1994.0787,-261.2,254.3,-10.9,rrr,3.0,3.4,11.3,-0.0568,Southern_California.19940129.stacov.point-2016/02/16-09:18:54 
19940130,1994.0814,-261.5,253.8,-11.7,rrr,3.0,3.3,11.1,-0.0395,Southern_California.19940130.stacov.point-2016/02/16-09:18:54 
19940131,1994.0841,-264.0,251.3,-2.0,rrr,2.8,3.4,11.0,-0.0644,Southern_California.19940131.stacov.point-2016/02/16-09:18:54 
19940201,1994.0869,-260.4,257.5,-14.9,rrr,2.8,3.5,11.0,-0.0679,Southern_California.19940201.stacov.point-2016/02/16-09:18:54 
19940202,1994.0896,-262.5,251.4,-14.3,rrr,2.9,3.5,11.3,-0.0827,Southern_California.19940202.stacov.point-2016/02/16-09:18:54 
19940203,1994.0923,-264.4,255.1,0.8,rrr,2.9,3.4,11.1,-0.0604,Southern_California.19940203.stacov.point-2016/02/16-09:18:54 
