,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19990324,1999.2259,-292.5,269.4,-6.5,rrr,2.5,3.0,8.8,-0.0532,Southern_California.19990324.stacov.point-2016/02/16-09:27:18 
1,19990325,1999.2287,-293.0,270.0,-8.3,rrr,2.6,3.0,9.0,-0.0464,Southern_California.19990325.stacov.point-2016/02/16-09:27:18 
2,19990326,1999.2314,-291.0,267.1,-5.6,rrr,2.6,3.0,9.0,-0.0329,Southern_California.19990326.stacov.point-2016/02/16-09:27:19 
3,19990327,1999.2341,-290.4,268.4,-2.6,rrr,2.5,3.0,8.8,-0.0681,Southern_California.19990327.stacov.point-2016/02/16-09:27:19 
4,19990328,1999.2369,-289.5,264.7,-10.6,rrr,2.5,3.0,8.8,-0.059,Southern_California.19990328.stacov.point-2016/02/16-09:27:20 
5,19990329,1999.2396,-289.4,267.9,-9.3,rrr,2.5,3.0,8.8,-0.0574,Southern_California.19990329.stacov.point-2016/02/16-09:27:20 
6,19990330,1999.2424,-290.0,268.1,-5.7,rrr,2.5,3.0,8.8,-0.0601,Southern_California.19990330.stacov.point-2016/02/16-09:27:20 
7,19990331,1999.2451,-290.6,268.8,-7.1,rrr,2.6,3.1,9.2,-0.0559,Southern_California.19990331.stacov.point-2016/02/16-09:27:21 
8,19990401,1999.2478,-292.5,263.9,-5.4,rrr,2.5,3.0,8.8,-0.0689,Southern_California.19990401.stacov.point-2016/02/16-09:27:21 
9,19990402,1999.2506,-290.6,265.2,-7.1,rrr,2.6,3.0,9.2,-0.0686,Southern_California.19990402.stacov.point-2016/02/16-09:27:22 
10,19990403,1999.2533,-290.6,267.3,-1.5,rrr,2.5,3.0,8.8,-0.0657,Southern_California.19990403.stacov.point-2016/02/16-09:27:22 
11,19990409,1999.2696,-288.2,263.0,2.8,rrr,3.8,4.6,14.0,-0.0379,Southern_California.19990409.stacov.point-2016/02/16-09:27:25 
12,19990410,1999.2724,-286.3,266.4,-7.9,rrr,3.9,5.0,14.4,-0.0867,Southern_California.19990410.stacov.point-2016/02/16-09:27:25 
13,19990413,1999.2806,-288.9,264.5,-9.8,rrr,4.0,5.1,14.9,-0.1071,Southern_California.19990413.stacov.point-2016/02/16-09:27:26 
14,19990414,1999.2833,-289.8,265.5,-8.0,rrr,3.7,4.8,13.7,-0.0461,Southern_California.19990414.stacov.point-2016/02/16-09:27:27 
15,19990415,1999.286,-288.0,262.9,3.8,rrr,3.5,4.3,13.0,-0.0906,Southern_California.19990415.stacov.point-2016/02/16-09:27:27 
16,19990416,1999.2888,-288.6,266.3,-3.5,rrr,3.2,4.0,11.9,-0.1443,Southern_California.19990416.stacov.point-2016/02/16-09:27:28 
17,19990417,1999.2915,-289.1,262.1,1.3,rrr,3.1,3.6,11.4,-0.0938,Southern_California.19990417.stacov.point-2016/02/16-09:27:28 
18,19990418,1999.2943,-286.1,270.4,-5.6,rrr,3.1,3.9,11.7,-0.1159,Southern_California.19990418.stacov.point-2016/02/16-09:27:28 
19,19990419,1999.297,-285.2,265.1,-2.5,rrr,3.1,4.0,11.7,-0.1226,Southern_California.19990419.stacov.point-2016/02/16-09:27:29 
20,19990420,1999.2997,-289.4,264.4,-4.2,rrr,3.1,3.7,11.7,-0.0558,Southern_California.19990420.stacov.point-2016/02/16-09:27:29 
21,19990421,1999.3025,-287.3,263.0,-1.2,rrr,3.8,4.5,14.4,-0.0312,Southern_California.19990421.stacov.point-2016/02/16-09:27:30 
22,19990422,1999.3052,-288.1,263.2,4.2,rrr,5.3,6.1,19.3,-0.006,Southern_California.19990422.stacov.point-2016/02/16-09:27:30 
23,19990424,1999.3107,-288.2,261.9,11.0,rrr,4.2,5.2,15.4,-0.0683,Southern_California.19990424.stacov.point-2016/02/16-09:27:31 
24,19990425,1999.3134,-288.6,261.4,-0.6,rrr,4.0,5.0,15.0,-0.0643,Southern_California.19990425.stacov.point-2016/02/16-09:27:31 
25,19990426,1999.3162,-288.3,265.5,-3.0,rrr,3.8,4.6,13.8,-0.0944,Southern_California.19990426.stacov.point-2016/02/16-09:27:32 
26,19990427,1999.3189,-287.3,266.7,0.9,rrr,4.2,4.9,15.1,-0.1278,Southern_California.19990427.stacov.point-2016/02/16-09:27:32 
27,19990428,1999.3216,-290.8,264.6,5.4,rrr,4.4,5.3,16.5,-0.1289,Southern_California.19990428.stacov.point-2016/02/16-09:27:33 
28,19990429,1999.3244,-287.3,262.5,10.2,rrr,4.4,5.2,16.2,-0.0943,Southern_California.19990429.stacov.point-2016/02/16-09:27:33 
29,19990502,1999.3326,-289.2,264.3,11.7,rrr,5.4,6.4,19.2,-0.1757,Southern_California.19990502.stacov.point-2016/02/16-09:27:35 
30,19990503,1999.3353,-288.3,264.1,7.6,rrr,4.8,6.2,18.4,-0.0739,Southern_California.19990503.stacov.point-2016/02/16-09:27:35 
31,19990505,1999.3408,-284.6,263.0,-2.2,rrr,4.1,5.1,15.6,-0.0312,Southern_California.19990505.stacov.point-2016/02/16-09:27:36 
32,19990506,1999.3435,-288.3,262.2,-2.1,rrr,3.5,4.2,13.0,-0.0984,Southern_California.19990506.stacov.point-2016/02/16-09:27:36 
33,19990507,1999.3463,-284.6,263.1,-1.1,rrr,3.3,3.9,11.8,-0.136,Southern_California.19990507.stacov.point-2016/02/16-09:27:37 
34,19990508,1999.349,-283.6,261.3,-4.7,rrr,4.2,4.9,15.2,-0.1384,Southern_California.19990508.stacov.point-2016/02/16-09:27:37 
35,19990509,1999.3518,-281.1,265.8,-1.8,rrr,4.5,5.3,15.6,-0.1991,Southern_California.19990509.stacov.point-2016/02/16-09:27:37 
36,19990510,1999.3545,-283.4,261.2,-7.1,rrr,4.2,4.8,14.8,-0.1361,Southern_California.19990510.stacov.point-2016/02/16-09:27:38 
37,19990511,1999.3572,-282.2,264.0,-6.6,rrr,3.8,4.6,14.0,-0.0865,Southern_California.19990511.stacov.point-2016/02/16-09:27:38 
38,19990512,1999.36,-283.2,262.7,-10.2,rrr,3.6,4.2,12.7,-0.1609,Southern_California.19990512.stacov.point-2016/02/16-09:27:39 
39,19990513,1999.3627,-282.0,264.4,-10.3,rrr,4.5,5.4,17.0,-0.1538,Southern_California.19990513.stacov.point-2016/02/16-09:27:39 
40,19990514,1999.3654,-284.3,266.0,-8.3,rrr,3.7,4.5,13.7,-0.1048,Southern_California.19990514.stacov.point-2016/02/16-09:27:40 
41,19990515,1999.3682,-284.5,264.2,-9.7,rrr,3.7,4.3,13.6,-0.1184,Southern_California.19990515.stacov.point-2016/02/16-09:27:40 
42,19990516,1999.3709,-282.3,263.2,-9.0,rrr,3.8,4.7,14.2,-0.0748,Southern_California.19990516.stacov.point-2016/02/16-09:27:40 
43,19990517,1999.3737,-284.3,262.8,-10.5,rrr,3.6,4.4,13.1,-0.0383,Southern_California.19990517.stacov.point-2016/02/16-09:27:41 
44,19990518,1999.3764,-284.0,261.6,-4.5,rrr,3.5,4.1,12.7,-0.1839,Southern_California.19990518.stacov.point-2016/02/16-09:27:41 
45,19990519,1999.3791,-285.3,264.9,-10.7,rrr,3.8,4.5,13.3,-0.1657,Southern_California.19990519.stacov.point-2016/02/16-09:27:42 
46,19990520,1999.3819,-283.2,264.3,-1.4,rrr,3.7,4.4,13.2,-0.1281,Southern_California.19990520.stacov.point-2016/02/16-09:27:42 
47,19990521,1999.3846,-284.9,262.0,-0.0,rrr,4.0,4.7,14.2,-0.1794,Southern_California.19990521.stacov.point-2016/02/16-09:27:43 
48,19990522,1999.3873,-286.3,263.7,5.5,rrr,4.4,5.4,16.4,-0.1166,Southern_California.19990522.stacov.point-2016/02/16-09:27:43 
49,19990523,1999.3901,-282.0,261.6,-8.6,rrr,3.9,4.6,13.7,-0.1547,Southern_California.19990523.stacov.point-2016/02/16-09:27:43 
50,19990524,1999.3928,-283.1,263.1,-12.6,rrr,3.5,4.1,12.7,-0.1624,Southern_California.19990524.stacov.point-2016/02/16-09:27:44 
51,19990525,1999.3956,-283.5,262.4,-8.2,rrr,3.6,4.2,12.7,-0.1463,Southern_California.19990525.stacov.point-2016/02/16-09:27:44 
52,19990527,1999.401,-282.0,260.2,-12.5,rrr,3.7,4.3,13.2,-0.1374,Southern_California.19990527.stacov.point-2016/02/16-09:27:45 
53,19990528,1999.4038,-282.0,262.9,-17.0,rrr,2.5,3.0,8.8,-0.0561,Southern_California.19990528.stacov.point-2016/02/16-09:27:46 
54,19990529,1999.4065,-283.8,260.3,-18.0,rrr,2.6,3.0,9.2,-0.0701,Southern_California.19990529.stacov.point-2016/02/16-09:27:46 
55,19990530,1999.4093,-283.6,261.1,-17.4,rrr,4.1,4.9,14.7,-0.2108,Southern_California.19990530.stacov.point-2016/02/16-09:27:46 
56,19990531,1999.412,-282.4,260.2,-17.4,rrr,3.9,4.7,14.2,-0.1996,Southern_California.19990531.stacov.point-2016/02/16-09:27:47 
57,19990601,1999.4147,-283.7,260.9,-13.6,rrr,3.6,4.4,13.0,-0.142,Southern_California.19990601.stacov.point-2016/02/16-09:27:47 
58,19990602,1999.4175,-283.7,262.5,-12.7,rrr,5.0,6.7,18.5,-0.1962,Southern_California.19990602.stacov.point-2016/02/16-09:27:48 
59,19990604,1999.4229,-285.7,263.9,-9.4,rrr,4.6,5.5,16.1,-0.2289,Southern_California.19990604.stacov.point-2016/02/16-09:27:49 
60,19990605,1999.4257,-284.0,260.3,-16.0,rrr,2.5,3.0,8.8,-0.0771,Southern_California.19990605.stacov.point-2016/02/16-09:27:49 
61,19990606,1999.4284,-282.1,261.8,-13.5,rrr,2.5,3.0,8.8,-0.067,Southern_California.19990606.stacov.point-2016/02/16-09:27:50 
62,19990607,1999.4312,-285.0,261.7,-8.0,rrr,2.6,3.0,8.9,-0.0355,Southern_California.19990607.stacov.point-2016/02/16-09:27:50 
63,19990608,1999.4339,-282.9,258.6,-17.1,rrr,2.5,3.0,8.8,-0.0484,Southern_California.19990608.stacov.point-2016/02/16-09:27:50 
64,19990609,1999.4366,-284.0,260.8,-13.3,rrr,2.4,3.0,8.8,-0.0442,Southern_California.19990609.stacov.point-2016/02/16-09:27:51 
65,19990610,1999.4394,-283.2,259.9,-12.4,rrr,2.6,3.0,9.2,-0.0766,Southern_California.19990610.stacov.point-2016/02/16-09:27:51 
66,19990611,1999.4421,-279.2,258.5,-11.9,rrr,2.6,3.0,9.4,-0.1179,Southern_California.19990611.stacov.point-2016/02/16-09:27:52 
67,19990612,1999.4448,-280.3,260.1,-10.5,rrr,2.4,3.0,8.8,-0.0329,Southern_California.19990612.stacov.point-2016/02/16-09:27:52 
68,19990613,1999.4476,-280.7,260.2,-11.4,rrr,2.6,3.1,9.3,-0.0006,Southern_California.19990613.stacov.point-2016/02/16-09:27:52 
69,19990614,1999.4503,-279.8,259.2,-10.2,rrr,2.7,3.1,9.9,-0.0458,Southern_California.19990614.stacov.point-2016/02/16-09:27:53 
70,19990615,1999.4531,-280.8,260.9,-6.5,rrr,2.6,3.0,9.2,-0.0526,Southern_California.19990615.stacov.point-2016/02/16-09:27:53 
71,19990616,1999.4558,-280.9,260.4,-8.6,rrr,2.5,3.0,9.0,-0.0305,Southern_California.19990616.stacov.point-2016/02/16-09:27:54 
72,19990617,1999.4585,-281.1,260.9,-11.0,rrr,2.6,3.0,9.2,-0.0678,Southern_California.19990617.stacov.point-2016/02/16-09:27:54 
73,19990618,1999.4613,-281.0,259.7,-16.3,rrr,2.4,3.0,8.8,-0.0378,Southern_California.19990618.stacov.point-2016/02/16-09:27:55 
74,19990619,1999.464,-284.0,258.1,-16.2,rrr,2.6,3.0,9.2,-0.0498,Southern_California.19990619.stacov.point-2016/02/16-09:27:55 
75,19990620,1999.4667,-282.6,256.8,-15.5,rrr,2.5,2.9,8.8,-0.0302,Southern_California.19990620.stacov.point-2016/02/16-09:27:55 
76,19990621,1999.4695,-280.7,257.5,-16.0,rrr,2.5,3.0,8.8,-0.036,Southern_California.19990621.stacov.point-2016/02/16-09:27:56 
77,19990622,1999.4722,-281.4,259.2,-11.3,rrr,2.6,3.0,9.2,-0.0906,Southern_California.19990622.stacov.point-2016/02/16-09:27:56 
78,19990623,1999.475,-282.0,257.7,-11.6,rrr,2.6,3.0,9.2,-0.0567,Southern_California.19990623.stacov.point-2016/02/16-09:27:57 
79,19990624,1999.4777,-282.0,258.2,-16.1,rrr,2.5,3.0,9.0,-0.044,Southern_California.19990624.stacov.point-2016/02/16-09:27:57 
80,19990625,1999.4804,-283.7,256.6,-12.5,rrr,2.6,3.0,9.0,-0.04,Southern_California.19990625.stacov.point-2016/02/16-09:27:58 
81,19990626,1999.4832,-282.9,258.0,-11.9,rrr,2.5,3.0,9.2,-0.0427,Southern_California.19990626.stacov.point-2016/02/16-09:27:58 
82,19990627,1999.4859,-284.7,255.3,-6.9,rrr,2.6,3.0,9.2,-0.0849,Southern_California.19990627.stacov.point-2016/02/16-09:27:59 
83,19990628,1999.4886,-281.1,256.1,-12.8,rrr,2.5,3.0,8.8,-0.0306,Southern_California.19990628.stacov.point-2016/02/16-09:27:59 
84,19990629,1999.4914,-281.3,256.2,-14.6,rrr,2.7,3.3,9.9,-0.0653,Southern_California.19990629.stacov.point-2016/02/16-09:27:59 
85,19990630,1999.4941,-283.2,256.3,-21.7,rrr,2.5,3.0,9.0,-0.0764,Southern_California.19990630.stacov.point-2016/02/16-09:28:00 
86,19990701,1999.4969,-282.2,257.4,-8.8,rrr,2.6,3.1,9.5,-0.0677,Southern_California.19990701.stacov.point-2016/02/16-09:28:00 
87,19990702,1999.4996,-282.0,255.9,-6.1,rrr,2.6,3.0,9.3,-0.0269,Southern_California.19990702.stacov.point-2016/02/16-09:28:01 
88,19990703,1999.5023,-282.3,254.8,-5.0,rrr,2.6,2.9,9.2,-0.079,Southern_California.19990703.stacov.point-2016/02/16-09:28:01 
89,19990704,1999.5051,-281.7,257.0,-5.3,rrr,2.5,3.0,8.8,-0.047,Southern_California.19990704.stacov.point-2016/02/16-09:28:02 
90,19990705,1999.5078,-281.5,255.7,-6.1,rrr,2.5,3.0,8.8,-0.0147,Southern_California.19990705.stacov.point-2016/02/16-09:28:02 
91,19990706,1999.5106,-280.6,255.7,-10.6,rrr,2.6,3.0,9.2,-0.0302,Southern_California.19990706.stacov.point-2016/02/16-09:28:02 
92,19990707,1999.5133,-281.7,256.3,-7.6,rrr,2.7,3.1,9.7,-0.0222,Southern_California.19990707.stacov.point-2016/02/16-09:28:03 
93,19990708,1999.516,-281.7,255.2,-4.9,rrr,3.1,3.6,11.2,0.0399,Southern_California.19990708.stacov.point-2016/02/16-09:28:03 
94,19990709,1999.5188,-278.9,256.2,-1.7,rrr,2.6,3.2,9.7,-0.0149,Southern_California.19990709.stacov.point-2016/02/16-09:28:04 
95,19990710,1999.5215,-279.4,257.3,-4.6,rrr,2.6,3.1,9.3,-0.0028,Southern_California.19990710.stacov.point-2016/02/16-09:28:04 
96,19990711,1999.5242,-279.5,257.6,-5.3,rrr,2.7,3.1,9.7,0.0023,Southern_California.19990711.stacov.point-2016/02/16-09:28:05 
97,19990712,1999.527,-281.0,255.8,-6.4,rrr,2.6,3.1,9.3,0.0088,Southern_California.19990712.stacov.point-2016/02/16-09:28:05 
98,19990713,1999.5297,-278.4,257.7,-6.0,rrr,2.6,3.1,9.3,0.0049,Southern_California.19990713.stacov.point-2016/02/16-09:28:05 
99,19990714,1999.5325,-280.5,257.3,-17.6,rrr,2.5,3.0,8.8,-0.0413,Southern_California.19990714.stacov.point-2016/02/16-09:28:06 
100,19990715,1999.5352,-280.9,256.6,-7.7,rrr,2.6,2.9,9.0,-0.0111,Southern_California.19990715.stacov.point-2016/02/16-09:28:06 
