,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19951122,1995.8912,-431.8,392.0,12.6,rrr,3.0,3.6,11.9,0.1039,Southern_California.19951122.stacov.point-2016/02/16-09:21:18 
1,19951123,1995.8939,-431.4,393.3,18.0,rrr,2.9,3.5,11.1,0.0756,Southern_California.19951123.stacov.point-2016/02/16-09:21:18 
2,19951124,1995.8966,-432.0,391.0,18.7,rrr,3.0,3.6,11.7,0.0663,Southern_California.19951124.stacov.point-2016/02/16-09:21:18 
3,19951125,1995.8994,-430.9,391.6,14.3,rrr,2.9,3.5,11.0,0.0936,Southern_California.19951125.stacov.point-2016/02/16-09:21:19 
4,19951126,1995.9021,-434.7,390.4,23.2,rrr,2.8,3.4,10.6,0.0388,Southern_California.19951126.stacov.point-2016/02/16-09:21:19 
5,19951127,1995.9048,-431.9,389.7,12.6,rrr,2.9,3.5,11.1,0.053,Southern_California.19951127.stacov.point-2016/02/16-09:21:19 
6,19951128,1995.9076,-430.5,392.7,4.6,rrr,2.9,3.5,11.0,0.1029,Southern_California.19951128.stacov.point-2016/02/16-09:21:20 
7,19951129,1995.9103,-432.6,392.3,10.7,rrr,2.9,3.5,10.9,0.0878,Southern_California.19951129.stacov.point-2016/02/16-09:21:20 
8,19951130,1995.9131,-427.4,390.4,16.1,rrr,2.8,3.5,10.8,0.0968,Southern_California.19951130.stacov.point-2016/02/16-09:21:20 
9,19951201,1995.9158,-428.9,391.5,12.8,rrr,2.9,3.6,11.4,0.0216,Southern_California.19951201.stacov.point-2016/02/16-09:21:20 
10,19951202,1995.9185,-430.5,391.1,11.2,rrr,3.0,3.5,11.5,0.0301,Southern_California.19951202.stacov.point-2016/02/16-09:21:21 
11,19951203,1995.9213,-428.5,393.4,20.5,rrr,2.9,3.6,11.1,0.0729,Southern_California.19951203.stacov.point-2016/02/16-09:21:21 
12,19951204,1995.924,-429.8,393.5,19.5,rrr,3.0,3.7,11.8,0.0754,Southern_California.19951204.stacov.point-2016/02/16-09:21:21 
13,19951205,1995.9267,-430.3,392.3,14.5,rrr,3.1,3.6,11.9,0.0477,Southern_California.19951205.stacov.point-2016/02/16-09:21:21 
14,19951206,1995.9295,-431.0,390.4,14.0,rrr,2.9,3.5,11.1,0.0519,Southern_California.19951206.stacov.point-2016/02/16-09:21:22 
15,19951207,1995.9322,-433.3,390.3,16.7,rrr,2.9,3.5,11.1,0.0651,Southern_California.19951207.stacov.point-2016/02/16-09:21:22 
16,19951208,1995.935,-433.0,388.3,24.7,rrr,2.9,3.6,11.1,0.0749,Southern_California.19951208.stacov.point-2016/02/16-09:21:22 
17,19951209,1995.9377,-428.8,390.4,17.3,rrr,2.9,3.5,11.2,0.055,Southern_California.19951209.stacov.point-2016/02/16-09:21:22 
18,19951210,1995.9404,-428.9,392.1,17.9,rrr,2.9,3.5,11.4,0.0578,Southern_California.19951210.stacov.point-2016/02/16-09:21:23 
19,19951211,1995.9432,-428.0,392.7,15.0,rrr,3.0,3.7,11.8,0.0462,Southern_California.19951211.stacov.point-2016/02/16-09:21:23 
20,19951212,1995.9459,-426.0,391.4,12.3,rrr,2.9,3.5,11.4,0.0371,Southern_California.19951212.stacov.point-2016/02/16-09:21:23 
21,19951213,1995.9486,-428.3,394.1,15.7,rrr,3.0,3.5,11.5,0.0721,Southern_California.19951213.stacov.point-2016/02/16-09:21:24 
22,19951214,1995.9514,-434.5,389.8,23.6,rrr,2.9,3.5,11.0,0.0985,Southern_California.19951214.stacov.point-2016/02/16-09:21:24 
23,19951215,1995.9541,-429.9,387.6,13.6,rrr,3.1,3.7,11.6,0.1158,Southern_California.19951215.stacov.point-2016/02/16-09:21:24 
