,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20081203,2008.9236,-55.2,43.2,-2.4,rrr,2.7,3.2,12.2,-0.0226,Southern_California.20081203.stacov.point-2016/02/16-11:10:58 
1,20081204,2008.9263,-54.5,43.6,-5.9,rrr,2.6,3.1,11.8,-0.0331,Southern_California.20081204.stacov.point-2016/02/16-11:11:01 
2,20081205,2008.9291,-56.0,45.1,-14.5,rrr,2.7,3.2,12.2,-0.0326,Southern_California.20081205.stacov.point-2016/02/16-11:11:04 
3,20081206,2008.9318,-53.9,44.8,-10.6,rrr,2.7,3.2,12.9,-0.0148,Southern_California.20081206.stacov.point-2016/02/16-11:11:07 
4,20081207,2008.9345,-52.4,43.5,-7.9,rrr,2.7,3.2,13.1,0.0037,Southern_California.20081207.stacov.point-2016/02/16-11:11:10 
5,20081208,2008.9373,-53.6,41.8,2.3,rrr,2.7,3.2,12.6,-0.0461,Southern_California.20081208.stacov.point-2016/02/16-11:11:14 
6,20081209,2008.94,-52.5,44.7,-11.6,rrr,2.7,3.2,12.6,-0.032,Southern_California.20081209.stacov.point-2016/02/16-11:11:17 
7,20081210,2008.9428,-54.1,43.0,-13.7,rrr,2.7,3.1,12.3,0.0033,Southern_California.20081210.stacov.point-2016/02/16-11:11:19 
8,20081212,2008.9482,-53.2,43.4,-5.8,rrr,2.8,3.2,12.5,-0.0443,Southern_California.20081212.stacov.point-2016/02/16-11:11:24 
9,20081213,2008.951,-55.9,43.1,0.3,rrr,2.7,3.2,12.1,-0.0405,Southern_California.20081213.stacov.point-2016/02/16-11:11:29 
10,20081214,2008.9537,-54.1,41.6,2.6,rrr,2.6,3.1,11.4,-0.0325,Southern_California.20081214.stacov.point-2016/02/16-11:11:34 
11,20081215,2008.9565,-55.5,42.5,-5.9,rrr,2.7,3.2,12.1,-0.0272,Southern_California.20081215.stacov.point-2016/02/16-11:11:36 
12,20081216,2008.9592,-57.8,37.3,-6.3,rrr,2.7,3.3,12.5,-0.0241,Southern_California.20081216.stacov.point-2016/02/16-11:11:40 
13,20081217,2008.9619,-57.0,42.1,-9.3,rrr,2.7,3.4,12.9,-0.0388,Southern_California.20081217.stacov.point-2016/02/16-11:11:42 
14,20081218,2008.9647,-47.1,43.9,-15.9,rrr,2.8,3.6,14.0,-0.0112,Southern_California.20081218.stacov.point-2016/02/16-11:11:44 
15,20081219,2008.9674,-49.3,50.5,-38.9,rrr,3.5,4.3,16.9,0.0258,Southern_California.20081219.stacov.point-2016/02/16-11:11:46 
16,20081220,2008.9701,-66.8,37.2,-23.7,rrr,2.8,3.6,12.6,-0.0191,Southern_California.20081220.stacov.point-2016/02/16-11:11:49 
17,20081221,2008.9729,-51.4,42.1,-9.8,rrr,2.7,3.2,12.2,-0.0334,Southern_California.20081221.stacov.point-2016/02/16-11:11:50 
18,20081222,2008.9756,-53.4,44.8,-14.5,rrr,2.6,3.1,11.8,-0.0334,Southern_California.20081222.stacov.point-2016/02/16-11:11:55 
19,20081223,2008.9784,-52.9,43.2,3.5,rrr,2.6,3.2,12.0,-0.0784,Southern_California.20081223.stacov.point-2016/02/16-11:11:59 
20,20081224,2008.9811,-53.9,42.8,-6.7,rrr,2.6,3.2,11.8,-0.033,Southern_California.20081224.stacov.point-2016/02/16-11:12:02 
21,20081225,2008.9838,-48.7,41.0,-17.5,rrr,3.4,4.1,17.2,-0.0051,Southern_California.20081225.stacov.point-2016/02/16-11:12:05 
22,20081226,2008.9866,-54.3,40.5,-32.6,rrr,2.7,3.5,12.9,-0.0272,Southern_California.20081226.stacov.point-2016/02/16-11:12:08 
23,20081227,2008.9893,-55.3,39.8,-32.7,rrr,2.7,3.4,12.4,-0.0743,Southern_California.20081227.stacov.point-2016/02/16-11:12:12 
24,20081228,2008.992,-54.5,44.1,-7.8,rrr,2.7,3.2,12.3,0.0122,Southern_California.20081228.stacov.point-2016/02/16-11:12:15 
25,20081229,2008.9948,-54.5,43.1,-8.0,rrr,2.7,3.2,12.2,-0.0318,Southern_California.20081229.stacov.point-2016/02/16-11:12:18 
26,20081230,2008.9975,-52.4,42.4,-6.1,rrr,2.7,3.2,12.6,-0.0441,Southern_California.20081230.stacov.point-2016/02/16-11:12:22 
27,20081231,2009.0003,-51.2,42.9,-6.0,rrr,2.6,3.2,12.3,-0.0053,Southern_California.20081231.stacov.point-2016/02/16-11:12:25 
28,20090101,2009.003,-53.5,44.2,-11.1,rrr,2.7,3.3,12.1,-0.0377,Southern_California.20090101.stacov.point-2016/02/16-11:12:28 
29,20090102,2009.0057,-52.8,43.1,-3.5,rrr,2.7,3.2,12.6,-0.059,Southern_California.20090102.stacov.point-2016/02/16-11:12:31 
30,20090103,2009.0085,-55.9,42.0,-0.6,rrr,2.7,3.2,12.6,-0.0511,Southern_California.20090103.stacov.point-2016/02/16-11:12:35 
31,20090104,2009.0112,-54.9,41.3,-8.7,rrr,2.7,3.2,12.6,-0.0503,Southern_California.20090104.stacov.point-2016/02/16-11:12:40 
32,20090105,2009.0139,-51.8,38.7,-12.7,rrr,2.7,3.3,12.9,-0.0325,Southern_California.20090105.stacov.point-2016/02/16-11:12:44 
33,20090106,2009.0167,-46.5,41.3,-7.3,rrr,2.7,3.2,12.6,-0.0541,Southern_California.20090106.stacov.point-2016/02/16-11:12:46 
34,20090107,2009.0194,-53.9,39.6,-9.1,rrr,2.7,3.2,12.7,-0.0086,Southern_California.20090107.stacov.point-2016/02/16-11:12:50 
35,20090108,2009.0222,-53.0,42.2,-7.9,rrr,2.8,3.2,12.7,-0.0176,Southern_California.20090108.stacov.point-2016/02/16-11:12:52 
36,20090109,2009.0249,-51.3,42.8,-11.5,rrr,2.8,3.2,12.9,-0.0386,Southern_California.20090109.stacov.point-2016/02/16-11:12:56 
37,20090110,2009.0276,-48.9,46.0,-12.4,rrr,2.7,3.2,12.6,-0.0508,Southern_California.20090110.stacov.point-2016/02/16-11:12:59 
38,20090111,2009.0304,-48.4,48.0,-12.7,rrr,2.7,3.2,12.6,-0.0525,Southern_California.20090111.stacov.point-2016/02/16-11:13:00 
39,20090112,2009.0331,-50.2,44.9,-16.1,rrr,2.8,3.2,12.9,-0.0455,Southern_California.20090112.stacov.point-2016/02/16-11:13:06 
40,20090113,2009.0359,-52.3,45.6,-6.5,rrr,2.7,3.2,13.1,-0.0127,Southern_California.20090113.stacov.point-2016/02/16-11:13:10 
41,20090114,2009.0386,-50.7,46.2,-6.6,rrr,2.7,3.2,12.6,-0.0528,Southern_California.20090114.stacov.point-2016/02/16-11:13:17 
42,20090115,2009.0413,-51.9,46.0,-9.6,rrr,2.6,3.1,12.7,0.0002,Southern_California.20090115.stacov.point-2016/02/16-11:13:22 
43,20090116,2009.0441,-50.3,46.8,-11.5,rrr,2.7,3.2,12.4,-0.1056,Southern_California.20090116.stacov.point-2016/02/16-11:13:25 
44,20090117,2009.0468,-51.9,44.8,-12.4,rrr,2.7,3.1,12.6,-0.0531,Southern_California.20090117.stacov.point-2016/02/16-11:13:30 
45,20090118,2009.0495,-53.5,46.4,-10.0,rrr,2.7,3.2,12.4,-0.0921,Southern_California.20090118.stacov.point-2016/02/16-11:13:35 
46,20090119,2009.0523,-51.6,46.1,-5.5,rrr,2.6,3.2,12.2,-0.0415,Southern_California.20090119.stacov.point-2016/02/16-11:13:37 
47,20090120,2009.055,-50.9,46.2,-10.3,rrr,2.7,3.2,12.6,-0.0505,Southern_California.20090120.stacov.point-2016/02/16-11:13:40 
48,20090121,2009.0578,-49.8,47.6,-11.3,rrr,2.6,3.1,11.9,0.0029,Southern_California.20090121.stacov.point-2016/02/16-11:13:45 
49,20090122,2009.0605,-49.7,47.5,-7.0,rrr,2.7,3.2,12.6,-0.0555,Southern_California.20090122.stacov.point-2016/02/16-11:13:49 
50,20090123,2009.0632,-50.2,45.5,-16.0,rrr,2.7,3.3,13.1,-0.0115,Southern_California.20090123.stacov.point-2016/02/16-11:13:54 
51,20090124,2009.066,-51.7,44.3,-19.2,rrr,2.8,3.3,13.5,-0.0808,Southern_California.20090124.stacov.point-2016/02/16-11:13:57 
52,20090125,2009.0687,-53.5,43.6,1.1,rrr,2.7,3.2,13.3,-0.0505,Southern_California.20090125.stacov.point-2016/02/16-11:14:03 
53,20090126,2009.0714,-51.9,46.7,-17.9,rrr,2.6,3.2,12.2,-0.0309,Southern_California.20090126.stacov.point-2016/02/16-11:14:06 
54,20090127,2009.0742,-46.3,44.6,-39.3,rrr,2.6,3.2,12.1,-0.0972,Southern_California.20090127.stacov.point-2016/02/16-11:14:10 
55,20090128,2009.0769,-62.1,41.0,-39.8,rrr,2.8,3.5,13.3,-0.0607,Southern_California.20090128.stacov.point-2016/02/16-11:14:14 
56,20090129,2009.0797,-50.4,45.4,-7.5,rrr,2.7,3.3,13.3,-0.0565,Southern_California.20090129.stacov.point-2016/02/16-11:14:21 
57,20090130,2009.0824,-50.0,45.1,-16.0,rrr,2.7,3.3,12.8,-0.0907,Southern_California.20090130.stacov.point-2016/02/16-11:14:24 
58,20090131,2009.0851,-50.5,46.2,-11.1,rrr,2.6,3.2,12.1,-0.0959,Southern_California.20090131.stacov.point-2016/02/16-11:14:30 
59,20090201,2009.0879,-50.4,44.6,-5.5,rrr,2.6,3.2,12.3,-0.0081,Southern_California.20090201.stacov.point-2016/02/16-11:14:33 
60,20090202,2009.0906,-49.5,46.1,-7.7,rrr,2.6,3.2,12.2,-0.0466,Southern_California.20090202.stacov.point-2016/02/16-11:14:35 
61,20090203,2009.0933,-49.0,43.8,-7.0,rrr,2.6,3.1,11.8,-0.0623,Southern_California.20090203.stacov.point-2016/02/16-11:14:41 
