DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20001124,2000.8988,-321.1,297.6,12.0,rrr,2.5,2.8,8.7,0.047,Southern_California.20001124.stacov.point-2016/02/16-09:33:06 
20001125,2000.9015,-321.8,297.9,14.6,rrr,2.5,2.8,8.7,0.0647,Southern_California.20001125.stacov.point-2016/02/16-09:33:06 
20001126,2000.9043,-321.7,296.5,12.1,rrr,2.5,2.8,8.7,0.0441,Southern_California.20001126.stacov.point-2016/02/16-09:33:07 
20001127,2000.907,-321.3,296.8,16.6,rrr,2.5,2.8,8.7,0.0651,Southern_California.20001127.stacov.point-2016/02/16-09:33:08 
20001128,2000.9097,-319.9,298.4,12.9,rrr,2.5,2.8,8.7,0.0582,Southern_California.20001128.stacov.point-2016/02/16-09:33:09 
20001129,2000.9125,-319.3,297.8,13.1,rrr,2.5,2.8,8.7,0.0769,Southern_California.20001129.stacov.point-2016/02/16-09:33:09 
20001130,2000.9152,-320.1,298.4,12.0,rrr,2.5,2.8,8.7,0.0754,Southern_California.20001130.stacov.point-2016/02/16-09:33:10 
20001201,2000.918,-321.2,297.4,10.9,rrr,2.6,3.0,9.1,0.0905,Southern_California.20001201.stacov.point-2016/02/16-09:33:11 
20001202,2000.9207,-320.1,298.0,12.6,rrr,2.5,3.0,9.1,0.0923,Southern_California.20001202.stacov.point-2016/02/16-09:33:11 
20001203,2000.9234,-320.6,297.9,16.7,rrr,2.6,3.0,9.1,0.096,Southern_California.20001203.stacov.point-2016/02/16-09:33:12 
20001204,2000.9262,-320.1,298.6,13.2,rrr,2.7,3.0,9.2,0.0838,Southern_California.20001204.stacov.point-2016/02/16-09:33:13 
20001205,2000.9289,-321.2,297.8,9.1,rrr,2.5,2.8,8.7,0.068,Southern_California.20001205.stacov.point-2016/02/16-09:33:14 
20001206,2000.9316,-318.9,296.0,15.9,rrr,2.5,2.9,8.9,0.0397,Southern_California.20001206.stacov.point-2016/02/16-09:33:14 
20001207,2000.9344,-318.4,298.2,7.0,rrr,2.5,2.8,8.7,0.0681,Southern_California.20001207.stacov.point-2016/02/16-09:33:15 
20001208,2000.9371,-321.2,297.0,10.6,rrr,2.5,2.8,8.7,0.0633,Southern_California.20001208.stacov.point-2016/02/16-09:33:16 
20001209,2000.9399,-319.8,296.4,10.5,rrr,2.5,2.8,8.7,0.0691,Southern_California.20001209.stacov.point-2016/02/16-09:33:16 
20001210,2000.9426,-317.7,297.6,10.3,rrr,2.5,2.8,8.6,0.072,Southern_California.20001210.stacov.point-2016/02/16-09:33:17 
20001211,2000.9453,-319.5,297.4,12.9,rrr,2.5,3.0,9.3,0.1174,Southern_California.20001211.stacov.point-2016/02/16-09:33:18 
20001212,2000.9481,-319.5,295.7,12.9,rrr,2.5,2.9,9.1,0.1171,Southern_California.20001212.stacov.point-2016/02/16-09:33:19 
20001213,2000.9508,-318.5,296.0,10.4,rrr,2.5,2.8,8.7,0.1087,Southern_California.20001213.stacov.point-2016/02/16-09:33:19 
20001214,2000.9535,-319.5,296.1,2.6,rrr,2.5,2.8,8.7,0.0619,Southern_California.20001214.stacov.point-2016/02/16-09:33:20 
20001215,2000.9563,-319.3,296.7,3.1,rrr,2.5,2.8,8.7,0.091,Southern_California.20001215.stacov.point-2016/02/16-09:33:21 
20001216,2000.959,-320.1,296.7,6.5,rrr,2.4,2.9,8.6,0.0774,Southern_California.20001216.stacov.point-2016/02/16-09:33:22 
20001217,2000.9618,-317.3,294.0,6.5,rrr,2.6,2.9,9.0,0.0143,Southern_California.20001217.stacov.point-2016/02/16-09:33:22 
20001218,2000.9645,-316.6,297.9,2.6,rrr,2.5,2.9,8.7,0.0696,Southern_California.20001218.stacov.point-2016/02/16-09:33:23 
20001219,2000.9672,-319.0,298.0,9.3,rrr,2.6,3.0,9.2,0.1007,Southern_California.20001219.stacov.point-2016/02/16-09:33:24 
20001220,2000.97,-318.0,296.6,9.9,rrr,2.5,2.8,8.7,0.0786,Southern_California.20001220.stacov.point-2016/02/16-09:33:25 
20001221,2000.9727,-318.4,297.3,9.1,rrr,2.5,2.8,8.7,0.0488,Southern_California.20001221.stacov.point-2016/02/16-09:33:25 
20001222,2000.9754,-319.9,296.1,7.4,rrr,2.6,2.9,8.7,0.0558,Southern_California.20001222.stacov.point-2016/02/16-09:33:26 
20001223,2000.9782,-318.9,296.8,8.5,rrr,2.4,2.8,8.4,0.1108,Southern_California.20001223.stacov.point-2016/02/16-09:33:27 
20001224,2000.9809,-317.3,297.2,8.2,rrr,2.4,2.9,8.4,0.1123,Southern_California.20001224.stacov.point-2016/02/16-09:33:28 
20001225,2000.9837,-318.9,296.5,3.9,rrr,2.4,2.7,8.3,0.0507,Southern_California.20001225.stacov.point-2016/02/16-09:33:28 
20001226,2000.9864,-317.5,296.6,3.0,rrr,2.4,2.9,8.6,0.0771,Southern_California.20001226.stacov.point-2016/02/16-09:33:29 
20001227,2000.9891,-318.4,296.5,2.4,rrr,2.5,2.8,8.7,0.101,Southern_California.20001227.stacov.point-2016/02/16-09:33:30 
20001228,2000.9919,-315.2,297.1,9.6,rrr,2.5,2.8,8.7,0.0625,Southern_California.20001228.stacov.point-2016/02/16-09:33:31 
20001229,2000.9946,-318.3,295.5,8.6,rrr,2.4,2.8,8.4,0.1013,Southern_California.20001229.stacov.point-2016/02/16-09:33:31 
20001230,2000.9974,-319.3,292.8,8.7,rrr,2.5,2.8,8.6,0.0786,Southern_California.20001230.stacov.point-2016/02/16-09:33:32 
20001231,2001.0001,-318.4,295.9,6.7,rrr,2.4,2.8,8.4,0.0892,Southern_California.20001231.stacov.point-2016/02/16-09:33:33 
20010101,2001.0028,-320.1,295.2,2.7,rrr,2.4,2.7,8.3,0.0387,Southern_California.20010101.stacov.point-2016/02/16-09:33:33 
20010102,2001.0056,-319.1,294.1,3.7,rrr,2.5,2.9,8.6,0.052,Southern_California.20010102.stacov.point-2016/02/16-09:33:34 
20010103,2001.0083,-321.1,294.1,4.4,rrr,2.5,2.9,8.7,0.081,Southern_California.20010103.stacov.point-2016/02/16-09:33:35 
20010104,2001.011,-317.7,295.8,8.4,rrr,2.5,2.8,8.8,0.0918,Southern_California.20010104.stacov.point-2016/02/16-09:33:36 
20010105,2001.0138,-317.3,293.9,7.3,rrr,2.5,2.8,8.7,0.0479,Southern_California.20010105.stacov.point-2016/02/16-09:33:36 
20010106,2001.0165,-317.6,293.5,11.0,rrr,2.5,2.8,8.7,0.0436,Southern_California.20010106.stacov.point-2016/02/16-09:33:37 
20010107,2001.0193,-317.0,294.0,10.1,rrr,2.4,2.8,8.6,0.0746,Southern_California.20010107.stacov.point-2016/02/16-09:33:38 
20010108,2001.022,-318.7,294.9,12.9,rrr,2.5,2.8,8.7,0.0776,Southern_California.20010108.stacov.point-2016/02/16-09:33:39 
20010109,2001.0247,-317.5,294.1,12.7,rrr,2.4,2.8,8.6,0.0672,Southern_California.20010109.stacov.point-2016/02/16-09:33:39 
20010110,2001.0275,-316.9,295.0,13.1,rrr,2.5,2.8,8.8,0.0542,Southern_California.20010110.stacov.point-2016/02/16-09:33:40 
20010111,2001.0302,-317.4,296.6,12.8,rrr,2.4,2.8,8.6,0.0632,Southern_California.20010111.stacov.point-2016/02/16-09:33:41 
20010112,2001.0329,-316.2,294.5,11.6,rrr,2.5,2.8,8.7,0.0751,Southern_California.20010112.stacov.point-2016/02/16-09:33:41 
20010113,2001.0357,-316.4,296.0,7.4,rrr,2.5,2.8,8.7,0.082,Southern_California.20010113.stacov.point-2016/02/16-09:33:42 
20010114,2001.0384,-316.5,294.6,4.8,rrr,2.4,2.8,8.4,0.0938,Southern_California.20010114.stacov.point-2016/02/16-09:33:43 
20010115,2001.0412,-316.3,293.6,6.0,rrr,2.5,2.7,8.8,0.09,Southern_California.20010115.stacov.point-2016/02/16-09:33:44 
20010116,2001.0439,-315.4,293.1,7.5,rrr,2.4,2.8,8.6,0.0623,Southern_California.20010116.stacov.point-2016/02/16-09:33:44 
20010117,2001.0466,-315.4,293.8,1.5,rrr,2.5,2.9,8.7,0.0531,Southern_California.20010117.stacov.point-2016/02/16-09:33:45 
20010118,2001.0494,-316.1,293.9,4.4,rrr,2.5,2.8,8.7,0.0687,Southern_California.20010118.stacov.point-2016/02/16-09:33:46 
20010119,2001.0521,-317.4,293.3,3.9,rrr,2.5,2.8,8.7,0.0597,Southern_California.20010119.stacov.point-2016/02/16-09:33:47 
20010120,2001.0548,-315.4,291.9,2.3,rrr,2.5,2.8,8.6,0.0716,Southern_California.20010120.stacov.point-2016/02/16-09:33:47 
20010121,2001.0576,-316.0,293.4,3.7,rrr,2.5,2.8,8.6,0.0559,Southern_California.20010121.stacov.point-2016/02/16-09:33:48 
20010122,2001.0603,-315.6,295.5,4.7,rrr,2.4,2.8,8.6,0.0786,Southern_California.20010122.stacov.point-2016/02/16-09:33:49 
20010123,2001.0631,-316.1,294.1,5.4,rrr,2.6,3.1,9.0,0.0725,Southern_California.20010123.stacov.point-2016/02/16-09:33:49 
20010124,2001.0658,-315.6,292.3,9.0,rrr,2.5,2.8,8.7,0.0449,Southern_California.20010124.stacov.point-2016/02/16-09:33:50 
20010125,2001.0685,-316.2,293.8,2.5,rrr,2.5,2.9,8.7,0.0485,Southern_California.20010125.stacov.point-2016/02/16-09:33:51 
20010126,2001.0713,-317.0,291.0,6.7,rrr,2.5,2.9,8.7,0.0411,Southern_California.20010126.stacov.point-2016/02/16-09:33:52 
20010127,2001.074,-317.1,292.6,3.6,rrr,2.5,2.9,8.6,0.0552,Southern_California.20010127.stacov.point-2016/02/16-09:33:52 
20010128,2001.0768,-317.4,292.4,7.3,rrr,2.5,2.9,8.6,0.0541,Southern_California.20010128.stacov.point-2016/02/16-09:33:53 
20010129,2001.0795,-316.5,292.0,-0.1,rrr,2.5,2.9,8.6,0.0562,Southern_California.20010129.stacov.point-2016/02/16-09:33:54 
20010130,2001.0822,-315.7,294.3,2.7,rrr,2.5,2.7,8.5,-0.0109,Southern_California.20010130.stacov.point-2016/02/16-09:33:55 
20010131,2001.085,-313.5,290.8,-1.6,rrr,2.5,2.9,8.7,0.0503,Southern_California.20010131.stacov.point-2016/02/16-09:33:55 
20010201,2001.0877,-313.6,292.4,6.0,rrr,2.5,2.9,8.7,0.0407,Southern_California.20010201.stacov.point-2016/02/16-09:33:56 
20010202,2001.0904,-314.5,292.3,-0.1,rrr,2.5,2.9,8.6,0.0481,Southern_California.20010202.stacov.point-2016/02/16-09:33:57 
20010203,2001.0932,-314.7,291.3,1.7,rrr,2.5,2.8,8.7,0.0464,Southern_California.20010203.stacov.point-2016/02/16-09:33:58 
20010204,2001.0959,-316.9,292.5,4.3,rrr,2.5,2.9,8.7,0.0664,Southern_California.20010204.stacov.point-2016/02/16-09:33:58 
20010205,2001.0987,-314.1,291.0,6.1,rrr,2.5,2.9,8.7,0.0489,Southern_California.20010205.stacov.point-2016/02/16-09:33:59 
20010206,2001.1014,-313.2,291.5,11.7,rrr,2.5,2.8,8.7,0.0409,Southern_California.20010206.stacov.point-2016/02/16-09:34:00 
20010207,2001.1041,-313.5,290.5,10.4,rrr,2.5,2.8,8.7,0.0495,Southern_California.20010207.stacov.point-2016/02/16-09:34:01 
20010208,2001.1069,-314.4,290.9,5.4,rrr,2.5,2.9,8.7,0.0488,Southern_California.20010208.stacov.point-2016/02/16-09:34:01 
20010209,2001.1096,-314.2,290.4,5.3,rrr,2.5,2.9,8.7,0.055,Southern_California.20010209.stacov.point-2016/02/16-09:34:02 
20010210,2001.1123,-311.8,290.4,2.6,rrr,2.5,2.9,8.6,0.0657,Southern_California.20010210.stacov.point-2016/02/16-09:34:03 
20010211,2001.1151,-313.0,291.4,7.2,rrr,2.6,3.0,8.7,0.0293,Southern_California.20010211.stacov.point-2016/02/16-09:34:04 
20010212,2001.1178,-312.4,289.7,5.7,rrr,2.6,2.9,8.7,0.0565,Southern_California.20010212.stacov.point-2016/02/16-09:34:04 
20010213,2001.1206,-314.1,292.8,5.5,rrr,2.5,2.9,8.7,0.0287,Southern_California.20010213.stacov.point-2016/02/16-09:34:05 
20010214,2001.1233,-312.6,293.1,6.4,rrr,2.5,2.9,8.6,0.0476,Southern_California.20010214.stacov.point-2016/02/16-09:34:06 
