,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19950320,1995.2149,-383.3,357.8,-13.9,rrr,5.3,6.5,24.6,0.0009,Southern_California.19950320.stacov.point-2016/02/16-09:20:15 
1,19950322,1995.2204,-380.7,357.4,-28.3,rrr,6.1,8.0,28.5,0.1621,Southern_California.19950322.stacov.point-2016/02/16-09:20:15 
2,19950326,1995.2313,-380.5,358.6,-22.5,rrr,4.4,5.5,19.1,0.0463,Southern_California.19950326.stacov.point-2016/02/16-09:20:16 
3,19950330,1995.2423,-378.2,361.5,-12.4,rrr,7.0,8.0,27.1,0.0215,Southern_California.19950330.stacov.point-2016/02/16-09:20:17 
4,19950520,1995.3818,-379.5,359.0,-22.4,rrr,9.6,10.8,46.4,0.0422,Southern_California.19950520.stacov.point-2018/07/13-10:56:34 
5,19950619,1995.4639,-375.8,350.7,-23.9,rrr,6.8,7.3,28.3,0.2212,Southern_California.19950619.stacov.point-2016/02/16-09:20:37 
6,19950624,1995.4776,-375.0,352.1,-14.9,rrr,5.6,6.0,21.0,0.18,Southern_California.19950624.stacov.point-2016/02/16-09:20:38 
7,19950625,1995.4804,-377.0,355.0,-14.5,rrr,6.3,8.8,28.1,0.2484,Southern_California.19950625.stacov.point-2016/02/16-09:20:39 
8,19950626,1995.4831,-376.4,354.9,-24.2,rrr,4.6,6.0,20.2,0.1303,Southern_California.19950626.stacov.point-2016/02/16-09:20:39 
9,19950627,1995.4858,-373.0,354.6,-25.2,rrr,3.7,4.5,14.7,0.0627,Southern_California.19950627.stacov.point-2016/02/16-09:20:39 
10,19950703,1995.5023,-378.1,349.9,-26.0,rrr,6.7,7.8,28.5,-0.1187,Southern_California.19950703.stacov.point-2016/02/16-09:20:41 
11,19950704,1995.505,-376.5,350.9,-24.0,rrr,6.6,8.4,27.0,0.321,Southern_California.19950704.stacov.point-2016/02/16-09:20:41 
12,19950705,1995.5077,-374.8,353.0,-14.0,rrr,6.7,6.9,24.7,0.1841,Southern_California.19950705.stacov.point-2016/02/16-09:20:41 
13,19950707,1995.5132,-377.9,351.4,-20.3,rrr,4.8,5.6,18.8,0.1243,Southern_California.19950707.stacov.point-2016/02/16-09:20:42 
14,19950708,1995.5159,-378.9,349.9,-15.2,rrr,6.4,6.6,24.8,0.1991,Southern_California.19950708.stacov.point-2016/02/16-09:20:42 
15,19950709,1995.5187,-375.0,350.7,-18.3,rrr,6.0,7.4,23.5,0.2491,Southern_California.19950709.stacov.point-2016/02/16-09:20:42 
16,19950827,1995.6528,-370.3,342.7,-37.7,rrr,5.2,6.7,21.5,-0.1499,Southern_California.19950827.stacov.point-2016/02/16-09:20:55 
17,19950828,1995.6556,-370.0,343.5,-15.6,rrr,2.9,3.4,10.8,0.0325,Southern_California.19950828.stacov.point-2016/02/16-09:20:55 
18,19950829,1995.6583,-371.9,343.4,-18.4,rrr,3.1,3.6,11.4,-0.0352,Southern_California.19950829.stacov.point-2016/02/16-09:20:56 
19,19950830,1995.6611,-371.8,343.9,-19.3,rrr,3.0,3.6,11.3,0.0683,Southern_California.19950830.stacov.point-2016/02/16-09:20:56 
20,19950831,1995.6638,-374.0,342.4,-22.7,rrr,3.0,3.6,11.7,0.0038,Southern_California.19950831.stacov.point-2016/02/16-09:20:56 
21,19950901,1995.6665,-373.8,343.6,-13.5,rrr,2.9,3.6,11.5,0.0425,Southern_California.19950901.stacov.point-2016/02/16-09:20:57 
22,19950902,1995.6693,-372.3,342.8,-15.1,rrr,3.2,3.8,11.8,0.0923,Southern_California.19950902.stacov.point-2016/02/16-09:20:57 
23,19950903,1995.672,-371.2,343.7,-16.9,rrr,3.2,3.8,12.2,0.0301,Southern_California.19950903.stacov.point-2016/02/16-09:20:57 
24,19950904,1995.6747,-372.6,345.1,-19.8,rrr,2.9,3.4,10.6,0.0704,Southern_California.19950904.stacov.point-2016/02/16-09:20:57 
25,19950905,1995.6775,-370.3,342.3,-24.1,rrr,2.9,3.4,10.6,0.0244,Southern_California.19950905.stacov.point-2016/02/16-09:20:58 
26,19950906,1995.6802,-369.3,341.6,-21.0,rrr,3.0,3.5,11.5,0.0287,Southern_California.19950906.stacov.point-2016/02/16-09:20:58 
27,19950907,1995.683,-371.7,345.2,-18.0,rrr,3.1,3.7,11.7,0.0417,Southern_California.19950907.stacov.point-2016/02/16-09:20:58 
28,19950908,1995.6857,-369.1,346.7,-17.1,rrr,3.1,3.5,11.2,0.0563,Southern_California.19950908.stacov.point-2016/02/16-09:20:58 
29,19950909,1995.6884,-369.4,345.9,-25.0,rrr,3.1,3.6,11.7,0.0538,Southern_California.19950909.stacov.point-2016/02/16-09:20:59 
30,19950910,1995.6912,-369.3,345.4,-22.0,rrr,3.0,3.8,11.7,0.0539,Southern_California.19950910.stacov.point-2016/02/16-09:20:59 
31,19950911,1995.6939,-369.7,345.0,-11.7,rrr,3.4,3.9,12.1,-0.0238,Southern_California.19950911.stacov.point-2016/02/16-09:20:59 
32,19950912,1995.6966,-367.9,346.1,-16.7,rrr,3.0,3.6,11.3,0.1048,Southern_California.19950912.stacov.point-2016/02/16-09:20:59 
33,19950913,1995.6994,-367.5,344.6,-18.9,rrr,3.0,3.7,11.1,0.0136,Southern_California.19950913.stacov.point-2016/02/16-09:21:00 
34,19950914,1995.7021,-368.6,343.7,-24.2,rrr,3.1,3.6,11.5,0.0367,Southern_California.19950914.stacov.point-2016/02/16-09:21:00 
35,19950915,1995.7049,-370.5,349.7,-14.2,rrr,3.9,4.6,15.0,0.0647,Southern_California.19950915.stacov.point-2016/02/16-09:21:00 
36,19950916,1995.7076,-367.0,344.0,-25.7,rrr,3.1,3.6,11.3,0.0348,Southern_California.19950916.stacov.point-2016/02/16-09:21:00 
37,19950917,1995.7103,-365.0,344.4,-12.6,rrr,3.0,3.5,11.1,0.0835,Southern_California.19950917.stacov.point-2016/02/16-09:21:01 
38,19950918,1995.7131,-366.8,345.5,-20.1,rrr,2.8,3.4,10.3,0.0583,Southern_California.19950918.stacov.point-2016/02/16-09:21:01 
