DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19981015,1998.7877,-164.8,168.5,0.7,rrr,2.8,3.3,11.2,-0.0031,Southern_California.19981015.stacov.point-2016/02/16-09:26:20 
19981016,1998.7905,-164.1,169.6,1.2,rrr,2.6,3.3,10.9,0.0171,Southern_California.19981016.stacov.point-2016/02/16-09:26:20 
19981017,1998.7932,-166.1,169.6,-10.0,rrr,2.6,3.2,10.5,-0.0154,Southern_California.19981017.stacov.point-2016/02/16-09:26:21 
19981018,1998.796,-163.5,169.9,-4.1,rrr,2.7,3.4,11.0,-0.0226,Southern_California.19981018.stacov.point-2016/02/16-09:26:21 
19981019,1998.7987,-163.1,164.2,-3.9,rrr,2.6,3.2,10.5,-0.0011,Southern_California.19981019.stacov.point-2016/02/16-09:26:21 
19981020,1998.8014,-165.4,166.7,-1.9,rrr,2.6,3.2,10.5,-0.0038,Southern_California.19981020.stacov.point-2016/02/16-09:26:22 
19981021,1998.8042,-164.9,166.2,-1.7,rrr,2.7,3.3,10.8,0.0531,Southern_California.19981021.stacov.point-2016/02/16-09:26:22 
19981022,1998.8069,-162.3,168.8,1.5,rrr,2.6,3.1,10.7,-0.0331,Southern_California.19981022.stacov.point-2016/02/16-09:26:22 
19981024,1998.8124,-162.7,166.4,-4.6,rrr,2.6,3.2,10.5,-0.0451,Southern_California.19981024.stacov.point-2016/02/16-09:26:23 
19981025,1998.8152,-164.1,169.4,-0.3,rrr,2.6,3.2,10.7,-0.0452,Southern_California.19981025.stacov.point-2016/02/16-09:26:23 
19981026,1998.818,-163.9,167.3,-6.8,rrr,2.6,3.4,10.8,0.0076,Southern_California.19981026.stacov.point-2016/02/16-09:26:24 
19981027,1998.8207,-165.2,167.9,-6.1,rrr,2.6,3.2,10.5,-0.0041,Southern_California.19981027.stacov.point-2016/02/16-09:26:24 
19981028,1998.8235,-163.8,167.8,1.0,rrr,2.6,3.2,10.5,-0.0129,Southern_California.19981028.stacov.point-2016/02/16-09:26:24 
19981029,1998.8262,-162.0,167.2,2.0,rrr,2.6,3.2,10.5,-0.0316,Southern_California.19981029.stacov.point-2016/02/16-09:26:25 
19981104,1998.8426,-164.0,168.1,-8.1,rrr,2.7,3.2,10.7,-0.0497,Southern_California.19981104.stacov.point-2016/02/16-09:26:27 
19981105,1998.8454,-164.5,166.0,1.5,rrr,2.6,3.1,10.7,-0.0381,Southern_California.19981105.stacov.point-2016/02/16-09:26:27 
19981106,1998.8481,-162.4,165.4,-4.9,rrr,2.6,3.2,10.5,0.0073,Southern_California.19981106.stacov.point-2016/02/16-09:26:27 
19981107,1998.8508,-162.0,168.8,-7.5,rrr,2.6,3.2,10.5,0.0002,Southern_California.19981107.stacov.point-2016/02/16-09:26:28 
19981108,1998.8536,-160.9,166.1,-7.3,rrr,2.7,3.2,10.7,-0.0503,Southern_California.19981108.stacov.point-2016/02/16-09:26:28 
19981109,1998.8563,-163.4,167.5,-7.9,rrr,2.7,3.2,10.5,-0.0053,Southern_California.19981109.stacov.point-2016/02/16-09:26:28 
19981110,1998.859,-162.6,164.9,3.0,rrr,2.7,3.1,10.7,-0.0414,Southern_California.19981110.stacov.point-2016/02/16-09:26:29 
19981111,1998.8618,-163.3,166.3,-8.9,rrr,2.6,3.2,10.5,-0.0136,Southern_California.19981111.stacov.point-2016/02/16-09:26:29 
19981112,1998.8645,-160.4,166.2,-3.7,rrr,2.7,3.2,10.5,-0.0034,Southern_California.19981112.stacov.point-2016/02/16-09:26:29 
19981113,1998.8673,-162.3,165.6,-3.6,rrr,2.6,3.1,10.2,-0.0471,Southern_California.19981113.stacov.point-2016/02/16-09:26:30 
19981114,1998.87,-162.2,164.8,1.4,rrr,2.7,3.3,10.5,0.006,Southern_California.19981114.stacov.point-2016/02/16-09:26:30 
19981115,1998.8727,-163.9,164.9,-2.0,rrr,2.7,3.2,10.5,-0.0071,Southern_California.19981115.stacov.point-2016/02/16-09:26:30 
19981116,1998.8755,-162.4,164.1,-0.4,rrr,2.6,3.2,10.5,-0.0094,Southern_California.19981116.stacov.point-2016/02/16-09:26:31 
19981117,1998.8782,-160.7,166.1,-1.7,rrr,2.7,3.2,10.5,0.0,Southern_California.19981117.stacov.point-2016/02/16-09:26:31 
19981118,1998.8809,-163.1,165.8,1.3,rrr,2.6,3.2,10.3,0.0221,Southern_California.19981118.stacov.point-2016/02/16-09:26:31 
19981119,1998.8837,-161.1,164.8,-1.3,rrr,2.6,3.2,10.5,-0.0244,Southern_California.19981119.stacov.point-2016/02/16-09:26:32 
19981120,1998.8864,-163.4,164.1,-1.4,rrr,2.7,3.2,10.5,-0.0062,Southern_California.19981120.stacov.point-2016/02/16-09:26:32 
19981121,1998.8892,-162.6,165.4,-3.6,rrr,2.7,3.2,10.5,-0.0127,Southern_California.19981121.stacov.point-2016/02/16-09:26:32 
19981122,1998.8919,-161.6,166.0,-3.3,rrr,2.7,3.2,10.5,0.0026,Southern_California.19981122.stacov.point-2016/02/16-09:26:33 
19981123,1998.8946,-162.8,164.8,0.2,rrr,2.7,3.2,10.5,-0.0049,Southern_California.19981123.stacov.point-2016/02/16-09:26:33 
