,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20000615,2000.4551,-389.1,324.7,0.2,rrr,2.6,3.0,9.1,0.0323,Southern_California.20000615.stacov.point-2016/02/16-09:31:18 
1,20000616,2000.4579,-391.0,322.6,3.4,rrr,2.5,3.0,8.9,0.0589,Southern_California.20000616.stacov.point-2016/02/16-09:31:19 
2,20000617,2000.4606,-388.5,326.0,4.3,rrr,2.4,2.9,8.6,0.0234,Southern_California.20000617.stacov.point-2016/02/16-09:31:19 
3,20000618,2000.4633,-388.5,324.8,0.8,rrr,2.4,2.8,8.4,0.0468,Southern_California.20000618.stacov.point-2016/02/16-09:31:20 
4,20000619,2000.4661,-390.6,324.7,6.8,rrr,2.5,2.9,9.3,0.0549,Southern_California.20000619.stacov.point-2016/02/16-09:31:21 
5,20000620,2000.4688,-389.4,323.9,-1.5,rrr,2.5,2.8,8.8,0.0096,Southern_California.20000620.stacov.point-2016/02/16-09:31:21 
6,20000621,2000.4716,-389.7,323.9,-0.5,rrr,2.5,3.1,9.1,0.0225,Southern_California.20000621.stacov.point-2016/02/16-09:31:22 
7,20000622,2000.4743,-391.7,325.3,5.5,rrr,2.6,3.0,9.4,-0.0078,Southern_California.20000622.stacov.point-2016/02/16-09:31:23 
8,20000623,2000.477,-390.0,326.2,2.8,rrr,2.6,3.1,9.6,0.0687,Southern_California.20000623.stacov.point-2016/02/16-09:31:23 
9,20000624,2000.4798,-391.7,324.5,5.0,rrr,2.7,3.1,9.6,0.057,Southern_California.20000624.stacov.point-2016/02/16-09:31:24 
10,20000625,2000.4825,-391.1,324.1,-5.6,rrr,2.5,3.0,8.9,0.0617,Southern_California.20000625.stacov.point-2016/02/16-09:31:25 
11,20000626,2000.4852,-391.3,324.6,0.6,rrr,2.6,3.0,9.1,0.0278,Southern_California.20000626.stacov.point-2016/02/16-09:31:25 
12,20000627,2000.488,-390.4,324.3,0.6,rrr,3.3,3.5,11.8,0.0583,Southern_California.20000627.stacov.point-2016/02/16-09:31:26 
13,20000707,2000.5154,-390.1,322.1,-6.8,rrr,2.6,3.0,9.1,0.0065,Southern_California.20000707.stacov.point-2016/02/16-09:31:32 
14,20000708,2000.5181,-389.3,322.8,-9.3,rrr,2.6,3.0,9.1,0.0317,Southern_California.20000708.stacov.point-2016/02/16-09:31:33 
15,20000709,2000.5208,-387.9,324.8,0.6,rrr,2.6,2.9,9.1,0.0333,Southern_California.20000709.stacov.point-2016/02/16-09:31:33 
16,20000710,2000.5236,-390.2,321.7,1.9,rrr,2.5,2.9,9.1,0.0064,Southern_California.20000710.stacov.point-2016/02/16-09:31:34 
17,20000711,2000.5263,-389.2,320.2,2.2,rrr,2.5,2.8,8.7,0.0004,Southern_California.20000711.stacov.point-2016/02/16-09:31:35 
18,20000712,2000.5291,-387.8,320.8,-8.5,rrr,2.5,3.0,8.9,0.0524,Southern_California.20000712.stacov.point-2016/02/16-09:31:35 
