,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20211107,2021.852,-3.2,-0.9,1.6,ppp,3.2,4.3,13.4,-0.0418,Southern_California.20211107.stacov.point-2021/11/09-05:12:45 
1,20211108,2021.8547,-1.7,1.7,-5.6,ppp,3.2,4.3,13.4,0.0126,Southern_California.20211108.stacov.point-2021/11/10-05:23:57 
2,20211109,2021.8575,-3.4,3.9,-5.3,ppp,3.3,4.3,13.6,0.0002,Southern_California.20211109.stacov.point-2021/11/11-05:23:55 
3,20211110,2021.8602,-2.2,1.7,-11.4,ppp,3.2,4.3,13.3,-0.0241,Southern_California.20211110.stacov.point-2021/11/12-05:12:56 
4,20211111,2021.863,-4.1,1.2,-6.3,ppp,3.1,4.2,13.1,-0.0382,Southern_California.20211111.stacov.point-2021/11/13-05:21:02 
5,20211115,2021.8739,-3.7,1.4,-9.2,rrr,3.2,4.3,13.1,0.0143,Southern_California.20211115.stacov.point-2022/01/13-23:26:22 
6,20211116,2021.8766,-3.3,1.0,-6.8,rrr,3.2,4.4,13.2,0.0047,Southern_California.20211116.stacov.point-2022/01/14-23:27:51 
7,20211117,2021.8794,-2.0,-0.0,-1.6,ppp,3.1,4.2,12.9,-0.0285,Southern_California.20211117.stacov.point-2021/11/19-05:13:31 
8,20211118,2021.8821,-2.9,0.9,2.0,ppp,3.1,4.1,12.6,-0.0411,Southern_California.20211118.stacov.point-2021/11/20-05:11:50 
9,20211119,2021.8849,-0.4,3.3,1.4,ppp,3.1,4.0,12.6,-0.0277,Southern_California.20211119.stacov.point-2021/11/21-05:12:12 
10,20211120,2021.8876,0.8,2.6,-9.2,ppp,3.2,4.0,12.8,-0.0234,Southern_California.20211120.stacov.point-2021/11/22-05:10:28 
11,20211121,2021.8903,0.2,-0.1,-9.0,ppp,3.1,4.1,12.9,-0.0052,Southern_California.20211121.stacov.point-2021/11/23-05:10:28 
12,20211122,2021.8931,-0.5,2.2,-0.1,ppp,3.1,4.1,12.8,-0.0207,Southern_California.20211122.stacov.point-2021/11/24-05:10:27 
13,20211123,2021.8958,0.2,2.2,1.6,ppp,3.3,4.4,13.4,0.0007,Southern_California.20211123.stacov.point-2021/11/25-05:25:57 
14,20211124,2021.8985,-0.8,-2.2,2.5,ppp,3.1,4.2,13.1,-0.0282,Southern_California.20211124.stacov.point-2021/11/26-05:12:28 
15,20211125,2021.9013,0.7,2.4,-4.4,ppp,3.1,4.1,12.6,-0.0365,Southern_California.20211125.stacov.point-2021/11/27-05:11:51 
16,20211126,2021.904,-0.8,2.8,-4.4,ppp,3.2,4.2,13.3,-0.0356,Southern_California.20211126.stacov.point-2021/11/28-05:23:59 
17,20211127,2021.9068,-0.9,0.8,2.7,ppp,3.1,4.2,13.0,-0.0964,Southern_California.20211127.stacov.point-2021/11/29-05:11:42 
18,20211128,2021.9095,-2.4,-2.0,-6.1,rrr,3.1,4.2,12.8,-0.0366,Southern_California.20211128.stacov.point-2021/12/13-23:31:18 
19,20211129,2021.9122,-0.1,-0.3,1.4,rrr,3.1,4.1,13.0,-0.0484,Southern_California.20211129.stacov.point-2021/12/14-23:29:55 
20,20211130,2021.915,-3.8,1.6,-5.0,rrr,3.3,4.5,13.7,0.0341,Southern_California.20211130.stacov.point-2021/12/15-23:30:31 
21,20211201,2021.9177,-1.4,0.8,-13.9,rrr,3.1,4.2,13.1,-0.0348,Southern_California.20211201.stacov.point-2021/12/16-23:41:32 
22,20211202,2021.9205,-1.3,0.8,-5.0,ppp,3.3,4.4,14.3,-0.0341,Southern_California.20211202.stacov.point-2021/12/04-05:20:38 
23,20211203,2021.9232,1.6,2.3,9.4,ppp,3.2,4.3,14.1,-0.0484,Southern_California.20211203.stacov.point-2021/12/05-05:16:28 
24,20211204,2021.9259,-1.4,1.5,-12.1,ppp,3.3,4.4,13.8,-0.0577,Southern_California.20211204.stacov.point-2021/12/06-05:16:08 
25,20211205,2021.9287,0.8,0.7,1.1,ppp,3.1,4.2,13.1,-0.0087,Southern_California.20211205.stacov.point-2021/12/07-05:28:21 
26,20211206,2021.9314,0.6,-1.0,-9.1,ppp,3.3,4.3,13.6,0.0035,Southern_California.20211206.stacov.point-2021/12/08-05:16:44 
27,20211207,2021.9341,2.1,0.0,-5.9,ppp,3.3,4.4,13.6,-0.0069,Southern_California.20211207.stacov.point-2021/12/09-05:13:18 
28,20211208,2021.9369,0.2,-0.3,-3.7,ppp,3.3,4.2,13.5,-0.0344,Southern_California.20211208.stacov.point-2021/12/10-05:15:29 
29,20211209,2021.9396,1.4,-3.3,5.5,ppp,3.3,4.4,14.2,-0.0116,Southern_California.20211209.stacov.point-2021/12/11-07:31:57 
30,20211210,2021.9424,-1.8,-0.9,-3.9,ppp,3.5,4.4,14.3,0.0839,Southern_California.20211210.stacov.point-2021/12/12-05:22:08 
31,20211211,2021.9451,0.7,0.7,-9.6,ppp,3.3,4.2,13.5,-0.0318,Southern_California.20211211.stacov.point-2021/12/13-05:20:28 
32,20211212,2021.9478,-1.5,0.9,-1.2,ppp,3.3,4.3,13.8,0.0215,Southern_California.20211212.stacov.point-2021/12/14-05:21:37 
33,20211213,2021.9506,2.5,1.4,2.6,ppp,3.2,4.2,13.3,-0.0496,Southern_California.20211213.stacov.point-2021/12/15-05:21:47 
34,20211214,2021.9533,-2.0,0.9,13.3,ppp,3.3,4.4,14.0,-0.0275,Southern_California.20211214.stacov.point-2021/12/16-05:11:35 
35,20211215,2021.956,0.3,-1.4,6.0,ppp,3.3,4.3,14.1,-0.0391,Southern_California.20211215.stacov.point-2021/12/17-05:10:35 
36,20211216,2021.9588,-0.9,-1.3,1.9,ppp,3.2,4.3,14.1,-0.0412,Southern_California.20211216.stacov.point-2021/12/18-05:09:39 
37,20211217,2021.9615,0.9,-0.7,-4.0,ppp,3.3,4.5,14.3,0.0109,Southern_California.20211217.stacov.point-2021/12/19-05:10:25 
38,20211218,2021.9643,4.1,-2.8,-7.5,ppp,3.3,4.4,14.2,0.0246,Southern_California.20211218.stacov.point-2021/12/20-05:11:06 
39,20211219,2021.967,0.7,1.4,5.6,ppp,3.3,4.4,14.1,-0.0235,Southern_California.20211219.stacov.point-2021/12/21-05:10:38 
40,20211220,2021.9697,-0.4,-0.7,9.0,ppp,3.3,4.4,14.1,-0.0309,Southern_California.20211220.stacov.point-2021/12/22-05:10:53 
41,20211221,2021.9725,1.3,1.5,2.9,ppp,3.2,4.3,13.9,-0.0211,Southern_California.20211221.stacov.point-2021/12/23-05:11:16 
42,20211223,2021.9779,-1.9,0.2,-2.7,ppp,3.3,4.5,14.3,0.0323,Southern_California.20211223.stacov.point-2021/12/25-05:10:09 
43,20211224,2021.9807,-2.9,-2.0,17.8,ppp,3.3,4.4,14.2,-0.0348,Southern_California.20211224.stacov.point-2021/12/26-05:10:10 
44,20211225,2021.9834,-2.8,-1.4,13.5,ppp,3.3,4.4,14.1,-0.0184,Southern_California.20211225.stacov.point-2021/12/27-07:30:13 
45,20211226,2021.9862,-0.1,-0.4,6.3,ppp,3.4,4.5,14.7,-0.0532,Southern_California.20211226.stacov.point-2021/12/28-05:11:12 
46,20211227,2021.9889,-2.5,-1.5,4.2,ppp,3.4,4.5,14.7,0.02,Southern_California.20211227.stacov.point-2021/12/29-05:10:36 
47,20211228,2021.9916,1.2,-1.8,4.1,ppp,3.3,4.4,14.0,-0.0571,Southern_California.20211228.stacov.point-2021/12/30-05:10:05 
48,20211229,2021.9944,1.1,0.7,7.3,rrr,3.3,4.4,13.8,-0.0502,Southern_California.20211229.stacov.point-2022/01/13-23:41:29 
49,20211230,2021.9971,2.2,-0.9,15.9,rrr,3.2,4.3,13.6,-0.034,Southern_California.20211230.stacov.point-2022/01/14-23:44:40 
50,20211231,2021.9999,0.5,-0.2,15.3,rrr,3.3,4.3,13.8,-0.0646,Southern_California.20211231.stacov.point-2022/01/15-23:43:24 
51,20220101,2022.0026,2.4,-1.3,3.8,ppp,3.2,4.2,13.5,-0.0247,Southern_California.20220101.stacov.point-2022/01/03-05:11:31 
52,20220103,2022.0081,2.5,-0.8,-0.3,rrr,3.3,4.4,13.6,0.028,Southern_California.20220103.stacov.point-2022/01/18-23:40:34 
53,20220104,2022.0108,1.8,-1.4,4.2,ppp,3.3,4.4,14.0,0.0328,Southern_California.20220104.stacov.point-2022/01/06-05:11:13 
54,20220105,2022.0135,2.7,-2.8,-2.4,ppp,3.2,4.3,13.5,-0.0054,Southern_California.20220105.stacov.point-2022/01/07-05:27:14 
55,20220106,2022.0163,4.5,-1.6,2.1,ppp,3.2,4.3,13.8,-0.0442,Southern_California.20220106.stacov.point-2022/01/08-05:11:18 
56,20220108,2022.0218,0.9,-2.1,-0.2,ppp,3.2,4.3,13.4,-0.0048,Southern_California.20220108.stacov.point-2022/01/10-05:11:37 
57,20220109,2022.0245,2.1,-0.2,2.0,ppp,3.2,4.3,13.6,0.0149,Southern_California.20220109.stacov.point-2022/01/11-05:10:36 
58,20220111,2022.03,2.4,-1.0,6.9,ppp,3.2,4.2,13.6,-0.0016,Southern_California.20220111.stacov.point-2022/01/13-05:10:41 
59,20220112,2022.0327,3.5,-1.4,-1.9,ppp,3.3,4.3,14.0,0.0531,Southern_California.20220112.stacov.point-2022/01/14-05:11:12 
60,20220113,2022.0354,4.8,-1.1,1.6,ppp,3.2,4.3,13.6,-0.0062,Southern_California.20220113.stacov.point-2022/01/15-05:11:46 
61,20220114,2022.0382,3.8,-2.5,7.1,ppp,3.3,4.4,14.0,0.0609,Southern_California.20220114.stacov.point-2022/01/16-05:11:55 
62,20220116,2022.0437,0.9,-1.6,5.5,ppp,3.4,4.5,14.3,0.0036,Southern_California.20220116.stacov.point-2022/01/18-05:13:02 
63,20220117,2022.0464,2.1,-1.5,-8.4,ppp,3.3,4.4,14.2,-0.0264,Southern_California.20220117.stacov.point-2022/01/19-05:11:55 
