,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20090516,2009.3725,-46.7,54.8,-8.5,rrr,2.7,2.9,9.3,0.0258,Southern_California.20090516.stacov.point-2016/02/16-11:21:14 
1,20090517,2009.3752,-47.6,55.7,-9.0,rrr,2.5,2.8,8.4,0.0732,Southern_California.20090517.stacov.point-2016/02/16-11:21:17 
2,20090518,2009.378,-47.6,54.0,-12.3,rrr,2.4,2.7,8.5,0.0782,Southern_California.20090518.stacov.point-2016/02/16-11:21:21 
3,20090519,2009.3807,-47.3,55.7,-15.5,rrr,2.5,2.8,8.7,0.0621,Southern_California.20090519.stacov.point-2016/02/16-11:21:24 
4,20090520,2009.3835,-48.2,56.8,-13.0,rrr,2.5,2.8,8.4,0.0904,Southern_California.20090520.stacov.point-2016/02/16-11:21:27 
5,20090521,2009.3862,-48.7,56.1,-9.7,rrr,2.4,2.8,8.5,0.0864,Southern_California.20090521.stacov.point-2016/02/16-11:21:33 
6,20090522,2009.3889,-48.9,52.9,-9.4,rrr,2.5,2.8,8.4,0.0796,Southern_California.20090522.stacov.point-2016/02/16-11:21:35 
7,20090523,2009.3917,-48.2,52.6,-8.2,rrr,2.5,2.8,8.4,0.0827,Southern_California.20090523.stacov.point-2016/02/16-11:21:38 
8,20090524,2009.3944,-48.9,53.2,-9.7,rrr,2.5,2.8,8.5,0.0842,Southern_California.20090524.stacov.point-2016/02/16-11:21:44 
9,20090525,2009.3971,-49.0,53.0,-9.9,rrr,2.5,2.8,8.2,0.0941,Southern_California.20090525.stacov.point-2016/02/16-11:21:47 
10,20090526,2009.3999,-50.3,54.0,-3.7,rrr,2.5,2.8,8.5,0.0901,Southern_California.20090526.stacov.point-2016/02/16-11:21:50 
11,20090527,2009.4026,-49.6,53.7,-16.1,rrr,2.5,2.8,8.4,0.0721,Southern_California.20090527.stacov.point-2016/02/16-11:21:52 
12,20090528,2009.4054,-47.8,52.4,-15.7,rrr,2.5,2.6,8.3,0.0301,Southern_California.20090528.stacov.point-2016/02/16-11:21:55 
13,20090529,2009.4081,-47.7,54.0,-6.8,rrr,2.5,2.7,8.4,0.0743,Southern_California.20090529.stacov.point-2016/02/16-11:21:57 
14,20090530,2009.4108,-49.4,53.8,-7.3,rrr,2.4,2.7,8.5,0.0778,Southern_California.20090530.stacov.point-2016/02/16-11:22:02 
15,20090531,2009.4136,-48.4,55.7,-11.3,rrr,2.5,2.7,8.4,0.0793,Southern_California.20090531.stacov.point-2016/02/16-11:22:03 
16,20090601,2009.4163,-50.6,56.0,-3.8,rrr,2.5,2.8,8.4,0.0866,Southern_California.20090601.stacov.point-2016/02/16-11:22:05 
17,20090602,2009.419,-50.1,53.6,-5.1,rrr,2.5,2.8,8.4,0.0731,Southern_California.20090602.stacov.point-2016/02/16-11:22:09 
18,20090603,2009.4218,-48.6,54.5,-10.4,rrr,2.5,2.8,8.4,0.0824,Southern_California.20090603.stacov.point-2016/02/16-11:22:12 
19,20090604,2009.4245,-51.2,54.2,-2.9,rrr,2.4,2.7,8.7,0.0381,Southern_California.20090604.stacov.point-2016/02/16-11:22:15 
20,20090605,2009.4273,-51.8,55.9,-9.8,rrr,2.4,2.8,8.2,0.0943,Southern_California.20090605.stacov.point-2016/02/16-11:22:19 
21,20090606,2009.43,-49.7,54.2,-9.5,rrr,2.5,2.8,8.4,0.076,Southern_California.20090606.stacov.point-2016/02/16-11:22:21 
22,20090607,2009.4327,-50.2,54.7,-2.4,rrr,2.5,2.8,8.2,0.0953,Southern_California.20090607.stacov.point-2016/02/16-11:22:23 
23,20090608,2009.4355,-48.9,54.8,-3.4,rrr,2.5,2.7,8.5,0.0669,Southern_California.20090608.stacov.point-2016/02/16-11:22:26 
24,20090609,2009.4382,-49.0,54.9,-4.4,rrr,2.5,2.7,8.5,0.0703,Southern_California.20090609.stacov.point-2016/02/16-11:22:28 
