DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20200112,2020.0313,-19.0,19.1,0.5,rrr,2.5,3.1,9.3,0.0024,Southern_California.20200112.stacov.point-2020/05/11-22:28:16 
20200113,2020.034,-19.0,18.6,-3.6,rrr,2.5,3.0,9.2,-0.0445,Southern_California.20200113.stacov.point-2020/05/12-22:27:09 
20200114,2020.0368,-19.2,17.4,-2.1,rrr,2.5,3.1,9.3,0.0101,Southern_California.20200114.stacov.point-2020/05/13-22:27:06 
20200115,2020.0395,-19.0,18.0,-1.8,rrr,2.4,3.1,9.3,-0.0149,Southern_California.20200115.stacov.point-2020/05/14-22:28:06 
20200116,2020.0422,-18.6,19.0,-3.9,rrr,2.6,3.2,9.4,-0.0081,Southern_California.20200116.stacov.point-2020/05/15-22:28:15 
20200117,2020.045,-18.4,20.1,10.2,rrr,2.6,3.1,9.4,0.029,Southern_California.20200117.stacov.point-2020/05/16-22:25:46 
20200118,2020.0477,-17.0,17.8,-0.3,rrr,2.5,3.1,9.5,-0.0199,Southern_California.20200118.stacov.point-2020/05/17-22:28:42 
20200119,2020.0505,-16.7,19.0,-3.8,rrr,2.4,2.9,9.0,-0.0074,Southern_California.20200119.stacov.point-2020/05/18-22:27:35 
20200120,2020.0532,-16.2,19.7,0.3,rrr,2.5,3.1,9.5,-0.0263,Southern_California.20200120.stacov.point-2020/05/19-22:28:37 
20200121,2020.0559,-17.9,18.5,2.7,rrr,2.5,3.1,9.3,-0.0043,Southern_California.20200121.stacov.point-2020/05/20-22:28:19 
20200122,2020.0587,-17.7,19.1,0.2,rrr,2.4,3.1,9.3,0.017,Southern_California.20200122.stacov.point-2020/05/21-22:28:29 
20200123,2020.0614,-18.7,19.4,1.2,rrr,2.5,3.1,9.7,-0.0323,Southern_California.20200123.stacov.point-2020/05/22-22:27:35 
20200124,2020.0641,-16.8,17.9,-0.5,rrr,2.5,3.0,9.2,-0.0615,Southern_California.20200124.stacov.point-2020/05/23-22:28:43 
20200125,2020.0669,-18.3,17.2,0.3,rrr,2.4,3.1,9.3,0.0036,Southern_California.20200125.stacov.point-2020/05/24-22:27:34 
20200126,2020.0696,-16.6,16.7,2.0,rrr,2.5,3.1,9.3,0.0071,Southern_California.20200126.stacov.point-2020/05/25-22:29:41 
20200127,2020.0724,-17.3,16.9,-2.7,rrr,2.4,3.0,9.0,-0.0341,Southern_California.20200127.stacov.point-2020/05/26-22:28:26 
20200128,2020.0751,-16.1,17.3,4.4,rrr,2.5,3.1,9.7,-0.0388,Southern_California.20200128.stacov.point-2020/05/27-22:26:54 
20200129,2020.0778,-14.4,16.0,0.3,rrr,2.5,3.1,9.3,-0.0032,Southern_California.20200129.stacov.point-2020/05/28-22:28:35 
20200130,2020.0806,-16.9,16.8,2.4,rrr,2.4,3.1,9.3,0.0074,Southern_California.20200130.stacov.point-2020/05/29-22:28:32 
20200131,2020.0833,-15.3,18.4,-2.6,rrr,2.5,3.1,9.3,-0.0032,Southern_California.20200131.stacov.point-2020/05/30-22:28:43 
20200201,2020.0861,-16.3,18.6,-5.1,rrr,2.6,3.2,9.7,-0.05,Southern_California.20200201.stacov.point-2020/05/31-22:29:26 
20200202,2020.0888,-15.7,17.8,-1.7,rrr,2.5,3.1,9.3,-0.004,Southern_California.20200202.stacov.point-2020/06/01-22:29:04 
20200203,2020.0915,-16.6,17.5,2.5,rrr,2.5,3.1,9.5,-0.0218,Southern_California.20200203.stacov.point-2020/06/02-22:28:02 
20200204,2020.0943,-16.5,15.2,-6.0,rrr,2.5,3.1,9.3,-0.0121,Southern_California.20200204.stacov.point-2020/06/03-22:27:52 
20200205,2020.097,-16.8,15.5,0.2,rrr,2.4,3.1,9.1,0.0121,Southern_California.20200205.stacov.point-2020/06/04-22:28:50 
20200206,2020.0997,-16.1,15.3,-0.4,rrr,2.4,3.1,9.3,-0.0168,Southern_California.20200206.stacov.point-2020/06/05-22:30:52 
20200207,2020.1025,-15.2,16.9,-1.8,rrr,2.4,3.1,9.3,-0.0034,Southern_California.20200207.stacov.point-2020/06/06-22:27:54 
20200208,2020.1052,-15.5,15.5,0.4,rrr,2.4,3.1,9.3,-0.0111,Southern_California.20200208.stacov.point-2020/06/07-22:29:59 
20200209,2020.108,-15.2,17.1,3.9,rrr,2.5,3.2,9.3,-0.0303,Southern_California.20200209.stacov.point-2020/06/08-22:27:53 
20200210,2020.1107,-15.6,15.7,2.7,rrr,2.5,3.0,9.7,-0.0169,Southern_California.20200210.stacov.point-2020/06/09-22:27:56 
20200211,2020.1134,-16.2,13.9,2.6,rrr,2.5,3.1,9.3,-0.013,Southern_California.20200211.stacov.point-2020/06/10-22:30:03 
20200212,2020.1162,-14.7,16.4,-0.8,rrr,2.4,3.0,9.0,-0.035,Southern_California.20200212.stacov.point-2020/06/11-22:28:53 
20200213,2020.1189,-14.2,16.2,-2.8,rrr,2.4,3.1,9.3,-0.0003,Southern_California.20200213.stacov.point-2020/06/12-22:27:44 
20200214,2020.1216,-16.1,17.3,1.1,rrr,2.5,3.3,9.8,0.0138,Southern_California.20200214.stacov.point-2020/06/13-22:28:52 
20200215,2020.1244,-16.1,16.7,1.4,rrr,2.5,3.2,9.3,-0.0079,Southern_California.20200215.stacov.point-2020/06/14-22:29:17 
20200216,2020.1271,-15.4,15.6,-0.0,rrr,2.5,3.1,9.5,-0.0168,Southern_California.20200216.stacov.point-2020/06/15-22:27:40 
20200217,2020.1299,-15.4,14.2,2.6,rrr,2.4,3.1,9.3,0.0024,Southern_California.20200217.stacov.point-2020/06/16-22:29:14 
20200218,2020.1326,-13.3,16.6,4.0,rrr,2.4,3.1,9.3,-0.0012,Southern_California.20200218.stacov.point-2020/06/17-22:29:21 
20200219,2020.1353,-12.8,16.3,0.6,rrr,2.5,3.1,9.5,-0.0103,Southern_California.20200219.stacov.point-2020/06/18-22:29:19 
20200220,2020.1381,-14.3,17.0,-3.2,rrr,2.5,3.1,9.7,-0.0129,Southern_California.20200220.stacov.point-2020/06/19-22:28:58 
20200221,2020.1408,-12.9,16.1,-0.3,rrr,2.5,3.1,9.7,-0.0202,Southern_California.20200221.stacov.point-2020/06/20-22:29:20 
20200222,2020.1435,-15.4,16.7,-3.7,rrr,2.5,3.1,9.7,-0.0169,Southern_California.20200222.stacov.point-2020/06/21-22:28:29 
20200223,2020.1463,-14.0,15.0,5.6,rrr,2.5,3.0,9.5,-0.0197,Southern_California.20200223.stacov.point-2020/06/22-22:27:51 
20200224,2020.149,-11.9,14.1,-4.9,rrr,2.5,3.1,9.3,-0.0062,Southern_California.20200224.stacov.point-2020/06/23-22:27:40 
20200225,2020.1518,-14.5,14.6,0.0,rrr,2.5,3.1,9.5,0.0045,Southern_California.20200225.stacov.point-2020/06/24-22:28:45 
20200226,2020.1545,-13.6,14.5,-1.1,rrr,2.5,3.1,9.5,-0.0091,Southern_California.20200226.stacov.point-2020/06/25-22:29:25 
20200227,2020.1572,-14.7,14.6,-2.5,rrr,2.4,3.1,9.3,0.0058,Southern_California.20200227.stacov.point-2020/06/26-22:27:38 
20200228,2020.16,-14.2,12.1,-0.6,rrr,2.5,3.1,9.5,-0.0269,Southern_California.20200228.stacov.point-2020/06/27-22:30:13 
20200229,2020.1627,-12.6,10.8,1.0,rrr,2.5,3.2,9.8,0.0285,Southern_California.20200229.stacov.point-2020/06/28-22:29:53 
20200301,2020.1655,-13.8,11.1,3.7,rrr,2.5,3.2,9.7,0.0661,Southern_California.20200301.stacov.point-2020/06/29-22:30:53 
20200302,2020.1682,-16.8,13.3,-2.9,rrr,2.5,3.1,9.3,0.009,Southern_California.20200302.stacov.point-2020/06/30-22:30:11 
20200303,2020.1709,-12.9,12.4,8.4,rrr,2.5,3.1,9.5,-0.0019,Southern_California.20200303.stacov.point-2020/07/01-22:28:09 
20200304,2020.1737,-13.7,12.2,-0.0,rrr,2.5,3.1,9.5,-0.028,Southern_California.20200304.stacov.point-2020/07/02-22:31:30 
20200305,2020.1764,-12.5,13.3,0.7,rrr,2.4,3.1,9.1,0.0288,Southern_California.20200305.stacov.point-2020/07/03-22:30:00 
20200306,2020.1791,-12.1,13.4,-1.0,rrr,2.5,3.1,9.5,0.0167,Southern_California.20200306.stacov.point-2020/07/04-22:29:09 
20200307,2020.1819,-13.1,13.6,-0.1,rrr,2.4,3.1,9.3,0.0065,Southern_California.20200307.stacov.point-2020/07/05-22:30:32 
