,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20001026,2000.8193,-364.1,325.9,-13.2,rrr,4.2,4.3,14.3,0.0766,Southern_California.20001026.stacov.point-2016/02/16-09:32:45 
1,20001027,2000.822,-367.4,325.5,-13.1,rrr,6.3,7.2,23.1,0.0446,Southern_California.20001027.stacov.point-2016/02/16-09:32:46 
2,20001028,2000.8247,-366.2,326.2,-10.0,rrr,6.2,6.9,23.2,0.0751,Southern_California.20001028.stacov.point-2016/02/16-09:32:46 
3,20001029,2000.8276,-358.0,326.1,-36.0,rrr,6.2,6.3,21.0,0.1205,Southern_California.20001029.stacov.point-2016/02/16-09:32:47 
4,20001030,2000.8303,-341.9,319.1,-29.4,rrr,6.1,6.3,20.6,0.0887,Southern_California.20001030.stacov.point-2016/02/16-09:32:48 
5,20001031,2000.8331,-348.6,323.6,-25.8,rrr,2.5,2.9,9.1,0.049,Southern_California.20001031.stacov.point-2016/02/16-09:32:48 
6,20001101,2000.8358,-361.8,327.6,-28.4,rrr,6.5,7.3,23.9,0.0785,Southern_California.20001101.stacov.point-2016/02/16-09:32:49 
7,20001102,2000.8386,-363.9,327.0,-12.7,rrr,5.8,6.6,20.4,0.0966,Southern_California.20001102.stacov.point-2016/02/16-09:32:50 
8,20001103,2000.8413,-361.0,329.5,-1.4,rrr,5.5,6.2,19.6,0.0479,Southern_California.20001103.stacov.point-2016/02/16-09:32:50 
9,20001104,2000.844,-352.4,322.9,-41.1,rrr,5.9,6.2,20.5,0.0888,Southern_California.20001104.stacov.point-2016/02/16-09:32:51 
10,20001106,2000.8495,-368.9,327.9,-11.7,rrr,5.7,5.9,20.1,0.0922,Southern_California.20001106.stacov.point-2016/02/16-09:32:53 
11,20001107,2000.8522,-365.2,327.9,-2.0,rrr,5.2,5.7,18.2,0.0983,Southern_California.20001107.stacov.point-2016/02/16-09:32:53 
12,20001111,2000.8632,-355.3,325.4,-23.1,rrr,2.6,3.0,9.8,0.0333,Southern_California.20001111.stacov.point-2016/02/16-09:32:56 
13,20001112,2000.8659,-361.9,328.4,0.3,rrr,4.8,5.1,16.3,0.0841,Southern_California.20001112.stacov.point-2016/02/16-09:32:57 
14,20001113,2000.8687,-362.3,328.7,-3.6,rrr,4.9,5.2,17.6,0.1075,Southern_California.20001113.stacov.point-2016/02/16-09:32:58 
15,20001114,2000.8714,-359.7,324.5,-27.5,rrr,5.1,5.8,17.7,0.1631,Southern_California.20001114.stacov.point-2016/02/16-09:32:58 
16,20001115,2000.8741,-351.8,326.3,-23.6,rrr,4.7,4.9,16.5,0.1396,Southern_California.20001115.stacov.point-2016/02/16-09:32:59 
17,20001116,2000.8769,-361.5,330.0,1.9,rrr,4.6,5.0,16.4,0.101,Southern_California.20001116.stacov.point-2016/02/16-09:33:00 
18,20001117,2000.8796,-363.9,328.7,-6.1,rrr,4.5,4.8,16.0,0.0995,Southern_California.20001117.stacov.point-2016/02/16-09:33:01 
19,20001118,2000.8824,-362.0,328.7,-6.7,rrr,4.5,4.7,15.4,0.0941,Southern_California.20001118.stacov.point-2016/02/16-09:33:01 
20,20001121,2000.8906,-362.2,328.4,-2.9,rrr,2.6,2.9,9.3,0.0316,Southern_California.20001121.stacov.point-2016/02/16-09:33:03 
21,20001122,2000.8933,-358.9,332.9,-25.7,rrr,2.6,3.0,9.8,0.0457,Southern_California.20001122.stacov.point-2016/02/16-09:33:04 
22,20001123,2000.896,-360.4,328.4,-5.7,rrr,2.7,3.1,9.8,0.0742,Southern_California.20001123.stacov.point-2016/02/16-09:33:05 
23,20001124,2000.8988,-360.6,325.6,-10.9,rrr,2.7,3.0,9.7,-0.0239,Southern_California.20001124.stacov.point-2016/02/16-09:33:06 
24,20001125,2000.9015,-363.3,327.1,1.1,rrr,2.6,2.9,9.3,0.0367,Southern_California.20001125.stacov.point-2016/02/16-09:33:06 
