DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20000314,2000.2006,-148.0,130.5,13.2,rrr,2.6,3.0,9.5,0.0371,Southern_California.20000314.stacov.point-2016/02/16-09:30:17 
20000315,2000.2034,-147.1,130.7,14.9,rrr,2.6,3.0,9.5,0.036,Southern_California.20000315.stacov.point-2016/02/16-09:30:18 
20000316,2000.2061,-147.5,131.6,11.8,rrr,2.6,3.0,9.6,0.0294,Southern_California.20000316.stacov.point-2016/02/16-09:30:18 
20000317,2000.2088,-148.3,129.6,5.5,rrr,2.7,3.0,9.5,0.023,Southern_California.20000317.stacov.point-2016/02/16-09:30:19 
20000318,2000.2116,-146.4,130.4,3.1,rrr,2.6,3.0,9.3,0.0427,Southern_California.20000318.stacov.point-2016/02/16-09:30:20 
20000319,2000.2143,-148.0,132.3,10.1,rrr,2.6,3.0,9.3,0.0524,Southern_California.20000319.stacov.point-2016/02/16-09:30:20 
20000320,2000.217,-149.0,129.9,17.0,rrr,2.7,3.0,9.5,0.0702,Southern_California.20000320.stacov.point-2016/02/16-09:30:22 
20000321,2000.2198,-152.1,132.9,18.2,rrr,2.6,3.0,9.3,0.075,Southern_California.20000321.stacov.point-2016/02/16-09:30:22 
20000322,2000.2225,-148.9,130.2,8.3,rrr,2.6,3.0,9.6,0.0247,Southern_California.20000322.stacov.point-2016/02/16-09:30:23 
20000323,2000.2253,-147.4,129.6,5.2,rrr,2.7,3.2,9.8,0.0619,Southern_California.20000323.stacov.point-2016/02/16-09:30:24 
20000324,2000.228,-148.1,132.4,8.1,rrr,2.6,2.9,9.3,0.0468,Southern_California.20000324.stacov.point-2016/02/16-09:30:24 
20000325,2000.2307,-150.6,133.0,10.7,rrr,2.6,3.0,9.3,0.0483,Southern_California.20000325.stacov.point-2016/02/16-09:30:25 
20000326,2000.2335,-147.0,129.1,6.5,rrr,2.7,3.1,9.6,0.0662,Southern_California.20000326.stacov.point-2016/02/16-09:30:25 
20000327,2000.2362,-148.7,131.1,7.3,rrr,2.8,3.2,10.4,0.0889,Southern_California.20000327.stacov.point-2016/02/16-09:30:26 
20000328,2000.239,-148.8,133.4,9.9,rrr,2.7,2.9,9.5,-0.0012,Southern_California.20000328.stacov.point-2016/02/16-09:30:28 
