,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19970228,1997.1615,-369.1,341.4,-1.2,rrr,2.8,3.3,10.9,0.0123,Southern_California.19970228.stacov.point-2016/02/16-09:23:25 
1,19970301,1997.1643,-370.2,340.4,-2.7,rrr,2.9,3.5,11.0,0.0556,Southern_California.19970301.stacov.point-2016/02/16-09:23:25 
2,19970302,1997.167,-369.0,341.3,-6.0,rrr,3.0,3.3,11.0,-0.026,Southern_California.19970302.stacov.point-2016/02/16-09:23:25 
3,19970303,1997.1698,-367.3,342.9,-2.3,rrr,2.8,3.4,10.5,0.0502,Southern_California.19970303.stacov.point-2016/02/16-09:23:25 
4,19970304,1997.1725,-365.6,343.6,-4.6,rrr,2.9,3.6,11.1,0.0576,Southern_California.19970304.stacov.point-2016/02/16-09:23:26 
5,19970305,1997.1752,-366.1,341.6,1.5,rrr,2.9,3.4,10.9,0.0393,Southern_California.19970305.stacov.point-2016/02/16-09:23:26 
6,19970306,1997.178,-366.6,342.5,-1.9,rrr,2.9,3.6,11.1,0.0716,Southern_California.19970306.stacov.point-2016/02/16-09:23:26 
7,19970307,1997.1807,-365.1,342.0,-0.6,rrr,2.9,3.6,11.3,0.046,Southern_California.19970307.stacov.point-2016/02/16-09:23:26 
8,19970308,1997.1834,-366.0,341.7,-9.0,rrr,3.0,3.6,11.7,0.0087,Southern_California.19970308.stacov.point-2016/02/16-09:23:27 
9,19970309,1997.1862,-367.3,342.0,0.6,rrr,3.4,3.7,12.8,-0.003,Southern_California.19970309.stacov.point-2016/02/16-09:23:27 
10,19970310,1997.1889,-364.1,340.6,-6.6,rrr,2.9,3.5,11.2,0.0478,Southern_California.19970310.stacov.point-2016/02/16-09:23:27 
11,19970311,1997.1917,-367.2,342.9,0.4,rrr,2.8,3.4,10.6,0.0201,Southern_California.19970311.stacov.point-2016/02/16-09:23:28 
12,19970313,1997.1971,-367.4,340.2,-7.3,rrr,3.1,3.7,12.2,0.0209,Southern_California.19970313.stacov.point-2016/02/16-09:23:28 
13,19970314,1997.1999,-366.7,340.7,-10.8,rrr,3.5,3.8,12.9,0.036,Southern_California.19970314.stacov.point-2016/02/16-09:23:28 
14,19970315,1997.2026,-367.3,339.4,-5.2,rrr,2.9,3.6,11.3,0.0149,Southern_California.19970315.stacov.point-2016/02/16-09:23:29 
15,19970316,1997.2053,-367.6,340.4,-4.2,rrr,2.8,3.2,10.5,-0.0118,Southern_California.19970316.stacov.point-2016/02/16-09:23:29 
16,19970317,1997.2081,-367.2,341.5,-6.2,rrr,2.9,3.5,11.1,0.0703,Southern_California.19970317.stacov.point-2016/02/16-09:23:29 
17,19970318,1997.2108,-366.8,340.0,-5.4,rrr,2.9,3.5,11.4,0.0254,Southern_California.19970318.stacov.point-2016/02/16-09:23:30 
