,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20150813,2015.6149,-25.0,124.1,15.6,rrr,2.5,2.8,8.2,0.0695,Southern_California.20150813.stacov.point-2016/02/16-12:28:11 
1,20150814,2015.6177,-31.1,111.1,-3.4,rrr,2.4,2.6,7.9,0.0429,Southern_California.20150814.stacov.point-2016/02/16-12:28:12 
2,20150815,2015.6204,-30.5,110.7,-9.7,rrr,2.4,2.6,7.7,0.0602,Southern_California.20150815.stacov.point-2016/02/16-12:28:14 
3,20150816,2015.6231,-27.6,120.9,7.6,rrr,2.3,2.6,7.5,0.0637,Southern_California.20150816.stacov.point-2016/02/16-12:28:15 
4,20150817,2015.6259,-30.3,109.8,-9.8,rrr,2.4,2.6,7.7,0.0545,Southern_California.20150817.stacov.point-2016/02/16-12:28:17 
5,20150818,2015.6286,-29.5,110.4,-3.3,rrr,2.3,2.6,7.5,0.0758,Southern_California.20150818.stacov.point-2016/02/16-12:28:18 
6,20150819,2015.6314,-30.0,109.4,-1.8,rrr,2.3,2.6,7.5,0.0735,Southern_California.20150819.stacov.point-2016/02/16-12:28:19 
7,20150820,2015.6341,-30.4,110.0,-5.2,rrr,2.3,2.6,7.5,0.0702,Southern_California.20150820.stacov.point-2016/02/16-12:28:21 
8,20150821,2015.6368,-31.7,110.4,-6.3,rrr,2.4,2.6,7.7,0.0729,Southern_California.20150821.stacov.point-2016/02/16-12:28:22 
9,20150822,2015.6396,-31.2,109.9,-10.6,rrr,2.4,2.6,7.7,0.0632,Southern_California.20150822.stacov.point-2016/02/16-12:28:24 
10,20150823,2015.6423,-30.5,109.6,-7.0,rrr,2.3,2.6,7.5,0.0659,Southern_California.20150823.stacov.point-2016/02/16-12:28:25 
11,20150824,2015.6451,-29.5,110.7,-9.3,rrr,2.3,2.6,7.5,0.0657,Southern_California.20150824.stacov.point-2016/02/16-12:28:27 
12,20150825,2015.6478,-32.0,111.7,-6.4,rrr,2.4,2.6,7.9,0.0385,Southern_California.20150825.stacov.point-2016/02/16-12:28:28 
13,20150826,2015.6505,-28.2,111.4,-6.6,rrr,2.3,2.6,7.5,0.0816,Southern_California.20150826.stacov.point-2016/02/16-12:28:30 
14,20150827,2015.6533,-29.9,110.5,-9.8,rrr,2.3,2.6,7.5,0.0754,Southern_California.20150827.stacov.point-2016/02/16-12:28:31 
15,20150828,2015.656,-29.8,112.0,-11.4,rrr,2.4,2.6,7.9,0.0363,Southern_California.20150828.stacov.point-2016/02/16-12:28:33 
16,20150829,2015.6587,-30.8,110.0,0.5,rrr,2.4,2.6,7.9,0.0496,Southern_California.20150829.stacov.point-2016/02/16-12:28:34 
17,20150830,2015.6615,-29.7,109.2,-7.1,rrr,2.4,2.7,7.9,0.0555,Southern_California.20150830.stacov.point-2016/02/16-12:28:36 
18,20150831,2015.6642,-31.1,111.4,-8.7,rrr,2.3,2.6,7.5,0.0745,Southern_California.20150831.stacov.point-2016/02/16-12:28:37 
19,20150901,2015.667,-29.8,112.6,-7.0,rrr,2.3,2.6,7.5,0.085,Southern_California.20150901.stacov.point-2016/02/16-12:28:38 
20,20150902,2015.6697,-30.3,109.4,-7.2,rrr,2.4,2.6,7.9,0.0367,Southern_California.20150902.stacov.point-2016/02/16-12:28:40 
21,20150903,2015.6724,-29.0,109.8,-2.0,rrr,2.4,2.6,7.9,0.0361,Southern_California.20150903.stacov.point-2016/02/16-12:28:41 
22,20150904,2015.6752,-30.1,109.4,-0.1,rrr,2.3,2.6,7.5,0.0779,Southern_California.20150904.stacov.point-2016/02/16-12:28:43 
