,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20000114,2000.0363,-25.7,47.3,-14.3,rrr,3.9,4.2,13.8,0.019,Southern_California.20000114.stacov.point-2016/02/16-09:29:40 
1,20000115,2000.0391,-24.4,45.9,-8.6,rrr,3.9,4.2,13.9,0.0105,Southern_California.20000115.stacov.point-2016/02/16-09:29:40 
2,20000116,2000.0418,-22.8,47.3,-11.0,rrr,3.7,4.2,13.0,0.0114,Southern_California.20000116.stacov.point-2016/02/16-09:29:41 
3,20000117,2000.0446,-26.1,46.2,-9.3,rrr,3.8,4.2,13.7,0.0117,Southern_California.20000117.stacov.point-2016/02/16-09:29:41 
4,20000118,2000.0473,-27.8,45.3,-6.1,rrr,3.8,4.3,13.7,-0.0038,Southern_California.20000118.stacov.point-2016/02/16-09:29:42 
5,20000119,2000.05,-27.4,45.0,-7.6,rrr,3.9,4.3,13.8,0.0031,Southern_California.20000119.stacov.point-2016/02/16-09:29:43 
6,20000120,2000.0528,-27.4,46.6,-1.0,rrr,3.8,4.1,13.5,0.0529,Southern_California.20000120.stacov.point-2016/02/16-09:29:43 
7,20000121,2000.0555,-28.4,43.2,-2.9,rrr,3.8,4.3,13.7,0.0294,Southern_California.20000121.stacov.point-2016/02/16-09:29:44 
8,20000122,2000.0582,-27.4,41.3,0.1,rrr,3.9,4.2,14.1,-0.0123,Southern_California.20000122.stacov.point-2016/02/16-09:29:45 
9,20000123,2000.061,-26.9,43.4,-0.4,rrr,3.9,4.4,13.9,0.0369,Southern_California.20000123.stacov.point-2016/02/16-09:29:45 
10,20000124,2000.0637,-25.7,41.4,-2.2,rrr,3.7,4.1,13.0,0.0388,Southern_California.20000124.stacov.point-2016/02/16-09:29:46 
11,20000125,2000.0665,-28.1,43.7,-4.7,rrr,3.9,4.2,13.8,0.0244,Southern_California.20000125.stacov.point-2016/02/16-09:29:46 
12,20000126,2000.0692,-24.0,42.8,2.4,rrr,4.0,4.3,14.2,0.01,Southern_California.20000126.stacov.point-2016/02/16-09:29:47 
13,20000127,2000.0719,-26.2,42.6,-5.5,rrr,3.9,4.1,13.5,0.0231,Southern_California.20000127.stacov.point-2016/02/16-09:29:48 
14,20000128,2000.0747,-28.3,42.4,-0.8,rrr,3.8,4.4,13.8,0.0223,Southern_California.20000128.stacov.point-2016/02/16-09:29:48 
15,20000129,2000.0774,-27.0,43.7,-10.8,rrr,4.0,4.4,14.1,-0.0276,Southern_California.20000129.stacov.point-2016/02/16-09:29:49 
16,20000130,2000.0802,-25.3,43.2,-3.2,rrr,3.9,4.1,13.7,0.0139,Southern_California.20000130.stacov.point-2016/02/16-09:29:49 
17,20000131,2000.0829,-26.6,43.9,-12.0,rrr,4.0,4.2,13.9,-0.0174,Southern_California.20000131.stacov.point-2016/02/16-09:29:50 
18,20000201,2000.0856,-27.1,46.9,-9.6,rrr,3.9,4.1,13.7,0.0,Southern_California.20000201.stacov.point-2016/02/16-09:29:51 
19,20000202,2000.0884,-27.9,42.6,-18.1,rrr,4.2,4.4,14.8,-0.0011,Southern_California.20000202.stacov.point-2016/02/16-09:29:51 
20,20000203,2000.0911,-26.9,41.6,-9.6,rrr,5.3,5.5,18.6,-0.0723,Southern_California.20000203.stacov.point-2016/02/16-09:29:52 
21,20000204,2000.0938,-26.9,43.3,-1.9,rrr,2.6,3.0,9.1,0.0744,Southern_California.20000204.stacov.point-2016/02/16-09:29:52 
22,20000205,2000.0966,-26.2,42.7,-3.4,rrr,2.7,3.0,9.5,0.0332,Southern_California.20000205.stacov.point-2016/02/16-09:29:53 
23,20000206,2000.0993,-26.8,42.6,-9.5,rrr,2.5,2.8,9.0,0.0334,Southern_California.20000206.stacov.point-2016/02/16-09:29:54 
24,20000207,2000.1021,-26.4,43.6,-8.2,rrr,2.7,3.0,9.5,0.0349,Southern_California.20000207.stacov.point-2016/02/16-09:29:54 
25,20000208,2000.1048,-27.6,42.6,-7.7,rrr,2.6,3.0,9.3,0.0608,Southern_California.20000208.stacov.point-2016/02/16-09:29:55 
26,20000209,2000.1075,-26.9,43.2,-8.5,rrr,2.6,2.8,9.0,0.0295,Southern_California.20000209.stacov.point-2016/02/16-09:29:56 
27,20000210,2000.1103,-28.4,42.6,0.3,rrr,2.9,3.2,10.1,0.0368,Southern_California.20000210.stacov.point-2016/02/16-09:29:56 
28,20000211,2000.113,-24.0,44.6,-9.3,rrr,2.6,2.8,9.0,0.0107,Southern_California.20000211.stacov.point-2016/02/16-09:29:57 
29,20000212,2000.1157,-24.0,40.9,-1.3,rrr,2.6,3.0,9.1,0.0834,Southern_California.20000212.stacov.point-2016/02/16-09:29:57 
30,20000213,2000.1185,-24.5,43.9,-2.8,rrr,2.6,2.8,9.0,0.0322,Southern_California.20000213.stacov.point-2016/02/16-09:29:58 
