,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20000629,2000.4935,-246.4,233.0,1.5,rrr,2.6,3.1,9.9,-0.0036,Southern_California.20000629.stacov.point-2016/02/16-09:31:27 
1,20000630,2000.4962,-244.7,229.8,4.7,rrr,2.6,3.2,10.0,0.0415,Southern_California.20000630.stacov.point-2016/02/16-09:31:28 
2,20000704,2000.5072,-246.8,231.3,6.6,rrr,2.6,3.1,9.4,0.0604,Southern_California.20000704.stacov.point-2016/02/16-09:31:30 
3,20000705,2000.5099,-244.0,230.4,1.6,rrr,2.6,3.1,9.7,0.0219,Southern_California.20000705.stacov.point-2016/02/16-09:31:31 
4,20000706,2000.5126,-247.2,229.0,-0.6,rrr,2.6,3.1,9.7,0.0158,Southern_California.20000706.stacov.point-2016/02/16-09:31:32 
5,20000707,2000.5154,-245.6,228.8,-0.8,rrr,2.6,3.1,9.7,0.0128,Southern_California.20000707.stacov.point-2016/02/16-09:31:32 
6,20000708,2000.5181,-244.8,229.9,-6.1,rrr,2.6,3.1,9.4,0.0403,Southern_California.20000708.stacov.point-2016/02/16-09:31:33 
7,20000709,2000.5208,-243.7,230.0,0.4,rrr,2.7,3.1,9.7,0.0365,Southern_California.20000709.stacov.point-2016/02/16-09:31:33 
8,20000710,2000.5236,-245.8,228.9,-3.3,rrr,3.0,3.5,10.8,0.0292,Southern_California.20000710.stacov.point-2016/02/16-09:31:34 
9,20010413,2001.282,-223.8,216.9,3.8,rrr,4.0,5.3,14.9,-0.1327,Southern_California.20010413.stacov.point-2016/02/16-09:34:49 
10,20010414,2001.2847,-221.2,212.7,0.3,rrr,4.0,5.1,14.9,-0.1351,Southern_California.20010414.stacov.point-2016/02/16-09:34:50 
11,20010415,2001.2875,-224.1,215.4,4.3,rrr,4.0,5.0,14.9,-0.0976,Southern_California.20010415.stacov.point-2016/02/16-09:34:50 
12,20010416,2001.2902,-220.0,213.9,9.4,rrr,4.1,5.4,15.2,-0.072,Southern_California.20010416.stacov.point-2016/02/16-09:34:51 
13,20010417,2001.2929,-223.2,211.2,1.2,rrr,4.4,5.3,17.5,-0.0978,Southern_California.20010417.stacov.point-2016/02/16-09:34:52 
14,20010418,2001.2957,-219.5,214.1,12.8,rrr,3.8,4.6,14.7,-0.0181,Southern_California.20010418.stacov.point-2016/02/16-09:34:53 
15,20010419,2001.2984,-224.4,212.4,0.8,rrr,3.8,4.9,14.7,-0.0631,Southern_California.20010419.stacov.point-2016/02/16-09:34:53 
16,20010420,2001.3011,-226.3,213.5,-4.2,rrr,3.7,4.9,14.3,-0.0781,Southern_California.20010420.stacov.point-2016/02/16-09:34:54 
17,20010421,2001.3039,-226.6,213.9,-0.4,rrr,3.9,5.1,15.1,-0.178,Southern_California.20010421.stacov.point-2016/02/16-09:34:55 
18,20010422,2001.3066,-221.8,215.9,2.3,rrr,4.1,5.3,15.6,-0.0124,Southern_California.20010422.stacov.point-2016/02/16-09:34:55 
19,20010423,2001.3094,-224.4,214.2,7.0,rrr,4.4,5.3,16.6,-0.0324,Southern_California.20010423.stacov.point-2016/02/16-09:34:56 
20,20010424,2001.3121,-224.7,214.9,8.5,rrr,3.4,4.2,13.4,0.0083,Southern_California.20010424.stacov.point-2016/02/16-09:34:57 
21,20010425,2001.3148,-222.6,210.0,7.9,rrr,2.7,3.3,10.2,0.0355,Southern_California.20010425.stacov.point-2016/02/16-09:34:58 
22,20010426,2001.3176,-222.5,213.5,4.4,rrr,2.6,3.3,9.8,0.0571,Southern_California.20010426.stacov.point-2016/02/16-09:34:58 
23,20010427,2001.3203,-223.4,212.3,5.9,rrr,2.6,3.1,9.4,0.0481,Southern_California.20010427.stacov.point-2016/02/16-09:34:59 
24,20010428,2001.323,-223.4,213.2,2.5,rrr,3.0,3.7,11.3,0.0896,Southern_California.20010428.stacov.point-2016/02/16-09:35:00 
25,20010504,2001.3395,-220.5,210.7,1.4,rrr,2.6,3.1,9.7,0.0343,Southern_California.20010504.stacov.point-2016/02/16-09:35:05 
26,20010612,2001.4463,-224.0,208.7,9.5,rrr,2.6,3.1,10.2,0.0168,Southern_California.20010612.stacov.point-2016/02/16-09:35:34 
27,20010613,2001.449,-223.7,209.0,12.4,rrr,2.6,3.3,9.9,0.0533,Southern_California.20010613.stacov.point-2016/02/16-09:35:35 
28,20010614,2001.4517,-222.0,209.7,9.0,rrr,2.6,3.1,10.2,0.0195,Southern_California.20010614.stacov.point-2016/02/16-09:35:35 
29,20010615,2001.4545,-222.5,209.7,12.0,rrr,2.6,3.2,10.2,0.0049,Southern_California.20010615.stacov.point-2016/02/16-09:35:36 
30,20010616,2001.4572,-222.5,209.6,9.0,rrr,2.7,3.3,9.9,0.064,Southern_California.20010616.stacov.point-2016/02/16-09:35:37 
31,20010617,2001.4599,-219.8,211.0,6.7,rrr,3.2,3.8,12.2,0.0039,Southern_California.20010617.stacov.point-2016/02/16-09:35:38 
32,20010618,2001.4627,-221.4,209.7,9.7,rrr,2.6,3.1,9.8,-0.0026,Southern_California.20010618.stacov.point-2016/02/16-09:35:38 
