DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19950101,1995.0013,-315.5,337.0,-5.0,rrr,2.9,3.4,11.0,0.1234,Southern_California.19950101.stacov.point-2016/02/16-09:19:57 
19950102,1995.0041,-315.2,341.4,-19.8,rrr,2.9,3.6,11.1,0.1668,Southern_California.19950102.stacov.point-2016/02/16-09:19:57 
19950103,1995.0068,-315.2,338.3,-6.2,rrr,2.9,3.7,11.6,0.1272,Southern_California.19950103.stacov.point-2016/02/16-09:19:57 
19950104,1995.0095,-313.8,344.2,-3.8,rrr,2.8,3.6,11.1,0.1622,Southern_California.19950104.stacov.point-2016/02/16-09:19:58 
19950105,1995.0123,-312.8,334.2,-8.0,rrr,2.9,3.5,11.5,0.0995,Southern_California.19950105.stacov.point-2016/02/16-09:19:58 
19950106,1995.015,-317.7,338.7,-2.3,rrr,2.9,3.6,11.1,0.1814,Southern_California.19950106.stacov.point-2016/02/16-09:19:58 
19950107,1995.0178,-332.3,319.1,-8.4,rrr,2.9,3.5,11.5,0.1264,Southern_California.19950107.stacov.point-2016/02/16-09:19:58 
19950108,1995.0205,-332.8,322.7,-13.2,rrr,2.9,3.6,11.1,0.1725,Southern_California.19950108.stacov.point-2016/02/16-09:19:58 
19950109,1995.0232,-329.9,325.3,-17.3,rrr,3.1,3.4,11.9,0.1043,Southern_California.19950109.stacov.point-2016/02/16-09:19:59 
19950110,1995.026,-331.7,317.5,-11.9,rrr,3.1,3.7,12.0,0.1733,Southern_California.19950110.stacov.point-2016/02/16-09:19:59 
19950111,1995.0287,-331.1,319.4,-1.5,rrr,2.9,3.5,11.3,0.127,Southern_California.19950111.stacov.point-2016/02/16-09:19:59 
19950112,1995.0314,-332.5,322.4,-7.9,rrr,2.8,3.5,11.3,0.1207,Southern_California.19950112.stacov.point-2016/02/16-09:19:59 
19950115,1995.0397,-329.7,322.2,-18.3,rrr,2.9,3.5,11.1,0.1295,Southern_California.19950115.stacov.point-2016/02/16-09:20:00 
19950116,1995.0424,-331.0,319.0,-9.9,rrr,2.9,3.6,11.3,0.1503,Southern_California.19950116.stacov.point-2016/02/16-09:20:00 
19950117,1995.0451,-329.7,317.7,-16.0,rrr,3.0,3.6,11.8,0.1627,Southern_California.19950117.stacov.point-2016/02/16-09:20:00 
19950118,1995.0479,-329.6,320.2,-18.2,rrr,3.1,3.6,11.8,0.1848,Southern_California.19950118.stacov.point-2016/02/16-09:20:01 
19950119,1995.0506,-333.8,319.3,-14.2,rrr,3.0,3.6,11.6,0.1698,Southern_California.19950119.stacov.point-2016/02/16-09:20:01 
19950120,1995.0534,-334.3,316.4,-12.1,rrr,3.0,3.6,11.3,0.138,Southern_California.19950120.stacov.point-2016/02/16-09:20:01 
19950121,1995.0561,-329.9,322.1,-12.7,rrr,3.0,3.5,11.7,0.1046,Southern_California.19950121.stacov.point-2016/02/16-09:20:01 
19950122,1995.0588,-332.7,318.3,-10.4,rrr,2.9,3.5,11.5,0.1308,Southern_California.19950122.stacov.point-2016/02/16-09:20:02 
19950123,1995.0616,-332.4,316.3,-4.3,rrr,3.0,3.5,11.5,0.1227,Southern_California.19950123.stacov.point-2016/02/16-09:20:02 
19950124,1995.0643,-328.9,317.3,-7.7,rrr,2.8,3.4,10.8,0.1213,Southern_California.19950124.stacov.point-2016/02/16-09:20:02 
19950125,1995.067,-329.5,321.2,-12.6,rrr,2.8,3.5,10.8,0.1251,Southern_California.19950125.stacov.point-2016/02/16-09:20:02 
19950126,1995.0698,-328.9,322.6,-19.0,rrr,3.0,3.6,11.8,0.1854,Southern_California.19950126.stacov.point-2016/02/16-09:20:02 
