DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19981009,1998.7713,-268.5,264.4,-3.1,rrr,2.6,3.2,9.9,-0.0892,Southern_California.19981009.stacov.point-2016/02/16-09:26:18 
19981010,1998.7741,-267.6,265.0,-12.2,rrr,2.6,3.1,9.9,-0.0869,Southern_California.19981010.stacov.point-2016/02/16-09:26:18 
19981011,1998.7768,-268.4,266.3,-8.0,rrr,2.5,3.1,9.8,-0.1047,Southern_California.19981011.stacov.point-2016/02/16-09:26:19 
19981012,1998.7795,-267.9,265.2,-3.0,rrr,2.7,3.2,10.3,-0.0747,Southern_California.19981012.stacov.point-2016/02/16-09:26:19 
19981013,1998.7823,-268.2,263.7,-6.4,rrr,2.7,3.3,10.2,-0.0733,Southern_California.19981013.stacov.point-2016/02/16-09:26:19 
19981014,1998.785,-267.8,268.4,-6.2,rrr,2.5,3.1,9.9,-0.0884,Southern_California.19981014.stacov.point-2016/02/16-09:26:20 
19981015,1998.7877,-268.8,264.5,-14.0,rrr,2.7,3.3,10.6,-0.0682,Southern_California.19981015.stacov.point-2016/02/16-09:26:20 
19981016,1998.7905,-269.7,267.6,-2.3,rrr,2.6,3.3,10.3,-0.08,Southern_California.19981016.stacov.point-2016/02/16-09:26:20 
19981017,1998.7932,-269.4,267.3,-11.4,rrr,2.5,3.2,10.2,-0.1124,Southern_California.19981017.stacov.point-2016/02/16-09:26:21 
19981018,1998.796,-267.8,268.3,-6.8,rrr,2.5,3.2,9.9,-0.0958,Southern_California.19981018.stacov.point-2016/02/16-09:26:21 
19981019,1998.7987,-266.2,262.8,-6.9,rrr,2.6,3.2,10.2,-0.1252,Southern_California.19981019.stacov.point-2016/02/16-09:26:21 
19981020,1998.8014,-270.0,264.7,-9.8,rrr,2.5,3.1,10.0,-0.0763,Southern_California.19981020.stacov.point-2016/02/16-09:26:22 
19981021,1998.8042,-269.8,264.0,-9.1,rrr,2.6,3.2,10.1,-0.0236,Southern_California.19981021.stacov.point-2016/02/16-09:26:22 
19981022,1998.8069,-266.7,266.9,-6.1,rrr,2.6,3.2,10.1,-0.0477,Southern_California.19981022.stacov.point-2016/02/16-09:26:22 
19981023,1998.8096,-268.0,265.4,0.3,rrr,2.6,3.2,10.3,-0.0548,Southern_California.19981023.stacov.point-2016/02/16-09:26:23 
19981024,1998.8124,-269.5,264.9,-2.7,rrr,2.7,3.4,10.6,-0.1254,Southern_California.19981024.stacov.point-2016/02/16-09:26:23 
19981025,1998.8152,-270.2,266.7,16.7,rrr,2.6,3.2,10.3,-0.073,Southern_California.19981025.stacov.point-2016/02/16-09:26:23 
19981026,1998.818,-271.1,265.4,-8.4,rrr,2.6,3.4,10.3,-0.0824,Southern_California.19981026.stacov.point-2016/02/16-09:26:24 
19981027,1998.8207,-270.2,266.5,-8.6,rrr,2.5,3.2,10.2,-0.1183,Southern_California.19981027.stacov.point-2016/02/16-09:26:24 
19981028,1998.8235,-267.6,266.9,-0.2,rrr,2.6,3.1,9.9,-0.0869,Southern_California.19981028.stacov.point-2016/02/16-09:26:24 
19981029,1998.8262,-266.9,265.8,-2.2,rrr,2.5,3.1,9.9,-0.0885,Southern_California.19981029.stacov.point-2016/02/16-09:26:25 
19981030,1998.8289,-266.1,265.2,-5.0,rrr,2.6,3.2,10.2,-0.1175,Southern_California.19981030.stacov.point-2016/02/16-09:26:25 
19981031,1998.8317,-268.1,266.6,-2.4,rrr,2.5,3.1,9.8,-0.0998,Southern_California.19981031.stacov.point-2016/02/16-09:26:25 
