,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20150508,2015.3494,-56.0,61.8,14.5,rrr,2.4,2.7,7.9,0.0827,Southern_California.20150508.stacov.point-2016/02/16-12:25:48 
1,20150509,2015.3521,-58.8,62.3,7.6,rrr,2.3,2.5,7.5,0.0615,Southern_California.20150509.stacov.point-2016/02/16-12:25:51 
2,20150510,2015.3548,-60.1,62.2,6.3,rrr,2.3,2.5,7.5,0.0663,Southern_California.20150510.stacov.point-2016/02/16-12:25:52 
3,20150511,2015.3576,-60.0,62.1,6.1,rrr,2.2,2.5,7.4,0.0669,Southern_California.20150511.stacov.point-2016/02/16-12:25:53 
4,20150512,2015.3603,-59.4,63.0,3.7,rrr,2.3,2.5,7.8,0.0331,Southern_California.20150512.stacov.point-2016/02/16-12:25:55 
5,20150513,2015.363,-59.1,62.7,8.9,rrr,2.3,2.5,7.8,0.0523,Southern_California.20150513.stacov.point-2016/02/16-12:25:56 
6,20150514,2015.3658,-58.1,62.2,7.4,rrr,2.3,2.5,7.5,0.0583,Southern_California.20150514.stacov.point-2016/02/16-12:25:58 
7,20150515,2015.3685,-59.0,63.7,-1.1,rrr,2.3,2.5,7.5,0.0597,Southern_California.20150515.stacov.point-2016/02/16-12:25:59 
8,20150516,2015.3713,-58.5,62.8,6.8,rrr,2.3,2.5,7.5,0.0659,Southern_California.20150516.stacov.point-2016/02/16-12:26:00 
9,20150517,2015.374,-58.5,62.8,6.7,rrr,2.3,2.5,7.5,0.0512,Southern_California.20150517.stacov.point-2016/02/16-12:26:02 
10,20150518,2015.3767,-57.8,61.5,5.0,rrr,2.3,2.5,7.5,0.0497,Southern_California.20150518.stacov.point-2016/02/16-12:26:03 
11,20150519,2015.3795,-59.3,60.6,4.2,rrr,2.3,2.5,7.8,0.0194,Southern_California.20150519.stacov.point-2016/02/16-12:26:05 
12,20150520,2015.3822,-60.1,60.3,7.7,rrr,2.3,2.5,7.5,0.0566,Southern_California.20150520.stacov.point-2016/02/16-12:26:06 
13,20150521,2015.3849,-59.5,60.9,2.9,rrr,2.3,2.5,7.5,0.0555,Southern_California.20150521.stacov.point-2016/02/16-12:26:07 
14,20150522,2015.3877,-59.0,61.0,7.1,rrr,2.2,2.5,7.4,0.0561,Southern_California.20150522.stacov.point-2016/02/16-12:26:10 
