DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19990813,1999.6146,-278.9,267.9,-26.4,rrr,3.4,3.9,11.7,-0.0579,Southern_California.19990813.stacov.point-2016/02/16-09:28:19 
19990814,1999.6173,-277.6,267.9,-21.4,rrr,3.7,4.1,12.8,-0.0066,Southern_California.19990814.stacov.point-2016/02/16-09:28:19 
19990815,1999.6201,-279.2,265.4,-19.9,rrr,3.8,4.2,13.0,-0.0435,Southern_California.19990815.stacov.point-2016/02/16-09:28:20 
19990816,1999.6228,-279.8,271.4,-20.0,rrr,3.5,4.0,12.3,-0.0544,Southern_California.19990816.stacov.point-2016/02/16-09:28:20 
19990817,1999.6255,-279.9,267.2,-25.8,rrr,3.6,4.2,12.7,-0.0403,Southern_California.19990817.stacov.point-2016/02/16-09:28:21 
19990818,1999.6283,-278.4,267.6,-22.1,rrr,3.5,4.1,12.1,-0.0274,Southern_California.19990818.stacov.point-2016/02/16-09:28:21 
19990819,1999.631,-278.1,266.0,-10.3,rrr,3.5,4.1,12.3,0.0052,Southern_California.19990819.stacov.point-2016/02/16-09:28:21 
19990820,1999.6338,-275.5,267.7,-19.1,rrr,3.6,4.1,12.3,-0.0229,Southern_California.19990820.stacov.point-2016/02/16-09:28:22 
19990821,1999.6365,-275.8,267.5,-19.3,rrr,3.6,4.2,12.4,-0.0133,Southern_California.19990821.stacov.point-2016/02/16-09:28:22 
19990822,1999.6392,-276.3,271.2,-30.3,rrr,3.4,4.2,12.1,-0.0341,Southern_California.19990822.stacov.point-2016/02/16-09:28:23 
19990823,1999.642,-278.1,267.0,-20.5,rrr,3.6,4.1,12.5,-0.0296,Southern_California.19990823.stacov.point-2016/02/16-09:28:23 
19990824,1999.6447,-275.1,267.0,-26.0,rrr,3.7,4.3,13.2,-0.0006,Southern_California.19990824.stacov.point-2016/02/16-09:28:24 
19990825,1999.6474,-276.7,268.0,-21.1,rrr,3.6,4.1,12.4,-0.0145,Southern_California.19990825.stacov.point-2016/02/16-09:28:24 
19990826,1999.6502,-281.9,265.6,-12.3,rrr,3.8,4.1,13.4,-0.0246,Southern_California.19990826.stacov.point-2016/02/16-09:28:24 
19990827,1999.6529,-279.3,266.8,-20.6,rrr,3.6,4.2,12.3,-0.0184,Southern_California.19990827.stacov.point-2016/02/16-09:28:25 
19990828,1999.6557,-278.1,267.8,-10.7,rrr,3.7,4.3,12.7,-0.1051,Southern_California.19990828.stacov.point-2016/02/16-09:28:25 
19990829,1999.6584,-277.4,265.2,-38.8,rrr,3.7,4.4,13.2,-0.029,Southern_California.19990829.stacov.point-2016/02/16-09:28:26 
19990830,1999.6611,-279.6,267.7,-17.8,rrr,4.0,4.5,13.8,-0.0074,Southern_California.19990830.stacov.point-2016/02/16-09:28:26 
19990831,1999.6639,-278.4,261.5,-32.9,rrr,3.8,4.4,13.1,-0.0137,Southern_California.19990831.stacov.point-2016/02/16-09:28:27 
19990901,1999.6666,-277.5,262.6,-22.3,rrr,3.8,4.3,13.4,-0.0779,Southern_California.19990901.stacov.point-2016/02/16-09:28:27 
19990902,1999.6694,-276.0,266.7,-26.5,rrr,3.6,4.2,12.3,-0.0207,Southern_California.19990902.stacov.point-2016/02/16-09:28:28 
19990903,1999.6721,-275.6,266.5,-17.8,rrr,3.5,4.2,12.3,-0.0081,Southern_California.19990903.stacov.point-2016/02/16-09:28:28 
19990904,1999.6748,-275.9,265.9,-21.0,rrr,3.8,4.3,12.5,0.0144,Southern_California.19990904.stacov.point-2016/02/16-09:28:28 
19990905,1999.6776,-277.0,267.7,-23.8,rrr,3.5,4.0,11.8,-0.0434,Southern_California.19990905.stacov.point-2016/02/16-09:28:29 
19990906,1999.6803,-277.9,267.1,-25.0,rrr,3.5,4.1,12.1,-0.0106,Southern_California.19990906.stacov.point-2016/02/16-09:28:29 
19990907,1999.683,-276.4,265.4,-23.6,rrr,3.8,4.3,13.3,-0.006,Southern_California.19990907.stacov.point-2016/02/16-09:28:30 
19990908,1999.6858,-276.2,268.6,-23.2,rrr,3.8,4.2,13.4,-0.0232,Southern_California.19990908.stacov.point-2016/02/16-09:28:30 
19990909,1999.6885,-277.3,267.2,-20.9,rrr,3.8,4.2,12.8,-0.0091,Southern_California.19990909.stacov.point-2016/02/16-09:28:31 
19990910,1999.6913,-276.3,264.2,-21.2,rrr,3.8,4.3,13.0,-0.0313,Southern_California.19990910.stacov.point-2016/02/16-09:28:31 
19990911,1999.694,-276.8,265.1,-26.0,rrr,3.8,4.3,12.7,-0.0136,Southern_California.19990911.stacov.point-2016/02/16-09:28:32 
19990912,1999.6967,-275.8,263.7,-11.7,rrr,3.5,4.0,12.3,-0.0248,Southern_California.19990912.stacov.point-2016/02/16-09:28:32 
19990913,1999.6995,-276.9,268.8,-21.9,rrr,3.6,4.2,12.5,-0.0451,Southern_California.19990913.stacov.point-2016/02/16-09:28:33 
19990914,1999.7022,-277.3,268.6,-18.7,rrr,3.7,4.3,12.7,-0.0205,Southern_California.19990914.stacov.point-2016/02/16-09:28:33 
19990915,1999.7049,-277.3,265.4,-26.1,rrr,3.6,4.0,12.5,-0.0275,Southern_California.19990915.stacov.point-2016/02/16-09:28:34 
19990916,1999.7077,-275.0,265.7,-19.9,rrr,3.6,4.2,12.6,0.0131,Southern_California.19990916.stacov.point-2016/02/16-09:28:34 
19990917,1999.7104,-276.7,267.0,-13.8,rrr,3.8,4.3,12.9,0.0416,Southern_California.19990917.stacov.point-2016/02/16-09:28:34 
19990918,1999.7132,-276.5,261.3,-18.7,rrr,3.7,4.4,13.1,0.009,Southern_California.19990918.stacov.point-2016/02/16-09:28:35 
19990919,1999.7159,-274.6,262.2,-21.2,rrr,3.6,4.2,12.4,0.0039,Southern_California.19990919.stacov.point-2016/02/16-09:28:35 
19990920,1999.7186,-278.3,264.9,-19.0,rrr,3.6,4.0,12.3,-0.0208,Southern_California.19990920.stacov.point-2016/02/16-09:28:36 
19991020,1999.8008,-269.7,265.9,-17.0,rrr,3.5,4.2,12.3,0.0163,Southern_California.19991020.stacov.point-2016/02/16-09:28:50 
19991021,1999.8035,-268.7,264.1,-18.4,rrr,3.5,4.0,11.9,-0.0006,Southern_California.19991021.stacov.point-2016/02/16-09:28:50 
19991022,1999.8062,-271.0,266.2,-17.3,rrr,3.7,4.2,13.0,-0.0209,Southern_California.19991022.stacov.point-2016/02/16-09:28:51 
19991023,1999.809,-269.0,265.7,-23.2,rrr,3.5,4.0,12.3,-0.0245,Southern_California.19991023.stacov.point-2016/02/16-09:28:52 
19991024,1999.8117,-269.3,264.3,-22.1,rrr,3.6,4.2,12.6,0.0203,Southern_California.19991024.stacov.point-2016/02/16-09:28:52 
19991025,1999.8145,-268.2,266.3,-27.5,rrr,3.6,4.1,12.3,-0.0105,Southern_California.19991025.stacov.point-2016/02/16-09:28:53 
19991026,1999.8172,-268.3,266.5,-19.2,rrr,3.5,4.1,12.4,0.012,Southern_California.19991026.stacov.point-2016/02/16-09:28:53 
19991027,1999.8199,-270.6,264.1,-21.4,rrr,3.7,4.2,12.6,0.007,Southern_California.19991027.stacov.point-2016/02/16-09:28:54 
19991028,1999.8227,-266.3,260.7,-21.2,rrr,3.7,4.4,12.9,0.0362,Southern_California.19991028.stacov.point-2016/02/16-09:28:54 
19991029,1999.8254,-268.8,263.5,-12.3,rrr,3.9,4.5,13.4,0.0151,Southern_California.19991029.stacov.point-2016/02/16-09:28:55 
19991030,1999.8282,-266.8,266.1,-16.0,rrr,3.6,4.1,11.9,0.0347,Southern_California.19991030.stacov.point-2016/02/16-09:28:55 
19991031,1999.831,-267.6,265.4,-16.6,rrr,3.6,4.3,12.4,0.0534,Southern_California.19991031.stacov.point-2016/02/16-09:28:56 
19991101,1999.8337,-267.3,266.7,-20.0,rrr,3.7,4.3,12.4,0.028,Southern_California.19991101.stacov.point-2016/02/16-09:28:57 
19991102,1999.8365,-266.4,265.4,-20.2,rrr,3.6,4.1,12.0,0.0427,Southern_California.19991102.stacov.point-2016/02/16-09:28:57 
19991103,1999.8392,-267.0,265.3,-20.0,rrr,3.5,4.1,11.9,0.0271,Southern_California.19991103.stacov.point-2016/02/16-09:28:58 
19991104,1999.842,-267.6,267.4,-16.4,rrr,3.7,4.1,12.3,-0.0159,Southern_California.19991104.stacov.point-2016/02/16-09:28:58 
19991105,1999.8447,-267.6,266.0,-20.7,rrr,3.7,4.2,12.8,0.0224,Southern_California.19991105.stacov.point-2016/02/16-09:28:59 
19991106,1999.8474,-267.8,264.2,-15.1,rrr,3.5,4.1,11.9,0.0245,Southern_California.19991106.stacov.point-2016/02/16-09:28:59 
19991107,1999.8502,-265.9,265.5,-15.8,rrr,3.6,4.3,12.4,0.0494,Southern_California.19991107.stacov.point-2016/02/16-09:29:00 
19991108,1999.8529,-268.5,263.4,-11.2,rrr,3.5,4.2,12.9,-0.0022,Southern_California.19991108.stacov.point-2016/02/16-09:29:01 
19991109,1999.8556,-268.8,265.1,-18.4,rrr,3.6,4.3,12.4,0.0437,Southern_California.19991109.stacov.point-2016/02/16-09:29:01 
19991110,1999.8584,-270.3,264.1,-14.3,rrr,3.5,4.0,11.9,0.0331,Southern_California.19991110.stacov.point-2016/02/16-09:29:02 
19991111,1999.8611,-267.2,264.3,-19.7,rrr,3.5,4.1,12.1,-0.0057,Southern_California.19991111.stacov.point-2016/02/16-09:29:02 
19991112,1999.8639,-267.6,265.0,-15.9,rrr,3.6,4.1,12.3,0.0388,Southern_California.19991112.stacov.point-2016/02/16-09:29:03 
19991113,1999.8666,-266.2,262.2,-15.4,rrr,3.6,4.1,12.3,0.0187,Southern_California.19991113.stacov.point-2016/02/16-09:29:04 
19991114,1999.8693,-266.6,263.2,-19.0,rrr,3.6,4.2,12.8,0.0169,Southern_California.19991114.stacov.point-2016/02/16-09:29:04 
19991115,1999.8721,-267.5,263.8,-19.6,rrr,3.6,4.2,12.7,0.0071,Southern_California.19991115.stacov.point-2016/02/16-09:29:05 
19991116,1999.8748,-268.1,262.0,-12.6,rrr,3.6,4.2,12.7,0.0162,Southern_California.19991116.stacov.point-2016/02/16-09:29:05 
19991117,1999.8775,-268.1,261.8,-9.3,rrr,3.5,4.2,12.7,0.0217,Southern_California.19991117.stacov.point-2016/02/16-09:29:06 
19991118,1999.8803,-267.7,266.9,-11.2,rrr,3.6,4.2,12.3,0.013,Southern_California.19991118.stacov.point-2016/02/16-09:29:06 
19991119,1999.883,-265.6,263.0,-25.9,rrr,3.6,4.2,12.3,0.0262,Southern_California.19991119.stacov.point-2016/02/16-09:29:07 
19991120,1999.8858,-267.9,264.5,-10.2,rrr,3.7,4.4,13.0,0.0408,Southern_California.19991120.stacov.point-2016/02/16-09:29:08 
19991121,1999.8885,-268.3,263.4,-14.8,rrr,3.6,4.2,12.5,-0.0033,Southern_California.19991121.stacov.point-2016/02/16-09:29:08 
19991122,1999.8912,-266.1,261.8,-16.5,rrr,3.4,4.0,11.9,0.0373,Southern_California.19991122.stacov.point-2016/02/16-09:29:09 
19991123,1999.894,-265.0,264.2,-19.8,rrr,3.5,4.2,12.3,-0.0,Southern_California.19991123.stacov.point-2016/02/16-09:29:09 
19991124,1999.8967,-264.7,263.6,-22.5,rrr,3.6,4.5,12.4,0.0207,Southern_California.19991124.stacov.point-2016/02/16-09:29:10 
19991125,1999.8995,-264.2,263.3,-18.7,rrr,3.6,4.1,12.3,0.0131,Southern_California.19991125.stacov.point-2016/02/16-09:29:10 
19991126,1999.9022,-265.6,265.2,-16.5,rrr,3.6,4.4,12.6,0.0038,Southern_California.19991126.stacov.point-2016/02/16-09:29:11 
19991127,1999.9049,-263.1,266.5,-16.7,rrr,3.4,4.0,12.2,0.0067,Southern_California.19991127.stacov.point-2016/02/16-09:29:12 
19991128,1999.9077,-264.6,269.1,-24.8,rrr,3.3,4.1,11.8,0.0259,Southern_California.19991128.stacov.point-2016/02/16-09:29:12 
19991129,1999.9104,-264.0,268.2,-21.3,rrr,3.6,4.2,12.6,0.0142,Southern_California.19991129.stacov.point-2016/02/16-09:29:13 
19991130,1999.9131,-265.0,269.1,-18.7,rrr,3.6,4.2,12.6,0.0116,Southern_California.19991130.stacov.point-2016/02/16-09:29:13 
19991201,1999.9159,-265.7,266.7,-15.1,rrr,3.7,4.3,13.4,0.0141,Southern_California.19991201.stacov.point-2016/02/16-09:29:14 
19991202,1999.9186,-265.8,265.4,-14.2,rrr,3.5,4.2,12.6,0.0135,Southern_California.19991202.stacov.point-2016/02/16-09:29:15 
19991203,1999.9214,-265.5,267.3,-17.3,rrr,3.4,4.0,12.0,0.0202,Southern_California.19991203.stacov.point-2016/02/16-09:29:15 
19991204,1999.9241,-264.5,266.2,-24.4,rrr,3.6,4.2,12.4,0.0248,Southern_California.19991204.stacov.point-2016/02/16-09:29:16 
19991205,1999.9268,-265.9,267.6,-22.8,rrr,3.4,4.1,11.9,0.0301,Southern_California.19991205.stacov.point-2016/02/16-09:29:16 
19991206,1999.9296,-263.9,267.0,-21.9,rrr,3.4,4.0,12.2,-0.019,Southern_California.19991206.stacov.point-2016/02/16-09:29:17 
19991207,1999.9323,-266.4,264.7,-19.5,rrr,3.4,4.1,11.9,0.0409,Southern_California.19991207.stacov.point-2016/02/16-09:29:18 
19991208,1999.935,-263.0,268.3,-7.9,rrr,3.7,4.3,13.1,0.008,Southern_California.19991208.stacov.point-2016/02/16-09:29:18 
19991209,1999.9378,-264.4,263.4,-22.0,rrr,3.6,4.3,13.0,0.0255,Southern_California.19991209.stacov.point-2016/02/16-09:29:19 
19991210,1999.9405,-265.5,262.9,-19.5,rrr,3.4,4.2,12.5,0.0245,Southern_California.19991210.stacov.point-2016/02/16-09:29:19 
19991211,1999.9433,-264.2,261.7,-26.5,rrr,3.4,4.0,12.2,0.0149,Southern_California.19991211.stacov.point-2016/02/16-09:29:20 
19991212,1999.946,-264.5,262.3,-19.1,rrr,3.4,4.2,11.9,0.0338,Southern_California.19991212.stacov.point-2016/02/16-09:29:20 
19991213,1999.9487,-264.0,262.9,-17.0,rrr,3.6,4.4,13.1,0.0137,Southern_California.19991213.stacov.point-2016/02/16-09:29:21 
19991214,1999.9515,-265.0,264.0,-23.4,rrr,3.7,4.4,13.1,0.0406,Southern_California.19991214.stacov.point-2016/02/16-09:29:22 
19991215,1999.9542,-265.1,264.1,-26.7,rrr,3.5,4.2,12.7,0.0542,Southern_California.19991215.stacov.point-2016/02/16-09:29:22 
19991216,1999.9569,-264.8,263.3,-22.0,rrr,3.6,4.2,12.6,0.062,Southern_California.19991216.stacov.point-2016/02/16-09:29:23 
19991217,1999.9597,-263.7,262.0,-26.1,rrr,3.6,4.5,13.1,0.0645,Southern_California.19991217.stacov.point-2016/02/16-09:29:23 
19991218,1999.9624,-263.2,264.0,-21.6,rrr,3.6,4.2,12.6,0.0265,Southern_California.19991218.stacov.point-2016/02/16-09:29:24 
19991219,1999.9652,-263.5,262.9,-20.5,rrr,3.6,4.2,12.8,0.0261,Southern_California.19991219.stacov.point-2016/02/16-09:29:24 
19991220,1999.9679,-264.5,264.1,-18.4,rrr,3.5,4.1,12.5,-0.0211,Southern_California.19991220.stacov.point-2016/02/16-09:29:25 
19991221,1999.9706,-263.2,262.9,-21.0,rrr,3.7,4.3,13.0,0.0117,Southern_California.19991221.stacov.point-2016/02/16-09:29:26 
19991222,1999.9734,-263.5,266.6,-29.0,rrr,3.7,4.4,13.3,0.0542,Southern_California.19991222.stacov.point-2016/02/16-09:29:26 
19991223,1999.9761,-262.4,264.2,-20.7,rrr,3.6,4.3,12.6,0.0147,Southern_California.19991223.stacov.point-2016/02/16-09:29:27 
19991224,1999.9788,-263.4,265.3,-28.3,rrr,3.4,4.1,11.9,0.0411,Southern_California.19991224.stacov.point-2016/02/16-09:29:27 
19991225,1999.9816,-263.4,264.6,-28.2,rrr,3.5,4.1,12.1,0.0082,Southern_California.19991225.stacov.point-2016/02/16-09:29:28 
19991226,1999.9843,-262.3,263.8,-26.3,rrr,3.6,4.1,12.3,0.0211,Southern_California.19991226.stacov.point-2016/02/16-09:29:29 
19991227,1999.9871,-265.5,266.1,-27.0,rrr,3.5,4.1,12.1,0.0331,Southern_California.19991227.stacov.point-2016/02/16-09:29:29 
19991228,1999.9898,-262.0,264.6,-24.1,rrr,3.8,4.2,12.8,0.0114,Southern_California.19991228.stacov.point-2016/02/16-09:29:30 
19991229,1999.9925,-262.6,264.7,-24.8,rrr,3.6,4.1,12.0,0.0288,Southern_California.19991229.stacov.point-2016/02/16-09:29:30 
19991230,1999.9953,-259.9,266.4,-17.0,rrr,3.9,4.4,12.9,-0.0069,Southern_California.19991230.stacov.point-2016/02/16-09:29:31 
19991231,1999.998,-261.4,263.8,-18.4,rrr,3.7,4.1,12.7,-0.0239,Southern_California.19991231.stacov.point-2016/02/16-09:29:32 
20000101,2000.0008,-261.6,264.8,-11.6,rrr,3.9,4.4,13.5,0.0198,Southern_California.20000101.stacov.point-2016/02/16-09:29:32 
20000102,2000.0035,-259.2,261.9,-23.1,rrr,3.6,4.1,12.5,0.0072,Southern_California.20000102.stacov.point-2016/02/16-09:29:33 
20000103,2000.0062,-260.0,265.3,-20.6,rrr,3.4,4.2,11.9,0.0241,Southern_California.20000103.stacov.point-2016/02/16-09:29:33 
20000104,2000.009,-261.0,264.3,-25.4,rrr,3.8,4.1,12.8,-0.0004,Southern_California.20000104.stacov.point-2016/02/16-09:29:34 
20000105,2000.0117,-260.3,263.7,-16.2,rrr,3.4,4.0,11.9,0.0466,Southern_California.20000105.stacov.point-2016/02/16-09:29:34 
20000106,2000.0144,-260.3,264.9,-21.7,rrr,3.4,4.1,11.9,0.0268,Southern_California.20000106.stacov.point-2016/02/16-09:29:35 
20000107,2000.0172,-259.3,265.3,-20.5,rrr,3.7,4.2,12.8,0.0074,Southern_California.20000107.stacov.point-2016/02/16-09:29:36 
20000108,2000.0199,-261.4,265.8,-20.4,rrr,3.3,4.0,11.4,0.0213,Southern_California.20000108.stacov.point-2016/02/16-09:29:36 
20000109,2000.0227,-259.9,264.8,-16.7,rrr,3.5,4.1,12.1,0.0255,Southern_California.20000109.stacov.point-2016/02/16-09:29:37 
20000110,2000.0254,-260.6,262.9,-19.6,rrr,3.4,3.9,11.6,0.0195,Southern_California.20000110.stacov.point-2016/02/16-09:29:37 
