DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20001108,2000.855,-221.7,228.7,3.1,rrr,2.6,2.9,9.2,0.0929,Southern_California.20001108.stacov.point-2016/02/16-09:32:54 
20001109,2000.8577,-221.2,228.1,1.4,rrr,2.6,2.9,9.2,0.0724,Southern_California.20001109.stacov.point-2016/02/16-09:32:55 
20001110,2000.8605,-218.4,228.2,-5.4,rrr,2.7,3.0,9.6,0.1001,Southern_California.20001110.stacov.point-2016/02/16-09:32:56 
20001111,2000.8632,-220.5,229.5,-3.0,rrr,2.6,2.9,9.2,0.085,Southern_California.20001111.stacov.point-2016/02/16-09:32:56 
20001112,2000.8659,-219.1,230.0,-1.1,rrr,2.6,2.9,9.0,0.0908,Southern_California.20001112.stacov.point-2016/02/16-09:32:57 
20001113,2000.8687,-219.6,230.0,-2.2,rrr,2.6,2.9,9.1,0.0827,Southern_California.20001113.stacov.point-2016/02/16-09:32:58 
20001114,2000.8714,-220.1,228.6,1.2,rrr,2.6,3.0,9.2,0.086,Southern_California.20001114.stacov.point-2016/02/16-09:32:58 
20001115,2000.8741,-219.5,230.2,1.2,rrr,2.5,2.8,8.7,0.0592,Southern_California.20001115.stacov.point-2016/02/16-09:32:59 
20001116,2000.8769,-219.1,231.2,-0.4,rrr,2.7,3.0,9.6,0.0821,Southern_California.20001116.stacov.point-2016/02/16-09:33:00 
20001117,2000.8796,-221.3,229.8,-6.5,rrr,2.6,2.9,9.3,0.0762,Southern_California.20001117.stacov.point-2016/02/16-09:33:01 
20001219,2000.9672,-217.3,230.2,-10.3,rrr,5.7,6.8,22.9,-0.0559,Southern_California.20001219.stacov.point-2016/02/16-09:33:24 
20001222,2000.9754,-219.0,228.5,-6.9,rrr,5.6,6.8,21.6,-0.058,Southern_California.20001222.stacov.point-2016/02/16-09:33:26 
20001223,2000.9782,-219.9,229.6,-7.5,rrr,5.2,6.7,20.5,-0.0437,Southern_California.20001223.stacov.point-2016/02/16-09:33:27 
20001224,2000.9809,-218.1,228.8,-10.2,rrr,5.1,7.1,20.1,-0.0433,Southern_California.20001224.stacov.point-2016/02/16-09:33:28 
20001226,2000.9864,-218.5,225.0,-2.7,rrr,5.1,6.5,19.7,-0.0319,Southern_California.20001226.stacov.point-2016/02/16-09:33:29 
20001227,2000.9891,-218.6,226.9,-18.5,rrr,5.2,6.3,19.9,-0.0178,Southern_California.20001227.stacov.point-2016/02/16-09:33:30 
20001228,2000.9919,-215.8,229.0,-3.5,rrr,5.1,6.5,19.6,-0.0671,Southern_California.20001228.stacov.point-2016/02/16-09:33:31 
