,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20000712,2000.5291,-313.3,294.4,-16.8,rrr,4.1,4.2,13.9,0.0636,Southern_California.20000712.stacov.point-2016/02/16-09:31:35 
1,20000713,2000.5318,-316.4,295.2,-17.3,rrr,3.8,4.1,12.9,0.1081,Southern_California.20000713.stacov.point-2016/02/16-09:31:36 
2,20000714,2000.5345,-315.4,295.0,-12.8,rrr,3.6,3.9,12.4,0.0809,Southern_California.20000714.stacov.point-2016/02/16-09:31:37 
3,20000715,2000.5373,-315.1,295.1,-22.7,rrr,3.6,3.9,12.4,0.104,Southern_California.20000715.stacov.point-2016/02/16-09:31:37 
4,20000716,2000.54,-314.5,293.8,-10.2,rrr,3.5,3.8,12.1,0.0779,Southern_California.20000716.stacov.point-2016/02/16-09:31:38 
5,20000717,2000.5427,-314.2,293.6,-15.6,rrr,3.3,3.5,10.9,0.0405,Southern_California.20000717.stacov.point-2016/02/16-09:31:39 
6,20000718,2000.5455,-313.8,295.9,-13.1,rrr,3.2,3.7,11.0,0.0902,Southern_California.20000718.stacov.point-2016/02/16-09:31:39 
7,20000910,2000.6933,-310.5,293.9,-5.6,rrr,6.4,6.6,21.1,0.0329,Southern_California.20000910.stacov.point-2016/02/16-09:32:14 
8,20000911,2000.6961,-311.1,293.5,-5.9,rrr,6.1,6.3,19.9,0.0432,Southern_California.20000911.stacov.point-2016/02/16-09:32:15 
9,20000912,2000.6988,-309.7,294.5,-13.4,rrr,6.2,6.3,20.2,0.0883,Southern_California.20000912.stacov.point-2016/02/16-09:32:16 
10,20000913,2000.7015,-306.1,292.1,-8.4,rrr,6.3,6.4,20.8,0.0574,Southern_California.20000913.stacov.point-2016/02/16-09:32:16 
11,20000914,2000.7043,-313.5,297.9,14.5,rrr,6.9,6.9,21.9,0.1538,Southern_California.20000914.stacov.point-2016/02/16-09:32:17 
12,20000915,2000.707,-310.6,290.7,0.8,rrr,6.6,6.9,22.6,0.0563,Southern_California.20000915.stacov.point-2016/02/16-09:32:18 
13,20000917,2000.7125,-309.7,289.2,-6.1,rrr,5.9,6.2,19.3,0.055,Southern_California.20000917.stacov.point-2016/02/16-09:32:19 
14,20000918,2000.7152,-308.4,290.8,-12.2,rrr,6.3,6.9,21.8,0.153,Southern_California.20000918.stacov.point-2016/02/16-09:32:20 
15,20000919,2000.718,-309.3,292.4,-11.5,rrr,5.9,6.5,20.3,0.1051,Southern_California.20000919.stacov.point-2016/02/16-09:32:20 
16,20000920,2000.7207,-311.3,293.4,-3.3,rrr,6.1,6.8,21.0,0.1117,Southern_California.20000920.stacov.point-2016/02/16-09:32:21 
17,20000922,2000.7262,-308.5,296.4,-8.7,rrr,4.3,4.9,14.2,0.0531,Southern_California.20000922.stacov.point-2016/02/16-09:32:22 
18,20001006,2000.7645,-305.3,294.2,-16.0,rrr,5.9,6.4,20.5,0.1702,Southern_California.20001006.stacov.point-2016/02/16-09:32:31 
19,20001009,2000.7727,-307.0,291.9,-10.5,rrr,5.4,5.9,19.0,0.1599,Southern_California.20001009.stacov.point-2016/02/16-09:32:33 
20,20001010,2000.7755,-307.2,292.3,-13.5,rrr,5.7,5.9,18.8,0.159,Southern_California.20001010.stacov.point-2016/02/16-09:32:34 
21,20001012,2000.7809,-303.4,295.4,-14.1,rrr,7.3,7.0,24.8,0.3552,Southern_California.20001012.stacov.point-2016/02/16-09:32:35 
22,20001013,2000.7837,-309.2,293.2,-11.2,rrr,5.4,6.0,19.3,0.154,Southern_California.20001013.stacov.point-2016/02/16-09:32:36 
23,20001014,2000.7864,-310.2,287.9,-19.5,rrr,4.9,5.5,16.8,0.1481,Southern_California.20001014.stacov.point-2016/02/16-09:32:37 
24,20001015,2000.7892,-307.7,290.5,-21.0,rrr,4.8,5.4,16.3,0.1378,Southern_California.20001015.stacov.point-2016/02/16-09:32:38 
25,20001016,2000.7919,-307.8,291.7,-8.4,rrr,4.5,5.2,15.1,0.1408,Southern_California.20001016.stacov.point-2016/02/16-09:32:38 
26,20001017,2000.7946,-308.7,294.8,-9.4,rrr,4.5,5.1,15.1,0.1409,Southern_California.20001017.stacov.point-2016/02/16-09:32:39 
27,20001018,2000.7974,-307.6,291.9,-5.9,rrr,4.7,5.2,15.5,0.108,Southern_California.20001018.stacov.point-2016/02/16-09:32:40 
28,20001019,2000.8001,-306.6,292.0,-16.0,rrr,3.0,3.6,10.5,0.1056,Southern_California.20001019.stacov.point-2016/02/16-09:32:40 
29,20001020,2000.8028,-306.2,291.5,-5.8,rrr,3.0,3.3,10.1,0.0814,Southern_California.20001020.stacov.point-2016/02/16-09:32:41 
30,20001021,2000.8056,-306.9,289.6,-7.9,rrr,3.1,3.5,10.5,0.0983,Southern_California.20001021.stacov.point-2016/02/16-09:32:42 
31,20001022,2000.8083,-304.4,293.3,-14.9,rrr,3.4,3.8,11.7,0.1333,Southern_California.20001022.stacov.point-2016/02/16-09:32:42 
32,20001023,2000.8111,-305.6,290.4,-9.0,rrr,2.9,3.3,10.1,0.0778,Southern_California.20001023.stacov.point-2016/02/16-09:32:43 
33,20001024,2000.8138,-306.4,291.3,-9.5,rrr,3.2,3.5,10.5,0.1098,Southern_California.20001024.stacov.point-2016/02/16-09:32:44 
34,20001025,2000.8165,-305.6,292.4,-9.1,rrr,3.0,3.4,10.6,0.1103,Southern_California.20001025.stacov.point-2016/02/16-09:32:44 
