,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19981230,1998.9959,-308.3,313.3,-14.7,rrr,2.5,2.9,8.6,-0.0048,Southern_California.19981230.stacov.point-2016/02/16-09:26:46 
1,19981231,1998.9987,-310.1,313.5,-8.9,rrr,2.5,2.9,8.6,-0.0175,Southern_California.19981231.stacov.point-2016/02/16-09:26:46 
2,19990101,1999.0014,-310.9,313.9,-12.0,rrr,2.6,3.0,9.1,-0.0172,Southern_California.19990101.stacov.point-2016/02/16-09:26:47 
3,19990102,1999.0042,-306.9,313.2,-13.6,rrr,2.6,3.1,8.9,-0.0014,Southern_California.19990102.stacov.point-2016/02/16-09:26:47 
4,19990103,1999.0069,-306.0,314.2,-15.0,rrr,2.5,3.1,8.9,-0.0,Southern_California.19990103.stacov.point-2016/02/16-09:26:47 
5,19990104,1999.0096,-307.8,312.7,-17.2,rrr,2.5,2.9,8.6,-0.0245,Southern_California.19990104.stacov.point-2016/02/16-09:26:48 
6,19990105,1999.0124,-309.1,311.3,-12.1,rrr,2.5,2.9,8.6,-0.0203,Southern_California.19990105.stacov.point-2016/02/16-09:26:48 
7,19990106,1999.0151,-306.8,312.5,-17.6,rrr,2.5,2.9,8.6,-0.0216,Southern_California.19990106.stacov.point-2016/02/16-09:26:48 
8,19990107,1999.0178,-308.5,313.6,-17.0,rrr,2.5,2.9,8.6,-0.0234,Southern_California.19990107.stacov.point-2016/02/16-09:26:49 
9,19990108,1999.0206,-308.3,313.4,-16.8,rrr,2.4,2.9,8.2,-0.0026,Southern_California.19990108.stacov.point-2016/02/16-09:26:49 
10,19990109,1999.0233,-308.4,311.6,-19.3,rrr,2.5,2.9,8.6,-0.0384,Southern_California.19990109.stacov.point-2016/02/16-09:26:50 
11,19990110,1999.0261,-305.7,312.4,-14.8,rrr,2.5,2.9,8.6,-0.0604,Southern_California.19990110.stacov.point-2016/02/16-09:26:50 
12,19990111,1999.0288,-307.4,312.3,-10.5,rrr,2.6,3.1,9.1,-0.0328,Southern_California.19990111.stacov.point-2016/02/16-09:26:50 
13,19990112,1999.0315,-306.6,313.0,-13.5,rrr,2.6,3.2,9.1,-0.0229,Southern_California.19990112.stacov.point-2016/02/16-09:26:51 
14,19990113,1999.0343,-308.0,314.3,-12.1,rrr,2.7,3.0,9.1,0.0282,Southern_California.19990113.stacov.point-2016/02/16-09:26:51 
15,19990114,1999.037,-306.9,314.4,-13.7,rrr,2.8,3.2,9.8,-0.0649,Southern_California.19990114.stacov.point-2016/02/16-09:26:51 
16,19990115,1999.0397,-307.3,313.4,-12.0,rrr,2.5,3.0,8.7,0.0089,Southern_California.19990115.stacov.point-2016/02/16-09:26:52 
17,19990116,1999.0425,-306.5,310.3,-20.2,rrr,2.5,2.9,8.6,-0.04,Southern_California.19990116.stacov.point-2016/02/16-09:26:52 
18,19990117,1999.0452,-307.1,313.3,-10.3,rrr,2.5,2.9,8.6,-0.0273,Southern_California.19990117.stacov.point-2016/02/16-09:26:52 
19,19990118,1999.048,-307.4,312.6,-9.5,rrr,2.5,2.9,8.4,0.0036,Southern_California.19990118.stacov.point-2016/02/16-09:26:53 
20,19990119,1999.0507,-305.8,312.3,-13.3,rrr,2.5,2.9,8.4,-0.0022,Southern_California.19990119.stacov.point-2016/02/16-09:26:53 
21,19990120,1999.0534,-306.0,312.1,-15.1,rrr,2.5,2.9,8.6,-0.0436,Southern_California.19990120.stacov.point-2016/02/16-09:26:54 
22,19990121,1999.0562,-304.0,311.6,-12.6,rrr,2.5,2.9,8.8,-0.0628,Southern_California.19990121.stacov.point-2016/02/16-09:26:54 
23,19990122,1999.0589,-300.9,310.4,-15.9,rrr,2.5,2.9,8.4,-0.0013,Southern_California.19990122.stacov.point-2016/02/16-09:26:54 
