,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19940101,1994.002,-531.7,457.6,-9.1,rrr,2.6,3.2,10.0,0.0036,Southern_California.19940101.stacov.point-2016/02/16-09:18:49 
1,19940102,1994.0047,-532.7,458.0,-1.6,rrr,2.7,3.3,10.3,0.0067,Southern_California.19940102.stacov.point-2016/02/16-09:18:49 
2,19940103,1994.0075,-526.3,462.2,3.6,rrr,2.6,3.2,9.9,-0.0016,Southern_California.19940103.stacov.point-2016/02/16-09:18:49 
3,19940104,1994.0102,-528.0,463.6,-4.8,rrr,2.6,3.2,9.9,-0.01,Southern_California.19940104.stacov.point-2016/02/16-09:18:49 
4,19940105,1994.0129,-527.3,463.4,-2.2,rrr,2.7,3.2,9.9,0.0066,Southern_California.19940105.stacov.point-2016/02/16-09:18:49 
5,19940106,1994.0157,-527.6,465.1,-17.7,rrr,2.7,3.2,10.3,0.0324,Southern_California.19940106.stacov.point-2016/02/16-09:18:49 
6,19940107,1994.0184,-531.4,458.3,-3.3,rrr,2.7,3.3,10.5,0.0366,Southern_California.19940107.stacov.point-2016/02/16-09:18:50 
7,19940108,1994.0212,-529.2,461.0,3.3,rrr,2.7,3.2,10.2,0.0123,Southern_California.19940108.stacov.point-2016/02/16-09:18:50 
8,19940109,1994.0239,-525.4,464.0,-7.2,rrr,2.6,3.1,9.7,0.0341,Southern_California.19940109.stacov.point-2016/02/16-09:18:50 
9,19940110,1994.0266,-528.1,461.7,-4.2,rrr,2.6,3.0,9.4,-0.0232,Southern_California.19940110.stacov.point-2016/02/16-09:18:50 
10,19940111,1994.0294,-529.0,459.3,-1.1,rrr,2.7,3.2,9.9,-0.0209,Southern_California.19940111.stacov.point-2016/02/16-09:18:50 
11,19940112,1994.0321,-527.2,463.2,0.5,rrr,2.7,3.1,10.0,-0.0199,Southern_California.19940112.stacov.point-2016/02/16-09:18:51 
12,19940113,1994.0348,-532.8,458.5,3.7,rrr,2.6,3.1,9.6,0.0343,Southern_California.19940113.stacov.point-2016/02/16-09:18:51 
