DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19991007,1999.7652,-227.9,220.8,-5.7,rrr,3.6,4.5,14.0,-0.1154,Southern_California.19991007.stacov.point-2016/02/16-09:28:44 
19991008,1999.7679,-230.4,227.0,0.5,rrr,2.7,3.1,9.9,-0.0792,Southern_California.19991008.stacov.point-2016/02/16-09:28:44 
19991009,1999.7707,-229.0,226.5,-6.3,rrr,2.7,3.2,10.3,-0.0167,Southern_California.19991009.stacov.point-2016/02/16-09:28:44 
19991020,1999.8008,-228.8,218.6,-12.0,rrr,4.2,5.3,16.2,0.0344,Southern_California.19991020.stacov.point-2016/02/16-09:28:50 
19991021,1999.8035,-228.2,217.2,-5.4,rrr,2.7,3.3,10.0,-0.0326,Southern_California.19991021.stacov.point-2016/02/16-09:28:50 
19991022,1999.8062,-230.4,219.2,-2.0,rrr,2.6,3.1,9.9,-0.0056,Southern_California.19991022.stacov.point-2016/02/16-09:28:51 
19991023,1999.809,-229.2,218.8,-7.8,rrr,2.7,3.2,10.0,-0.0242,Southern_California.19991023.stacov.point-2016/02/16-09:28:52 
19991024,1999.8117,-229.3,216.1,-10.5,rrr,2.7,3.2,9.9,-0.0098,Southern_California.19991024.stacov.point-2016/02/16-09:28:52 
19991025,1999.8145,-227.5,219.0,-10.5,rrr,2.7,3.3,10.0,-0.0095,Southern_California.19991025.stacov.point-2016/02/16-09:28:53 
19991026,1999.8172,-226.5,219.3,-1.5,rrr,2.5,3.1,9.6,-0.0612,Southern_California.19991026.stacov.point-2016/02/16-09:28:53 
19991027,1999.8199,-229.9,216.2,0.2,rrr,2.7,3.2,9.9,-0.0209,Southern_California.19991027.stacov.point-2016/02/16-09:28:54 
19991028,1999.8227,-224.7,214.2,-7.4,rrr,2.7,3.3,10.0,-0.0058,Southern_California.19991028.stacov.point-2016/02/16-09:28:54 
19991029,1999.8254,-228.8,217.1,-5.9,rrr,2.8,3.4,10.0,-0.0061,Southern_California.19991029.stacov.point-2016/02/16-09:28:55 
19991110,1999.8584,-230.8,216.6,0.3,rrr,2.6,3.1,9.5,-0.0238,Southern_California.19991110.stacov.point-2016/02/16-09:29:02 
19991111,1999.8611,-227.1,217.1,-8.5,rrr,2.5,3.0,9.6,-0.0119,Southern_California.19991111.stacov.point-2016/02/16-09:29:02 
19991112,1999.8639,-228.3,217.6,-3.6,rrr,2.7,3.4,10.0,-0.0006,Southern_California.19991112.stacov.point-2016/02/16-09:29:03 
19991113,1999.8666,-227.1,213.5,1.1,rrr,2.6,3.1,9.5,-0.0197,Southern_California.19991113.stacov.point-2016/02/16-09:29:04 
19991114,1999.8693,-227.2,214.8,1.8,rrr,2.5,3.1,9.3,0.0094,Southern_California.19991114.stacov.point-2016/02/16-09:29:04 
19991115,1999.8721,-227.8,216.5,3.9,rrr,2.6,3.1,9.5,-0.0137,Southern_California.19991115.stacov.point-2016/02/16-09:29:05 
19991116,1999.8748,-227.4,214.0,1.9,rrr,2.7,3.1,9.7,-0.026,Southern_California.19991116.stacov.point-2016/02/16-09:29:05 
19991117,1999.8775,-227.8,214.8,0.9,rrr,2.6,3.1,9.5,-0.0307,Southern_California.19991117.stacov.point-2016/02/16-09:29:06 
19991118,1999.8803,-228.0,219.4,0.5,rrr,2.6,3.1,9.7,0.0151,Southern_California.19991118.stacov.point-2016/02/16-09:29:06 
19991119,1999.883,-228.3,215.1,-8.7,rrr,2.7,3.2,10.0,0.0162,Southern_California.19991119.stacov.point-2016/02/16-09:29:07 
19991120,1999.8858,-229.3,213.9,-8.7,rrr,2.7,3.2,9.7,0.0021,Southern_California.19991120.stacov.point-2016/02/16-09:29:08 
19991121,1999.8885,-227.2,214.2,-7.9,rrr,2.7,3.3,10.0,0.0187,Southern_California.19991121.stacov.point-2016/02/16-09:29:08 
19991122,1999.8912,-229.2,213.4,-3.6,rrr,2.6,3.1,9.5,-0.0216,Southern_California.19991122.stacov.point-2016/02/16-09:29:09 
19991123,1999.894,-227.5,217.2,-0.7,rrr,2.6,3.3,9.9,-0.056,Southern_California.19991123.stacov.point-2016/02/16-09:29:09 
19991124,1999.8967,-227.3,216.9,-7.4,rrr,2.7,3.4,10.0,-0.0047,Southern_California.19991124.stacov.point-2016/02/16-09:29:10 
19991125,1999.8995,-225.1,215.9,-3.0,rrr,2.7,3.3,10.0,-0.0095,Southern_California.19991125.stacov.point-2016/02/16-09:29:10 
19991126,1999.9022,-226.3,217.7,-4.3,rrr,2.7,3.4,10.0,-0.0135,Southern_California.19991126.stacov.point-2016/02/16-09:29:11 
19991127,1999.9049,-223.0,220.6,-2.5,rrr,2.5,3.1,9.6,-0.0196,Southern_California.19991127.stacov.point-2016/02/16-09:29:12 
19991128,1999.9077,-226.5,221.7,-8.9,rrr,2.6,3.1,9.6,-0.0154,Southern_California.19991128.stacov.point-2016/02/16-09:29:12 
19991129,1999.9104,-225.3,220.5,-7.0,rrr,2.6,3.3,10.0,-0.0116,Southern_California.19991129.stacov.point-2016/02/16-09:29:13 
19991130,1999.9131,-226.0,221.9,0.1,rrr,2.7,3.2,10.0,-0.0018,Southern_California.19991130.stacov.point-2016/02/16-09:29:13 
