DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20200524,2020.3953,-23.8,21.8,7.0,rrr,2.4,2.7,8.1,-0.0341,Southern_California.20200524.stacov.point-2020/09/21-22:28:46 
20200525,2020.3981,-21.7,21.6,3.0,rrr,2.4,2.8,8.3,-0.0614,Southern_California.20200525.stacov.point-2020/09/22-22:27:51 
20200526,2020.4008,-21.6,20.1,8.7,rrr,2.4,2.9,8.4,-0.0299,Southern_California.20200526.stacov.point-2020/09/23-22:30:03 
20200527,2020.4035,-22.6,20.6,9.2,rrr,2.4,2.7,8.1,-0.0493,Southern_California.20200527.stacov.point-2020/09/24-22:28:59 
20200528,2020.4063,-22.2,21.9,9.9,rrr,2.4,2.9,8.2,-0.005,Southern_California.20200528.stacov.point-2020/09/25-22:28:04 
20200529,2020.409,-22.1,22.4,12.3,rrr,2.4,2.9,8.4,-0.0087,Southern_California.20200529.stacov.point-2020/09/26-22:27:52 
20200530,2020.4117,-21.3,22.0,7.6,rrr,2.5,2.8,8.5,-0.046,Southern_California.20200530.stacov.point-2020/09/27-22:27:58 
20200531,2020.4145,-22.3,21.1,3.4,rrr,2.4,2.9,8.4,-0.0198,Southern_California.20200531.stacov.point-2020/09/28-22:27:54 
20200601,2020.4172,-21.5,19.9,12.5,rrr,2.5,2.9,8.6,-0.0017,Southern_California.20200601.stacov.point-2020/09/29-22:29:06 
20200602,2020.42,-22.8,20.3,6.4,rrr,2.4,2.9,8.4,-0.0113,Southern_California.20200602.stacov.point-2020/09/30-22:29:49 
20200603,2020.4227,-21.6,19.8,10.4,rrr,2.4,2.7,8.1,-0.0243,Southern_California.20200603.stacov.point-2020/10/01-22:31:59 
20200604,2020.4254,-21.2,20.7,5.7,rrr,2.5,2.9,8.8,-0.0266,Southern_California.20200604.stacov.point-2020/10/02-22:30:34 
20200605,2020.4282,-23.7,20.0,6.9,rrr,2.5,2.9,8.6,-0.0019,Southern_California.20200605.stacov.point-2020/10/03-22:30:48 
20200606,2020.4309,-20.1,19.4,9.6,rrr,2.3,2.7,8.1,-0.0354,Southern_California.20200606.stacov.point-2020/10/04-22:29:12 
20200607,2020.4337,-20.4,19.4,8.2,rrr,2.4,2.7,8.1,-0.0261,Southern_California.20200607.stacov.point-2020/10/05-22:27:03 
20200608,2020.4364,-18.4,19.1,12.7,rrr,2.3,2.8,8.1,-0.0346,Southern_California.20200608.stacov.point-2020/10/06-22:30:08 
20200609,2020.4391,-21.1,19.4,10.7,rrr,2.4,2.7,8.1,-0.0502,Southern_California.20200609.stacov.point-2020/10/07-22:28:57 
20200610,2020.4419,-20.5,19.5,11.7,rrr,2.4,2.7,8.1,-0.0367,Southern_California.20200610.stacov.point-2020/10/08-22:32:09 
20200611,2020.4446,-21.7,19.4,3.4,rrr,2.4,2.7,8.1,-0.0367,Southern_California.20200611.stacov.point-2020/10/09-22:26:54 
20200612,2020.4473,-20.1,21.0,7.7,rrr,2.4,2.8,8.5,-0.054,Southern_California.20200612.stacov.point-2020/10/10-22:27:58 
20200613,2020.4501,-19.6,20.8,9.2,rrr,2.4,2.9,8.4,-0.0263,Southern_California.20200613.stacov.point-2020/10/11-22:29:14 
20200614,2020.4528,-21.1,19.3,13.0,rrr,2.4,2.9,8.4,-0.0279,Southern_California.20200614.stacov.point-2020/10/12-22:32:19 
20200615,2020.4556,-20.8,20.2,13.4,rrr,2.5,2.9,8.6,-0.0312,Southern_California.20200615.stacov.point-2020/10/13-22:31:30 
20200616,2020.4583,-20.8,20.7,15.8,rrr,2.5,2.8,8.5,-0.0444,Southern_California.20200616.stacov.point-2020/10/14-22:29:57 
20200617,2020.461,-21.0,20.5,17.6,rrr,2.4,2.8,8.3,-0.0807,Southern_California.20200617.stacov.point-2020/10/15-22:30:18 
20200618,2020.4638,-20.7,20.7,10.3,rrr,2.5,2.9,8.6,-0.0277,Southern_California.20200618.stacov.point-2020/10/16-22:27:59 
20200619,2020.4665,-21.1,21.0,9.9,rrr,2.4,2.8,8.3,-0.0714,Southern_California.20200619.stacov.point-2020/10/17-22:27:37 
20200620,2020.4692,-19.8,18.8,4.5,rrr,2.4,2.8,8.3,-0.085,Southern_California.20200620.stacov.point-2020/10/18-22:28:57 
20200621,2020.472,-20.1,19.6,12.2,rrr,2.4,2.8,8.3,-0.0787,Southern_California.20200621.stacov.point-2020/10/19-22:28:05 
20200622,2020.4747,-18.5,19.0,13.2,rrr,2.4,2.8,8.3,-0.0809,Southern_California.20200622.stacov.point-2020/10/20-22:31:59 
20200623,2020.4775,-19.9,19.3,14.0,rrr,2.4,2.8,8.3,-0.0686,Southern_California.20200623.stacov.point-2020/10/21-22:29:25 
20200624,2020.4802,-19.8,18.7,9.0,rrr,2.4,2.8,8.3,-0.0782,Southern_California.20200624.stacov.point-2020/10/22-22:30:06 
20200625,2020.4829,-20.5,19.3,6.6,rrr,2.4,2.8,8.3,-0.0727,Southern_California.20200625.stacov.point-2020/10/23-22:29:35 
20200626,2020.4857,-18.9,20.2,15.2,rrr,2.5,2.9,8.8,-0.0822,Southern_California.20200626.stacov.point-2020/10/24-22:29:44 
20200627,2020.4884,-19.7,18.8,7.7,rrr,2.5,2.9,8.8,-0.0493,Southern_California.20200627.stacov.point-2020/10/25-22:27:50 
20200628,2020.4911,-21.7,18.6,14.1,rrr,2.5,2.9,8.6,-0.0357,Southern_California.20200628.stacov.point-2020/10/26-22:28:30 
20200629,2020.4939,-21.0,18.3,14.4,rrr,2.5,3.0,8.8,-0.0581,Southern_California.20200629.stacov.point-2020/10/27-22:32:07 
20200630,2020.4966,-19.9,19.2,11.4,rrr,2.5,2.9,8.4,-0.0291,Southern_California.20200630.stacov.point-2020/10/28-22:28:17 
20200701,2020.4994,-19.5,20.7,12.0,rrr,2.4,2.8,8.3,-0.0818,Southern_California.20200701.stacov.point-2020/10/29-22:32:53 
20200702,2020.5021,-18.8,19.0,3.6,rrr,2.4,2.8,8.3,-0.0712,Southern_California.20200702.stacov.point-2020/10/30-22:30:51 
20200703,2020.5048,-18.9,18.5,7.5,rrr,2.4,2.8,8.3,-0.0703,Southern_California.20200703.stacov.point-2020/10/31-22:31:19 
20200704,2020.5076,-19.0,17.2,8.2,rrr,2.4,2.8,8.3,-0.0832,Southern_California.20200704.stacov.point-2020/11/01-22:27:36 
20200705,2020.5103,-19.8,18.0,2.8,rrr,2.5,3.0,8.8,-0.0485,Southern_California.20200705.stacov.point-2020/11/02-22:27:35 
20200706,2020.5131,-19.5,17.8,4.9,rrr,2.4,2.8,8.3,-0.0861,Southern_California.20200706.stacov.point-2020/11/03-22:29:54 
20200707,2020.5158,-19.1,17.8,6.5,rrr,2.4,2.8,8.3,-0.0774,Southern_California.20200707.stacov.point-2020/11/04-22:30:32 
20200708,2020.5185,-18.5,17.4,9.5,rrr,2.5,2.9,8.6,-0.0238,Southern_California.20200708.stacov.point-2020/11/05-22:30:04 
20200709,2020.5213,-19.6,16.5,6.9,rrr,2.5,3.0,8.8,-0.076,Southern_California.20200709.stacov.point-2020/11/06-22:31:12 
20200710,2020.524,-19.7,18.4,8.6,rrr,2.5,2.9,8.6,-0.0228,Southern_California.20200710.stacov.point-2020/11/07-22:27:43 
20200711,2020.5267,-19.0,18.3,7.4,rrr,2.5,2.9,8.6,-0.0378,Southern_California.20200711.stacov.point-2020/11/08-22:31:07 
20200712,2020.5295,-17.4,19.0,11.4,rrr,2.5,3.0,8.6,-0.0336,Southern_California.20200712.stacov.point-2020/11/09-22:28:06 
20200713,2020.5322,-19.3,16.1,6.5,rrr,2.5,2.8,8.5,-0.0616,Southern_California.20200713.stacov.point-2020/11/10-22:28:45 
20200714,2020.535,-18.0,17.9,7.1,rrr,2.5,3.0,8.6,-0.0249,Southern_California.20200714.stacov.point-2020/11/11-22:29:23 
20200715,2020.5377,-19.3,18.3,10.3,rrr,2.5,3.0,8.8,-0.0421,Southern_California.20200715.stacov.point-2020/11/12-22:30:48 
20200716,2020.5404,-19.3,18.6,7.4,rrr,2.4,2.8,8.3,-0.0764,Southern_California.20200716.stacov.point-2020/11/13-22:29:17 
20200717,2020.5432,-18.2,17.6,8.5,rrr,2.4,2.8,8.3,-0.0845,Southern_California.20200717.stacov.point-2020/11/14-22:28:52 
20200718,2020.5459,-19.8,17.0,3.4,rrr,2.5,2.8,8.5,-0.0729,Southern_California.20200718.stacov.point-2020/11/15-22:30:13 
20200719,2020.5486,-19.1,18.1,4.6,rrr,2.5,2.8,8.5,-0.0577,Southern_California.20200719.stacov.point-2020/11/16-22:28:47 
20200720,2020.5514,-20.4,16.5,4.6,rrr,2.5,2.8,8.5,-0.0676,Southern_California.20200720.stacov.point-2020/11/17-22:30:38 
20200721,2020.5541,-19.3,17.8,3.8,rrr,2.4,2.8,8.3,-0.0764,Southern_California.20200721.stacov.point-2020/11/18-22:29:27 
20200722,2020.5569,-19.9,17.5,10.2,rrr,2.4,2.8,8.1,-0.0425,Southern_California.20200722.stacov.point-2020/11/19-22:28:32 
20200723,2020.5596,-18.2,15.3,7.4,rrr,2.4,2.8,8.3,-0.0901,Southern_California.20200723.stacov.point-2020/11/20-22:29:22 
20200724,2020.5623,-18.2,16.4,8.9,rrr,2.4,2.8,8.1,-0.0478,Southern_California.20200724.stacov.point-2020/11/21-22:27:59 
20200725,2020.5651,-18.5,18.1,10.2,rrr,2.5,3.0,8.6,-0.0371,Southern_California.20200725.stacov.point-2020/11/22-22:27:44 
20200726,2020.5678,-19.7,16.7,1.8,rrr,2.4,2.8,8.3,-0.0804,Southern_California.20200726.stacov.point-2020/11/23-22:27:35 
20200727,2020.5705,-17.2,16.5,7.0,rrr,2.5,2.9,8.6,-0.021,Southern_California.20200727.stacov.point-2020/11/24-22:27:18 
20200728,2020.5733,-18.1,15.3,3.4,rrr,2.6,2.9,9.0,-0.0433,Southern_California.20200728.stacov.point-2020/11/25-22:27:06 
20200729,2020.576,-17.9,17.0,5.4,rrr,2.5,2.9,8.6,-0.017,Southern_California.20200729.stacov.point-2020/11/26-22:29:32 
20200730,2020.5788,-18.2,16.0,5.7,rrr,2.5,3.0,8.6,-0.0116,Southern_California.20200730.stacov.point-2020/11/27-22:27:45 
20200731,2020.5815,-18.8,17.5,6.2,rrr,2.5,2.9,8.6,-0.0164,Southern_California.20200731.stacov.point-2020/11/28-22:27:55 
20200801,2020.5842,-19.7,16.8,2.8,rrr,2.5,3.0,8.8,-0.0581,Southern_California.20200801.stacov.point-2020/11/29-22:28:11 
20200802,2020.587,-16.6,16.2,7.7,rrr,2.5,2.9,8.6,-0.0127,Southern_California.20200802.stacov.point-2020/11/30-22:27:46 
20200803,2020.5897,-19.9,14.0,1.1,rrr,2.5,2.9,8.6,-0.0215,Southern_California.20200803.stacov.point-2020/12/01-22:27:06 
20200804,2020.5925,-19.7,15.0,3.3,rrr,2.5,2.9,8.6,-0.0182,Southern_California.20200804.stacov.point-2020/12/02-22:27:17 
20200805,2020.5952,-18.7,15.8,12.4,rrr,2.5,3.0,8.8,-0.0514,Southern_California.20200805.stacov.point-2020/12/03-22:27:49 
20200806,2020.5979,-18.6,15.2,8.3,rrr,2.5,3.0,8.8,-0.0585,Southern_California.20200806.stacov.point-2020/12/04-22:28:55 
20200807,2020.6007,-16.6,16.2,9.6,rrr,2.5,3.0,8.6,-0.0141,Southern_California.20200807.stacov.point-2020/12/05-22:26:50 
20200808,2020.6034,-16.7,15.1,11.8,rrr,2.5,2.9,8.6,-0.0254,Southern_California.20200808.stacov.point-2020/12/06-22:27:21 
20200809,2020.6061,-18.4,14.6,8.0,rrr,2.5,2.9,8.6,-0.0285,Southern_California.20200809.stacov.point-2020/12/07-22:27:18 
20200810,2020.6089,-17.9,15.2,6.3,rrr,2.5,2.9,8.6,-0.0211,Southern_California.20200810.stacov.point-2020/12/08-22:27:34 
20200811,2020.6116,-17.1,15.4,9.9,rrr,2.5,2.9,8.6,-0.018,Southern_California.20200811.stacov.point-2020/12/09-22:26:07 
20200812,2020.6144,-17.4,14.7,7.5,rrr,2.5,2.9,8.6,-0.0218,Southern_California.20200812.stacov.point-2020/12/10-22:28:00 
20200813,2020.6171,-17.8,13.7,14.3,rrr,2.5,2.9,8.6,-0.0212,Southern_California.20200813.stacov.point-2020/12/11-22:27:58 
20200814,2020.6198,-18.8,13.7,10.6,rrr,2.5,2.9,8.6,-0.0073,Southern_California.20200814.stacov.point-2020/12/12-22:27:36 
20200815,2020.6226,-17.1,14.1,10.8,rrr,2.5,2.9,8.6,-0.0101,Southern_California.20200815.stacov.point-2020/12/13-22:27:04 
20200816,2020.6253,-18.5,14.9,10.1,rrr,2.5,2.9,8.6,-0.0166,Southern_California.20200816.stacov.point-2020/12/14-22:28:03 
20200817,2020.628,-18.7,15.6,8.0,rrr,2.5,3.0,8.8,-0.0346,Southern_California.20200817.stacov.point-2020/12/15-22:29:10 
20200818,2020.6308,-16.8,14.2,7.7,rrr,2.5,2.9,8.6,-0.0037,Southern_California.20200818.stacov.point-2020/12/16-22:29:16 
20200819,2020.6335,-17.3,13.6,11.4,rrr,2.5,2.9,8.6,-0.0166,Southern_California.20200819.stacov.point-2020/12/17-22:30:20 
20200820,2020.6363,-16.5,16.5,10.0,rrr,2.5,2.9,8.6,-0.0129,Southern_California.20200820.stacov.point-2020/12/18-22:29:13 
20200821,2020.639,-16.4,15.2,11.7,rrr,2.5,3.0,8.6,-0.0153,Southern_California.20200821.stacov.point-2020/12/19-22:29:21 
20200822,2020.6417,-17.5,13.2,10.3,rrr,2.5,3.0,8.8,-0.0425,Southern_California.20200822.stacov.point-2020/12/20-22:27:49 
20200823,2020.6445,-16.6,12.9,4.0,rrr,2.5,3.0,8.8,-0.0421,Southern_California.20200823.stacov.point-2020/12/21-22:28:59 
