,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20200112,2020.0313,-27.3,25.1,1.8,rrr,2.3,2.7,7.6,0.0184,Southern_California.20200112.stacov.point-2020/05/11-22:28:16 
1,20200113,2020.034,-25.8,24.9,0.8,rrr,2.3,2.7,7.6,0.0287,Southern_California.20200113.stacov.point-2020/05/12-22:27:09 
2,20200114,2020.0368,-27.4,23.7,-0.8,rrr,2.2,2.7,7.4,0.0484,Southern_California.20200114.stacov.point-2020/05/13-22:27:06 
3,20200115,2020.0395,-26.4,23.5,2.4,rrr,2.3,2.7,7.6,0.0242,Southern_California.20200115.stacov.point-2020/05/14-22:28:06 
4,20200116,2020.0422,-25.2,24.8,3.8,rrr,2.4,2.7,7.7,0.0206,Southern_California.20200116.stacov.point-2020/05/15-22:28:15 
5,20200117,2020.045,-27.1,25.6,9.6,rrr,2.3,2.7,7.6,0.0439,Southern_California.20200117.stacov.point-2020/05/16-22:25:46 
6,20200118,2020.0477,-25.6,24.1,2.9,rrr,2.3,2.7,7.6,0.0239,Southern_California.20200118.stacov.point-2020/05/17-22:28:42 
7,20200119,2020.0505,-24.2,26.2,0.4,rrr,2.3,2.7,7.6,0.0246,Southern_California.20200119.stacov.point-2020/05/18-22:27:35 
8,20200120,2020.0532,-25.6,24.9,4.7,rrr,2.3,2.6,8.0,-0.0046,Southern_California.20200120.stacov.point-2020/05/19-22:28:37 
9,20200121,2020.0559,-26.5,24.4,3.1,rrr,2.3,2.6,7.6,0.0207,Southern_California.20200121.stacov.point-2020/05/20-22:28:19 
10,20200122,2020.0587,-25.3,25.0,2.3,rrr,2.3,2.7,7.6,0.0195,Southern_California.20200122.stacov.point-2020/05/21-22:28:29 
11,20200123,2020.0614,-25.2,25.3,4.7,rrr,2.2,2.7,7.4,0.0561,Southern_California.20200123.stacov.point-2020/05/22-22:27:35 
12,20200124,2020.0641,-24.5,23.2,2.5,rrr,2.3,2.7,7.6,0.0178,Southern_California.20200124.stacov.point-2020/05/23-22:28:43 
13,20200125,2020.0669,-26.1,24.0,1.1,rrr,2.3,2.6,7.7,0.0193,Southern_California.20200125.stacov.point-2020/05/24-22:27:34 
14,20200126,2020.0696,-24.5,22.8,1.6,rrr,2.3,2.7,7.7,0.0011,Southern_California.20200126.stacov.point-2020/05/25-22:29:41 
