DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19980729,1998.5742,-167.9,143.6,4.6,rrr,2.7,3.2,10.9,-0.0503,Southern_California.19980729.stacov.point-2016/02/16-09:25:54 
19980730,1998.5769,-166.0,143.2,10.7,rrr,2.7,3.2,10.9,-0.0527,Southern_California.19980730.stacov.point-2016/02/16-09:25:55 
19980731,1998.5797,-164.6,142.8,13.0,rrr,2.8,3.2,11.2,-0.0651,Southern_California.19980731.stacov.point-2016/02/16-09:25:55 
19980801,1998.5824,-165.7,144.7,6.5,rrr,2.8,3.3,11.2,-0.0752,Southern_California.19980801.stacov.point-2016/02/16-09:25:55 
19980802,1998.5851,-163.8,144.0,9.9,rrr,2.8,3.2,11.0,-0.0521,Southern_California.19980802.stacov.point-2016/02/16-09:25:56 
19980803,1998.5879,-166.2,142.7,10.9,rrr,2.7,3.1,10.5,-0.0837,Southern_California.19980803.stacov.point-2016/02/16-09:25:56 
19980804,1998.5906,-166.4,142.2,4.5,rrr,2.8,3.3,11.0,-0.0672,Southern_California.19980804.stacov.point-2016/02/16-09:25:56 
19980805,1998.5934,-166.3,141.9,2.3,rrr,2.8,3.2,10.9,-0.0285,Southern_California.19980805.stacov.point-2016/02/16-09:25:57 
19980806,1998.5961,-166.4,142.2,4.5,rrr,2.8,3.2,10.8,-0.0548,Southern_California.19980806.stacov.point-2016/02/16-09:25:57 
19980807,1998.5988,-167.0,139.5,4.2,rrr,2.7,3.2,10.9,-0.0469,Southern_California.19980807.stacov.point-2016/02/16-09:25:57 
19980808,1998.6016,-165.5,142.6,5.0,rrr,2.8,3.3,11.4,-0.0395,Southern_California.19980808.stacov.point-2016/02/16-09:25:58 
19980809,1998.6043,-164.3,143.2,7.2,rrr,2.8,3.2,11.0,-0.0568,Southern_California.19980809.stacov.point-2016/02/16-09:25:58 
19980810,1998.607,-164.2,142.0,10.9,rrr,2.8,3.2,11.2,-0.0982,Southern_California.19980810.stacov.point-2016/02/16-09:25:58 
19980811,1998.6098,-164.9,143.0,2.4,rrr,2.7,3.2,11.3,-0.0721,Southern_California.19980811.stacov.point-2016/02/16-09:25:59 
19980812,1998.6125,-162.7,142.0,-3.8,rrr,2.7,3.2,11.3,-0.0669,Southern_California.19980812.stacov.point-2016/02/16-09:25:59 
19980813,1998.6153,-163.4,142.8,-2.4,rrr,2.8,3.2,11.4,-0.0047,Southern_California.19980813.stacov.point-2016/02/16-09:25:59 
19980814,1998.618,-165.9,141.3,5.9,rrr,2.7,3.2,10.9,-0.0742,Southern_California.19980814.stacov.point-2016/02/16-09:26:00 
19980815,1998.6207,-165.9,141.2,11.6,rrr,2.8,3.2,11.2,-0.079,Southern_California.19980815.stacov.point-2016/02/16-09:26:00 
19980816,1998.6235,-166.5,141.5,1.7,rrr,2.8,3.2,11.2,-0.085,Southern_California.19980816.stacov.point-2016/02/16-09:26:00 
19980817,1998.6262,-165.2,142.9,-5.0,rrr,2.7,3.1,10.8,-0.1315,Southern_California.19980817.stacov.point-2016/02/16-09:26:01 
19980818,1998.6289,-164.5,145.4,9.5,rrr,2.7,3.1,10.9,-0.0432,Southern_California.19980818.stacov.point-2016/02/16-09:26:01 
19980819,1998.6317,-165.1,140.6,8.2,rrr,2.7,3.2,10.9,-0.0523,Southern_California.19980819.stacov.point-2016/02/16-09:26:01 
19980820,1998.6344,-161.8,141.9,5.9,rrr,2.7,3.2,10.9,-0.0476,Southern_California.19980820.stacov.point-2016/02/16-09:26:02 
19980821,1998.6372,-164.4,140.5,11.3,rrr,2.7,3.2,10.9,-0.0557,Southern_California.19980821.stacov.point-2016/02/16-09:26:02 
19980822,1998.6399,-163.7,142.8,0.4,rrr,2.8,3.2,11.2,-0.086,Southern_California.19980822.stacov.point-2016/02/16-09:26:02 
19980823,1998.6426,-164.3,139.5,7.0,rrr,2.7,3.1,10.9,-0.0424,Southern_California.19980823.stacov.point-2016/02/16-09:26:03 
19980824,1998.6454,-165.7,144.1,8.6,rrr,2.8,3.2,11.2,-0.0924,Southern_California.19980824.stacov.point-2016/02/16-09:26:03 
19980825,1998.6481,-163.1,142.0,4.4,rrr,2.8,3.2,10.9,-0.0668,Southern_California.19980825.stacov.point-2016/02/16-09:26:03 
19980826,1998.6508,-164.8,141.8,4.6,rrr,2.8,3.2,10.9,-0.0459,Southern_California.19980826.stacov.point-2016/02/16-09:26:04 
19980827,1998.6536,-161.0,143.2,9.9,rrr,2.8,3.2,11.2,-0.049,Southern_California.19980827.stacov.point-2016/02/16-09:26:04 
19980828,1998.6563,-165.4,140.0,7.3,rrr,2.8,3.3,11.2,-0.079,Southern_California.19980828.stacov.point-2016/02/16-09:26:04 
19980829,1998.6591,-163.3,142.1,6.4,rrr,2.8,3.2,11.3,-0.0726,Southern_California.19980829.stacov.point-2016/02/16-09:26:05 
19980830,1998.6618,-160.6,142.1,1.7,rrr,2.7,3.2,10.9,-0.0413,Southern_California.19980830.stacov.point-2016/02/16-09:26:05 
19980831,1998.6645,-161.1,141.9,5.3,rrr,2.8,3.1,11.1,-0.097,Southern_California.19980831.stacov.point-2016/02/16-09:26:05 
19980901,1998.6673,-161.1,141.1,18.2,rrr,2.8,3.3,11.3,-0.005,Southern_California.19980901.stacov.point-2016/02/16-09:26:06 
19980902,1998.67,-164.2,141.7,5.7,rrr,2.7,3.2,11.4,-0.0285,Southern_California.19980902.stacov.point-2016/02/16-09:26:06 
19980903,1998.6728,-158.5,142.2,1.8,rrr,2.8,3.2,11.3,-0.0924,Southern_California.19980903.stacov.point-2016/02/16-09:26:06 
19980904,1998.6755,-162.6,142.9,8.7,rrr,2.8,3.2,11.3,-0.053,Southern_California.19980904.stacov.point-2016/02/16-09:26:07 
19980905,1998.6782,-163.7,144.0,5.7,rrr,2.7,3.2,10.9,-0.0411,Southern_California.19980905.stacov.point-2016/02/16-09:26:07 
19980906,1998.681,-162.0,142.8,5.6,rrr,2.8,3.2,11.4,-0.0272,Southern_California.19980906.stacov.point-2016/02/16-09:26:07 
19980907,1998.6837,-162.8,139.8,4.0,rrr,2.7,3.3,11.0,-0.0441,Southern_California.19980907.stacov.point-2016/02/16-09:26:08 
19980908,1998.6864,-161.7,142.5,8.5,rrr,2.8,3.3,11.4,-0.0066,Southern_California.19980908.stacov.point-2016/02/16-09:26:08 
19980909,1998.6892,-163.0,137.6,10.1,rrr,2.8,3.2,11.3,-0.0305,Southern_California.19980909.stacov.point-2016/02/16-09:26:08 
19980910,1998.6919,-164.0,140.5,10.8,rrr,2.7,3.1,10.8,-0.121,Southern_California.19980910.stacov.point-2016/02/16-09:26:09 
19980911,1998.6947,-165.0,137.8,11.1,rrr,3.0,3.2,12.0,-0.0655,Southern_California.19980911.stacov.point-2016/02/16-09:26:09 
19980912,1998.6974,-163.2,140.5,7.5,rrr,2.7,3.2,11.0,-0.017,Southern_California.19980912.stacov.point-2016/02/16-09:26:09 
19980913,1998.7001,-164.7,139.6,6.9,rrr,2.7,3.1,10.8,-0.1122,Southern_California.19980913.stacov.point-2016/02/16-09:26:09 
19980914,1998.7029,-163.9,137.6,1.2,rrr,3.0,3.3,11.6,-0.046,Southern_California.19980914.stacov.point-2016/02/16-09:26:10 
19980915,1998.7056,-163.3,137.7,8.3,rrr,2.7,3.1,10.5,-0.0765,Southern_California.19980915.stacov.point-2016/02/16-09:26:10 
19980916,1998.7083,-160.7,136.0,3.9,rrr,2.7,3.2,10.9,-0.06,Southern_California.19980916.stacov.point-2016/02/16-09:26:10 
19980917,1998.7111,-162.3,138.8,1.4,rrr,2.8,3.2,11.2,-0.0856,Southern_California.19980917.stacov.point-2016/02/16-09:26:11 
19980918,1998.7138,-162.2,138.5,5.5,rrr,2.8,3.2,11.2,-0.1011,Southern_California.19980918.stacov.point-2016/02/16-09:26:11 
19980919,1998.7166,-161.5,138.2,13.5,rrr,2.7,3.2,10.9,-0.0466,Southern_California.19980919.stacov.point-2016/02/16-09:26:11 
19980920,1998.7193,-165.1,135.8,14.0,rrr,2.7,3.1,10.7,-0.0098,Southern_California.19980920.stacov.point-2016/02/16-09:26:12 
19980921,1998.722,-162.2,137.7,7.4,rrr,2.7,3.1,10.9,-0.0561,Southern_California.19980921.stacov.point-2016/02/16-09:26:12 
19980922,1998.7248,-161.9,139.0,8.3,rrr,2.8,3.1,11.3,-0.0915,Southern_California.19980922.stacov.point-2016/02/16-09:26:12 
19980923,1998.7275,-162.5,137.0,8.3,rrr,3.1,3.4,12.3,-0.1028,Southern_California.19980923.stacov.point-2016/02/16-09:26:13 
19980924,1998.7302,-161.6,138.3,5.5,rrr,2.8,3.2,11.0,-0.0351,Southern_California.19980924.stacov.point-2016/02/16-09:26:13 
19980925,1998.733,-163.0,136.3,9.1,rrr,3.0,3.4,11.5,0.0058,Southern_California.19980925.stacov.point-2016/02/16-09:26:13 
19980926,1998.7357,-165.4,138.5,12.1,rrr,2.7,3.2,10.9,-0.0435,Southern_California.19980926.stacov.point-2016/02/16-09:26:14 
19980927,1998.7385,-163.3,140.2,3.8,rrr,2.8,3.2,10.9,-0.0618,Southern_California.19980927.stacov.point-2016/02/16-09:26:14 
19980928,1998.7412,-162.7,136.8,3.5,rrr,2.8,3.2,11.3,-0.0849,Southern_California.19980928.stacov.point-2016/02/16-09:26:14 
19980929,1998.7439,-162.6,137.0,6.9,rrr,2.7,3.2,10.9,-0.0539,Southern_California.19980929.stacov.point-2016/02/16-09:26:15 
19980930,1998.7467,-161.5,136.0,6.9,rrr,2.8,3.2,11.3,-0.0935,Southern_California.19980930.stacov.point-2016/02/16-09:26:15 
19981001,1998.7494,-162.1,138.1,7.1,rrr,2.7,3.2,10.9,-0.0638,Southern_California.19981001.stacov.point-2016/02/16-09:26:15 
