DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20150716,2015.5383,-43.3,52.3,23.3,rrr,5.2,5.7,20.7,0.3637,Southern_California.20150716.stacov.point-2016/02/16-12:27:30 
20150717,2015.541,-42.2,53.8,-0.4,rrr,5.1,5.9,21.4,0.3425,Southern_California.20150717.stacov.point-2016/02/16-12:27:32 
20150718,2015.5437,-44.2,53.2,12.9,rrr,5.3,5.5,21.1,0.3269,Southern_California.20150718.stacov.point-2016/02/16-12:27:33 
20150719,2015.5465,-43.0,54.9,15.7,rrr,5.0,5.2,20.1,0.3673,Southern_California.20150719.stacov.point-2016/02/16-12:27:35 
20150720,2015.5492,-42.8,57.0,22.4,rrr,5.2,5.7,21.6,0.3746,Southern_California.20150720.stacov.point-2016/02/16-12:27:36 
20150721,2015.552,-43.4,53.1,13.0,rrr,5.1,5.3,20.0,0.3883,Southern_California.20150721.stacov.point-2016/02/16-12:27:38 
20150722,2015.5547,-41.2,54.9,3.6,rrr,5.2,5.4,20.1,0.4319,Southern_California.20150722.stacov.point-2016/02/16-12:27:39 
20150723,2015.5574,-41.1,56.8,20.1,rrr,5.1,5.5,20.6,0.3083,Southern_California.20150723.stacov.point-2016/02/16-12:27:40 
20150724,2015.5602,-39.7,61.0,4.9,rrr,5.1,5.5,20.7,0.3874,Southern_California.20150724.stacov.point-2016/02/16-12:27:42 
20150725,2015.5629,-45.6,55.9,20.3,rrr,5.3,5.8,20.8,0.4618,Southern_California.20150725.stacov.point-2016/02/16-12:27:43 
20150726,2015.5657,-41.7,55.1,1.6,rrr,5.2,5.3,20.4,0.4166,Southern_California.20150726.stacov.point-2016/02/16-12:27:45 
20150727,2015.5684,-41.8,55.0,7.4,rrr,5.3,5.6,20.7,0.421,Southern_California.20150727.stacov.point-2016/02/16-12:27:46 
20150728,2015.5711,-46.1,55.3,23.4,rrr,5.3,5.4,21.3,0.3534,Southern_California.20150728.stacov.point-2016/02/16-12:27:48 
20150729,2015.5739,-42.9,54.5,19.4,rrr,5.4,5.6,21.4,0.3928,Southern_California.20150729.stacov.point-2016/02/16-12:27:49 
20150730,2015.5766,-40.5,58.2,21.7,rrr,5.0,5.4,20.4,0.3559,Southern_California.20150730.stacov.point-2016/02/16-12:27:51 
20150731,2015.5793,-40.0,55.0,26.9,rrr,5.2,5.4,20.0,0.3705,Southern_California.20150731.stacov.point-2016/02/16-12:27:52 
20150801,2015.5821,-35.5,57.0,-1.1,rrr,5.3,5.5,21.0,0.3327,Southern_California.20150801.stacov.point-2016/02/16-12:27:53 
20150802,2015.5848,-43.9,55.7,1.5,rrr,5.1,5.3,19.6,0.3753,Southern_California.20150802.stacov.point-2016/02/16-12:27:55 
20150803,2015.5876,-45.0,56.4,21.1,rrr,5.1,5.5,20.6,0.3311,Southern_California.20150803.stacov.point-2016/02/16-12:27:56 
20150804,2015.5903,-38.7,55.4,1.3,rrr,4.8,5.1,19.0,0.3507,Southern_California.20150804.stacov.point-2016/02/16-12:27:58 
20150805,2015.593,-38.6,55.1,7.8,rrr,5.1,5.5,19.5,0.4014,Southern_California.20150805.stacov.point-2016/02/16-12:27:59 
20150806,2015.5958,-40.7,56.5,10.1,rrr,5.2,5.4,19.7,0.4359,Southern_California.20150806.stacov.point-2016/02/16-12:28:01 
20150807,2015.5985,-39.0,56.2,8.0,rrr,4.9,5.3,19.9,0.3459,Southern_California.20150807.stacov.point-2016/02/16-12:28:02 
