,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19950316,1995.2039,-349.3,360.3,42.1,rrr,3.1,3.7,11.2,0.0665,Southern_California.19950316.stacov.point-2016/02/16-09:20:14 
1,19950317,1995.2067,-354.6,353.5,46.9,rrr,2.8,3.6,10.6,0.0249,Southern_California.19950317.stacov.point-2016/02/16-09:20:14 
2,19950318,1995.2094,-350.9,359.0,40.4,rrr,3.0,3.6,11.3,0.0562,Southern_California.19950318.stacov.point-2016/02/16-09:20:14 
3,19950319,1995.2122,-350.6,356.7,44.2,rrr,2.9,3.6,10.6,0.0095,Southern_California.19950319.stacov.point-2016/02/16-09:20:14 
4,19950320,1995.2149,-350.7,357.2,51.4,rrr,2.9,3.4,10.6,0.0358,Southern_California.19950320.stacov.point-2016/02/16-09:20:15 
5,19950321,1995.2176,-351.7,356.8,51.5,rrr,3.0,3.6,11.3,0.0289,Southern_California.19950321.stacov.point-2016/02/16-09:20:15 
6,19950322,1995.2204,-351.4,356.4,46.7,rrr,2.9,3.8,10.7,0.1052,Southern_California.19950322.stacov.point-2016/02/16-09:20:15 
7,19950323,1995.2231,-350.5,357.5,47.0,rrr,2.9,3.5,10.6,0.0992,Southern_California.19950323.stacov.point-2016/02/16-09:20:15 
8,19950324,1995.2258,-346.7,356.5,48.8,rrr,3.2,3.8,12.2,0.0311,Southern_California.19950324.stacov.point-2016/02/16-09:20:16 
9,19950405,1995.2586,-345.2,357.1,48.7,rrr,2.9,3.4,10.8,0.0621,Southern_California.19950405.stacov.point-2016/02/16-09:20:18 
10,19950406,1995.2613,-348.4,357.1,44.9,rrr,2.9,3.6,10.7,0.0854,Southern_California.19950406.stacov.point-2016/02/16-09:20:19 
11,19950407,1995.2641,-344.6,358.1,43.8,rrr,2.9,3.5,10.9,0.1084,Southern_California.19950407.stacov.point-2016/02/16-09:20:19 
12,19950408,1995.2668,-345.0,358.3,51.0,rrr,2.9,3.5,10.6,0.0448,Southern_California.19950408.stacov.point-2016/02/16-09:20:19 
13,19950409,1995.2695,-348.4,358.0,42.4,rrr,2.8,3.6,10.7,0.1344,Southern_California.19950409.stacov.point-2016/02/16-09:20:19 
14,19950410,1995.2723,-351.5,354.2,49.2,rrr,2.8,3.5,10.6,0.0424,Southern_California.19950410.stacov.point-2016/02/16-09:20:20 
15,19950411,1995.275,-345.0,356.3,41.4,rrr,2.9,3.5,10.6,0.0294,Southern_California.19950411.stacov.point-2016/02/16-09:20:20 
16,19950412,1995.2777,-346.9,360.2,41.2,rrr,3.0,3.7,10.9,0.0743,Southern_California.19950412.stacov.point-2016/02/16-09:20:20 
17,19950413,1995.2805,-343.8,357.5,45.8,rrr,2.9,3.6,11.1,0.0224,Southern_California.19950413.stacov.point-2016/02/16-09:20:20 
18,19950414,1995.2832,-346.2,361.5,50.4,rrr,3.0,3.6,11.1,0.0287,Southern_California.19950414.stacov.point-2016/02/16-09:20:21 
19,19950415,1995.286,-347.1,355.7,39.7,rrr,3.0,3.6,11.0,0.0747,Southern_California.19950415.stacov.point-2016/02/16-09:20:21 
20,19950416,1995.2887,-348.8,355.6,42.7,rrr,2.9,3.6,11.1,0.0533,Southern_California.19950416.stacov.point-2016/02/16-09:20:21 
21,19950417,1995.2914,-346.2,359.7,47.3,rrr,2.9,3.6,11.1,0.0441,Southern_California.19950417.stacov.point-2016/02/16-09:20:21 
22,19950418,1995.2942,-350.7,351.6,47.1,rrr,3.0,3.7,11.1,0.0505,Southern_California.19950418.stacov.point-2016/02/16-09:20:22 
23,19950419,1995.2969,-347.1,354.5,43.5,rrr,3.0,3.6,11.1,0.0964,Southern_California.19950419.stacov.point-2016/02/16-09:20:22 
24,19950420,1995.2996,-347.1,357.1,51.2,rrr,2.9,3.5,10.2,0.0107,Southern_California.19950420.stacov.point-2016/02/16-09:20:22 
25,19950421,1995.3024,-346.5,358.9,53.1,rrr,2.7,3.5,9.9,-0.0363,Southern_California.19950421.stacov.point-2016/02/16-09:20:22 
26,19950422,1995.3051,-345.9,358.1,43.5,rrr,2.7,3.5,9.7,-0.0698,Southern_California.19950422.stacov.point-2016/02/16-09:20:23 
27,19950423,1995.3079,-346.1,358.0,49.3,rrr,2.8,3.4,10.1,0.0471,Southern_California.19950423.stacov.point-2016/02/16-09:20:23 
28,19950424,1995.3106,-345.9,356.7,46.6,rrr,2.9,3.4,10.2,0.0439,Southern_California.19950424.stacov.point-2016/02/16-09:20:23 
29,19950425,1995.3133,-348.0,356.7,44.2,rrr,2.8,3.3,10.0,-0.0917,Southern_California.19950425.stacov.point-2016/02/16-09:20:23 
30,19950426,1995.3161,-347.2,355.6,46.8,rrr,2.8,3.3,10.0,-0.041,Southern_California.19950426.stacov.point-2016/02/16-09:20:24 
31,19950427,1995.3188,-348.4,356.8,49.1,rrr,2.7,3.4,9.3,0.0587,Southern_California.19950427.stacov.point-2016/02/16-09:20:24 
32,19950428,1995.3216,-346.4,358.9,46.5,rrr,2.8,3.4,10.0,0.0101,Southern_California.19950428.stacov.point-2016/02/16-09:20:24 
33,19950429,1995.3243,-347.6,358.4,49.4,rrr,2.9,3.3,10.3,0.0458,Southern_California.19950429.stacov.point-2016/02/16-09:20:24 
34,19950430,1995.327,-344.6,357.4,48.5,rrr,2.9,3.6,10.2,0.0843,Southern_California.19950430.stacov.point-2016/02/16-09:20:25 
35,19950501,1995.3298,-345.9,358.6,48.0,rrr,2.9,3.5,10.4,0.1084,Southern_California.19950501.stacov.point-2016/02/16-09:20:25 
36,19950502,1995.3325,-346.7,354.0,55.0,rrr,2.9,3.6,11.1,0.0556,Southern_California.19950502.stacov.point-2016/02/16-09:20:25 
37,19950503,1995.3352,-346.2,356.0,53.6,rrr,2.9,3.6,9.8,0.0693,Southern_California.19950503.stacov.point-2016/02/16-09:20:25 
38,19950504,1995.338,-345.7,356.5,48.6,rrr,2.9,3.3,10.0,0.0264,Southern_California.19950504.stacov.point-2016/02/16-09:20:26 
39,19950505,1995.3407,-346.9,354.4,48.5,rrr,2.8,3.5,9.9,0.0211,Southern_California.19950505.stacov.point-2016/02/16-09:20:26 
40,19950506,1995.3435,-346.7,358.1,48.7,rrr,2.8,3.3,10.1,0.089,Southern_California.19950506.stacov.point-2016/02/16-09:20:26 
41,19950507,1995.3462,-346.7,356.8,52.8,rrr,2.7,3.3,9.5,0.0402,Southern_California.19950507.stacov.point-2016/02/16-09:20:26 
42,19950508,1995.3489,-348.8,357.1,51.4,rrr,3.0,3.4,10.8,0.0681,Southern_California.19950508.stacov.point-2016/02/16-09:20:27 
43,19950509,1995.3517,-346.8,356.7,46.2,rrr,2.8,3.4,10.1,0.1058,Southern_California.19950509.stacov.point-2016/02/16-09:20:27 
44,19950510,1995.3544,-345.4,355.9,40.6,rrr,3.0,3.4,10.6,-0.0456,Southern_California.19950510.stacov.point-2016/02/16-09:20:27 
45,19950511,1995.3571,-346.0,359.7,42.8,rrr,2.8,3.6,10.6,0.0825,Southern_California.19950511.stacov.point-2016/02/16-09:20:27 
46,19950512,1995.3599,-347.5,356.6,46.2,rrr,2.8,3.5,10.5,-0.0137,Southern_California.19950512.stacov.point-2016/02/16-09:20:28 
47,19950513,1995.3626,-348.3,355.0,50.1,rrr,2.9,3.6,10.5,0.0556,Southern_California.19950513.stacov.point-2016/02/16-09:20:28 
48,19950514,1995.3654,-345.8,356.1,54.0,rrr,2.9,3.8,10.5,0.1439,Southern_California.19950514.stacov.point-2016/02/16-09:20:28 
49,19950515,1995.3681,-345.7,356.7,37.6,rrr,2.9,3.6,10.4,0.07,Southern_California.19950515.stacov.point-2016/02/16-09:20:28 
50,19950516,1995.3708,-347.5,354.0,39.0,rrr,3.0,3.6,11.2,-0.0154,Southern_California.19950516.stacov.point-2016/02/16-09:20:29 
51,19950517,1995.3736,-348.0,354.2,46.5,rrr,2.9,3.5,10.6,0.0762,Southern_California.19950517.stacov.point-2016/02/16-09:20:29 
52,19950523,1995.39,-346.9,353.0,51.7,rrr,3.0,3.9,11.6,0.0641,Southern_California.19950523.stacov.point-2016/02/16-09:20:30 
53,19950524,1995.3927,-345.6,352.3,48.9,rrr,2.9,3.6,10.4,-0.0193,Southern_California.19950524.stacov.point-2016/02/16-09:20:31 
54,19950525,1995.3955,-348.1,357.3,43.6,rrr,2.9,3.5,10.2,0.0269,Southern_California.19950525.stacov.point-2016/02/16-09:20:31 
55,19950526,1995.3982,-346.3,355.0,44.8,rrr,2.9,3.7,10.9,0.0686,Southern_California.19950526.stacov.point-2016/02/16-09:20:31 
56,19950527,1995.401,-344.9,354.7,41.9,rrr,2.9,3.5,10.8,0.0244,Southern_California.19950527.stacov.point-2016/02/16-09:20:31 
57,19950528,1995.4037,-346.0,358.2,38.1,rrr,2.9,3.5,11.1,0.0565,Southern_California.19950528.stacov.point-2016/02/16-09:20:32 
58,19950529,1995.4064,-348.1,353.8,47.4,rrr,2.8,3.7,10.8,0.0034,Southern_California.19950529.stacov.point-2016/02/16-09:20:32 
59,19950530,1995.4092,-346.2,353.6,37.9,rrr,3.1,3.5,11.3,0.1141,Southern_California.19950530.stacov.point-2016/02/16-09:20:32 
60,19950531,1995.4119,-347.6,353.3,42.3,rrr,3.0,3.6,11.2,-0.1008,Southern_California.19950531.stacov.point-2016/02/16-09:20:32 
61,19950601,1995.4146,-345.8,355.6,41.9,rrr,3.0,3.5,11.1,0.0868,Southern_California.19950601.stacov.point-2016/02/16-09:20:33 
62,19950602,1995.4174,-345.3,355.9,47.9,rrr,2.9,3.5,10.6,-0.0192,Southern_California.19950602.stacov.point-2016/02/16-09:20:33 
63,19950603,1995.4201,-345.9,355.4,42.8,rrr,2.8,3.5,10.2,0.075,Southern_California.19950603.stacov.point-2016/02/16-09:20:33 
64,19950604,1995.4229,-347.6,352.4,41.5,rrr,2.9,3.5,11.0,-0.0062,Southern_California.19950604.stacov.point-2016/02/16-09:20:33 
65,19950605,1995.4256,-350.7,351.4,42.0,rrr,2.9,3.7,10.3,0.0547,Southern_California.19950605.stacov.point-2016/02/16-09:20:34 
66,19950606,1995.4283,-347.5,352.5,38.0,rrr,2.8,3.7,10.3,0.0913,Southern_California.19950606.stacov.point-2016/02/16-09:20:34 
67,19950607,1995.4311,-349.7,352.2,46.3,rrr,3.0,3.9,11.2,0.1305,Southern_California.19950607.stacov.point-2016/02/16-09:20:34 
68,19950608,1995.4338,-342.8,353.8,37.5,rrr,2.9,3.6,10.4,0.0829,Southern_California.19950608.stacov.point-2016/02/16-09:20:34 
69,19950609,1995.4365,-347.7,352.4,44.4,rrr,2.8,3.7,10.6,0.0944,Southern_California.19950609.stacov.point-2016/02/16-09:20:35 
70,19950610,1995.4393,-346.1,353.7,36.7,rrr,2.8,3.7,10.6,0.0434,Southern_California.19950610.stacov.point-2016/02/16-09:20:35 
71,19950611,1995.442,-347.8,352.7,44.0,rrr,3.0,3.6,11.1,0.0087,Southern_California.19950611.stacov.point-2016/02/16-09:20:35 
72,19950612,1995.4448,-347.6,353.8,39.0,rrr,2.8,3.6,10.4,0.0897,Southern_California.19950612.stacov.point-2016/02/16-09:20:35 
73,19950613,1995.4475,-344.2,352.5,46.9,rrr,2.9,3.6,10.6,0.0539,Southern_California.19950613.stacov.point-2016/02/16-09:20:36 
74,19950614,1995.4502,-346.7,354.1,38.6,rrr,2.8,3.6,10.4,0.1039,Southern_California.19950614.stacov.point-2016/02/16-09:20:36 
75,19950615,1995.453,-348.5,352.2,42.0,rrr,2.9,3.7,10.6,0.0732,Southern_California.19950615.stacov.point-2016/02/16-09:20:36 
76,19950616,1995.4557,-348.4,349.7,47.4,rrr,2.8,3.4,10.3,0.0537,Southern_California.19950616.stacov.point-2016/02/16-09:20:36 
77,19950617,1995.4584,-346.8,354.3,45.9,rrr,2.8,3.6,10.6,0.072,Southern_California.19950617.stacov.point-2016/02/16-09:20:37 
78,19950618,1995.4612,-344.9,353.3,45.1,rrr,2.9,3.7,10.9,0.1044,Southern_California.19950618.stacov.point-2016/02/16-09:20:37 
79,19950619,1995.4639,-346.9,350.9,40.4,rrr,2.9,3.6,10.2,-0.0133,Southern_California.19950619.stacov.point-2016/02/16-09:20:37 
80,19950620,1995.4667,-345.6,351.0,41.7,rrr,2.9,3.8,10.3,0.0481,Southern_California.19950620.stacov.point-2016/02/16-09:20:37 
81,19950621,1995.4694,-345.2,352.2,39.9,rrr,3.0,3.4,10.8,0.0829,Southern_California.19950621.stacov.point-2016/02/16-09:20:38 
82,19950622,1995.4721,-345.2,353.8,42.1,rrr,3.1,3.3,10.4,-0.0398,Southern_California.19950622.stacov.point-2016/02/16-09:20:38 
83,19950623,1995.4749,-345.5,352.9,45.8,rrr,2.8,3.3,10.1,0.0911,Southern_California.19950623.stacov.point-2016/02/16-09:20:38 
84,19950624,1995.4776,-346.3,351.9,50.6,rrr,2.8,3.4,10.1,-0.0237,Southern_California.19950624.stacov.point-2016/02/16-09:20:38 
85,19950625,1995.4804,-347.1,354.6,49.0,rrr,2.7,3.6,9.9,0.0213,Southern_California.19950625.stacov.point-2016/02/16-09:20:39 
86,19950626,1995.4831,-345.7,353.5,47.1,rrr,2.7,3.2,9.8,-0.0025,Southern_California.19950626.stacov.point-2016/02/16-09:20:39 
87,19950627,1995.4858,-346.2,353.7,48.8,rrr,2.8,3.4,9.7,0.0252,Southern_California.19950627.stacov.point-2016/02/16-09:20:39 
88,19950714,1995.5324,-346.0,349.3,40.5,rrr,3.0,3.9,11.2,0.1185,Southern_California.19950714.stacov.point-2016/02/16-09:20:44 
