,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20010621,2001.4709,-281.7,250.6,5.9,rrr,2.6,3.1,8.9,-0.0049,Southern_California.20010621.stacov.point-2016/02/16-09:35:41 
1,20011020,2001.8022,-267.4,247.1,6.8,rrr,2.5,2.8,8.6,-0.015,Southern_California.20011020.stacov.point-2016/02/16-09:37:14 
2,20011021,2001.8049,-270.2,246.4,3.7,rrr,2.6,2.9,9.1,0.0151,Southern_California.20011021.stacov.point-2016/02/16-09:37:15 
3,20011022,2001.8077,-272.1,247.2,2.0,rrr,2.7,3.1,9.3,-0.059,Southern_California.20011022.stacov.point-2016/02/16-09:37:16 
4,20011023,2001.8104,-269.0,247.1,7.0,rrr,2.7,3.0,9.1,0.0159,Southern_California.20011023.stacov.point-2016/02/16-09:37:17 
5,20011024,2001.8131,-270.6,247.6,10.2,rrr,2.6,2.8,8.8,-0.0287,Southern_California.20011024.stacov.point-2016/02/16-09:37:18 
6,20011026,2001.8186,-267.7,248.5,0.8,rrr,3.2,3.6,11.5,-0.0649,Southern_California.20011026.stacov.point-2016/02/16-09:37:19 
7,20011027,2001.8213,-266.8,248.9,-2.4,rrr,2.9,3.3,10.5,-0.0029,Southern_California.20011027.stacov.point-2016/02/16-09:37:20 
8,20011028,2001.8242,-268.8,248.0,3.8,rrr,3.0,3.6,11.2,-0.0049,Southern_California.20011028.stacov.point-2016/02/16-09:37:21 
9,20011029,2001.8269,-268.1,249.3,5.6,rrr,2.7,3.2,10.0,-0.0072,Southern_California.20011029.stacov.point-2016/02/16-09:37:21 
10,20011030,2001.8297,-268.8,249.6,10.0,rrr,2.9,3.4,10.5,0.0331,Southern_California.20011030.stacov.point-2016/02/16-09:37:22 
11,20011031,2001.8324,-269.3,249.0,5.4,rrr,2.7,3.3,10.1,0.024,Southern_California.20011031.stacov.point-2016/02/16-09:37:23 
12,20011101,2001.8352,-269.0,250.5,5.5,rrr,2.9,3.4,10.5,0.0265,Southern_California.20011101.stacov.point-2016/02/16-09:37:24 
13,20011102,2001.8379,-267.5,249.9,5.9,rrr,2.7,3.1,10.0,-0.0039,Southern_California.20011102.stacov.point-2016/02/16-09:37:25 
14,20011103,2001.8406,-266.1,250.5,3.5,rrr,2.8,3.3,10.1,0.016,Southern_California.20011103.stacov.point-2016/02/16-09:37:25 
15,20011104,2001.8434,-266.5,250.7,3.0,rrr,2.8,3.4,10.5,0.0148,Southern_California.20011104.stacov.point-2016/02/16-09:37:26 
16,20011105,2001.8461,-267.5,250.4,9.4,rrr,2.9,3.4,10.5,0.0072,Southern_California.20011105.stacov.point-2016/02/16-09:37:27 
17,20011106,2001.8488,-267.3,246.5,1.5,rrr,3.1,3.5,11.3,0.078,Southern_California.20011106.stacov.point-2016/02/16-09:37:28 
18,20011107,2001.8516,-266.8,250.9,4.8,rrr,3.1,3.5,11.2,-0.003,Southern_California.20011107.stacov.point-2016/02/16-09:37:28 
19,20011108,2001.8543,-267.4,250.2,6.7,rrr,2.9,3.3,10.5,0.0411,Southern_California.20011108.stacov.point-2016/02/16-09:37:29 
20,20011109,2001.8571,-265.8,248.4,0.7,rrr,2.9,3.2,10.5,0.031,Southern_California.20011109.stacov.point-2016/02/16-09:37:30 
21,20011110,2001.8598,-268.7,251.0,4.5,rrr,3.1,3.5,11.4,-0.024,Southern_California.20011110.stacov.point-2016/02/16-09:37:31 
22,20011111,2001.8625,-267.9,248.6,4.2,rrr,2.9,3.3,10.5,-0.0135,Southern_California.20011111.stacov.point-2016/02/16-09:37:32 
23,20011112,2001.8653,-267.4,250.3,3.0,rrr,2.8,3.3,10.3,-0.0109,Southern_California.20011112.stacov.point-2016/02/16-09:37:32 
24,20011113,2001.868,-267.7,251.7,4.8,rrr,2.9,3.2,10.7,-0.0078,Southern_California.20011113.stacov.point-2016/02/16-09:37:33 
25,20011114,2001.8707,-268.8,250.1,-4.6,rrr,2.9,3.3,10.5,0.0035,Southern_California.20011114.stacov.point-2016/02/16-09:37:34 
26,20011115,2001.8735,-266.8,248.3,2.4,rrr,2.8,3.3,10.4,0.0078,Southern_California.20011115.stacov.point-2016/02/16-09:37:35 
27,20011116,2001.8762,-267.9,249.7,7.0,rrr,2.9,3.5,10.8,0.039,Southern_California.20011116.stacov.point-2016/02/16-09:37:36 
28,20011117,2001.879,-266.3,249.2,-0.2,rrr,2.7,3.2,10.0,-0.0135,Southern_California.20011117.stacov.point-2016/02/16-09:37:36 
29,20011118,2001.8817,-265.8,249.2,0.1,rrr,2.8,3.1,10.2,-0.0136,Southern_California.20011118.stacov.point-2016/02/16-09:37:37 
30,20011119,2001.8844,-265.1,249.0,-5.8,rrr,2.8,3.3,10.5,0.0197,Southern_California.20011119.stacov.point-2016/02/16-09:37:38 
