,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19970930,1997.7473,-219.9,102.2,-36.0,rrr,2.9,3.5,11.1,-0.0091,Southern_California.19970930.stacov.point-2016/02/16-09:24:25 
1,19971001,1997.7501,-219.1,98.1,-40.0,rrr,2.8,3.4,10.7,0.0093,Southern_California.19971001.stacov.point-2016/02/16-09:24:26 
2,19971002,1997.7528,-222.9,102.0,-32.1,rrr,2.9,3.4,11.1,-0.0052,Southern_California.19971002.stacov.point-2016/02/16-09:24:26 
3,19971003,1997.7556,-222.6,100.5,-30.6,rrr,3.0,3.4,11.1,-0.037,Southern_California.19971003.stacov.point-2016/02/16-09:24:26 
4,19971004,1997.7583,-218.2,99.1,-35.8,rrr,3.1,3.5,11.6,-0.0311,Southern_California.19971004.stacov.point-2016/02/16-09:24:26 
5,19971009,1997.772,-220.5,102.0,-38.2,rrr,2.9,3.4,10.7,-0.0089,Southern_California.19971009.stacov.point-2016/02/16-09:24:28 
6,19971010,1997.7747,-220.0,100.8,-27.0,rrr,2.9,3.4,11.1,-0.0206,Southern_California.19971010.stacov.point-2016/02/16-09:24:28 
7,19971011,1997.7775,-219.8,93.8,-29.6,rrr,3.1,3.4,11.2,-0.0393,Southern_California.19971011.stacov.point-2016/02/16-09:24:28 
8,19971012,1997.7802,-222.4,98.3,-36.9,rrr,3.0,3.4,10.9,-0.0039,Southern_California.19971012.stacov.point-2016/02/16-09:24:29 
9,19971013,1997.7829,-221.6,102.1,-43.0,rrr,3.0,3.4,11.1,-0.0325,Southern_California.19971013.stacov.point-2016/02/16-09:24:29 
10,19971014,1997.7857,-219.0,102.3,-34.5,rrr,2.9,3.4,10.7,-0.0067,Southern_California.19971014.stacov.point-2016/02/16-09:24:29 
11,19971015,1997.7884,-219.8,100.6,-35.6,rrr,3.0,3.5,10.8,-0.0332,Southern_California.19971015.stacov.point-2016/02/16-09:24:30 
12,19971016,1997.7911,-221.6,99.5,-39.7,rrr,2.9,3.5,10.9,-0.0152,Southern_California.19971016.stacov.point-2016/02/16-09:24:30 
13,19971017,1997.7939,-220.5,98.6,-39.8,rrr,2.9,3.4,10.7,0.0001,Southern_California.19971017.stacov.point-2016/02/16-09:24:30 
14,19971018,1997.7966,-218.0,100.2,-37.9,rrr,2.9,3.4,10.9,0.0004,Southern_California.19971018.stacov.point-2016/02/16-09:24:30 
15,19971019,1997.7994,-219.2,100.2,-29.9,rrr,3.0,3.4,10.9,-0.0195,Southern_California.19971019.stacov.point-2016/02/16-09:24:31 
16,19971020,1997.8021,-219.5,98.4,-29.3,rrr,3.0,3.4,10.9,-0.0279,Southern_California.19971020.stacov.point-2016/02/16-09:24:31 
17,19971021,1997.8048,-219.9,99.7,-33.0,rrr,3.0,3.5,11.1,-0.0153,Southern_California.19971021.stacov.point-2016/02/16-09:24:31 
18,19971022,1997.8076,-218.1,100.1,-34.5,rrr,2.9,3.4,11.1,-0.0339,Southern_California.19971022.stacov.point-2016/02/16-09:24:32 
19,19971023,1997.8103,-219.9,100.2,-34.4,rrr,2.9,3.4,10.9,-0.014,Southern_California.19971023.stacov.point-2016/02/16-09:24:32 
20,19971024,1997.813,-220.0,98.4,-31.8,rrr,3.0,3.4,11.1,-0.0399,Southern_California.19971024.stacov.point-2016/02/16-09:24:32 
21,19971025,1997.8158,-221.3,101.2,-30.6,rrr,3.1,3.5,11.8,-0.0394,Southern_California.19971025.stacov.point-2016/02/16-09:24:32 
22,19971026,1997.8186,-220.6,100.2,-34.6,rrr,2.9,3.4,11.1,-0.0295,Southern_California.19971026.stacov.point-2016/02/16-09:24:33 
23,19971027,1997.8214,-218.1,99.7,-35.6,rrr,2.9,3.4,10.7,-0.0037,Southern_California.19971027.stacov.point-2016/02/16-09:24:33 
24,19971028,1997.8241,-219.4,101.4,-34.0,rrr,3.0,3.4,11.1,-0.0401,Southern_California.19971028.stacov.point-2016/02/16-09:24:33 
25,19971029,1997.8269,-218.7,100.1,-32.6,rrr,3.0,3.5,11.5,-0.0598,Southern_California.19971029.stacov.point-2016/02/16-09:24:34 
26,19971030,1997.8296,-217.2,102.4,-35.8,rrr,2.9,3.4,11.1,-0.0217,Southern_California.19971030.stacov.point-2016/02/16-09:24:34 
27,19971031,1997.8323,-218.8,100.5,-32.3,rrr,3.0,3.4,11.1,-0.0216,Southern_California.19971031.stacov.point-2016/02/16-09:24:34 
28,19971101,1997.8351,-217.8,101.0,-34.3,rrr,3.0,3.4,11.1,-0.0193,Southern_California.19971101.stacov.point-2016/02/16-09:24:35 
29,19971102,1997.8378,-218.2,102.3,-32.3,rrr,2.9,3.4,11.1,-0.0155,Southern_California.19971102.stacov.point-2016/02/16-09:24:35 
