DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20150812,2015.6122,-0.5,11.3,33.2,rrr,2.4,2.6,8.1,-0.0326,Southern_California.20150812.stacov.point-2016/02/16-12:28:09 
20150814,2015.6177,-0.9,6.6,31.1,rrr,2.4,2.6,8.1,-0.0345,Southern_California.20150814.stacov.point-2016/02/16-12:28:12 
20150815,2015.6204,-0.2,7.3,25.6,rrr,2.4,2.6,8.1,-0.0392,Southern_California.20150815.stacov.point-2016/02/16-12:28:14 
20150816,2015.6231,2.5,17.1,38.2,rrr,2.4,2.6,8.1,-0.0248,Southern_California.20150816.stacov.point-2016/02/16-12:28:15 
20150817,2015.6259,0.2,6.2,29.2,rrr,2.4,2.6,8.1,-0.0288,Southern_California.20150817.stacov.point-2016/02/16-12:28:17 
20150818,2015.6286,1.4,6.8,25.7,rrr,2.4,2.7,8.1,-0.0312,Southern_California.20150818.stacov.point-2016/02/16-12:28:18 
20150819,2015.6314,0.2,6.4,22.5,rrr,2.4,2.7,8.1,-0.0384,Southern_California.20150819.stacov.point-2016/02/16-12:28:19 
20150820,2015.6341,0.1,6.8,24.1,rrr,2.4,2.6,8.1,-0.0252,Southern_California.20150820.stacov.point-2016/02/16-12:28:21 
20150821,2015.6368,-0.8,6.2,27.5,rrr,2.4,2.6,8.1,-0.0191,Southern_California.20150821.stacov.point-2016/02/16-12:28:22 
20150822,2015.6396,-0.8,6.2,23.9,rrr,2.4,2.6,8.1,-0.0321,Southern_California.20150822.stacov.point-2016/02/16-12:28:24 
20150823,2015.6423,0.0,5.3,23.6,rrr,2.4,2.7,8.1,-0.0272,Southern_California.20150823.stacov.point-2016/02/16-12:28:25 
20150824,2015.6451,0.6,7.2,20.7,rrr,2.4,2.6,8.1,-0.0304,Southern_California.20150824.stacov.point-2016/02/16-12:28:27 
20150825,2015.6478,-1.0,8.0,21.4,rrr,2.4,2.8,8.2,0.0242,Southern_California.20150825.stacov.point-2016/02/16-12:28:28 
20150826,2015.6505,1.3,8.1,24.5,rrr,2.4,2.6,8.1,-0.0268,Southern_California.20150826.stacov.point-2016/02/16-12:28:30 
20150827,2015.6533,0.3,6.3,24.3,rrr,2.4,2.6,8.1,-0.021,Southern_California.20150827.stacov.point-2016/02/16-12:28:31 
20150828,2015.656,0.8,6.1,26.4,rrr,2.4,2.7,8.1,-0.0338,Southern_California.20150828.stacov.point-2016/02/16-12:28:33 
20150829,2015.6587,0.1,6.7,26.3,rrr,2.4,2.7,8.1,-0.0293,Southern_California.20150829.stacov.point-2016/02/16-12:28:34 
20150830,2015.6615,-0.1,7.2,23.3,rrr,2.4,2.6,8.1,-0.0252,Southern_California.20150830.stacov.point-2016/02/16-12:28:36 
20150831,2015.6642,-0.3,6.7,26.8,rrr,2.4,2.7,8.1,-0.0231,Southern_California.20150831.stacov.point-2016/02/16-12:28:37 
20150901,2015.667,-0.1,7.2,29.1,rrr,2.4,2.6,8.1,-0.0161,Southern_California.20150901.stacov.point-2016/02/16-12:28:38 
20150902,2015.6697,0.9,5.5,29.6,rrr,2.4,2.6,8.1,-0.0169,Southern_California.20150902.stacov.point-2016/02/16-12:28:40 
20150903,2015.6724,1.7,6.1,28.0,rrr,2.4,2.6,7.9,-0.0031,Southern_California.20150903.stacov.point-2016/02/16-12:28:41 
20150904,2015.6752,1.3,6.8,27.5,rrr,2.4,2.7,8.1,-0.0475,Southern_California.20150904.stacov.point-2016/02/16-12:28:43 
20150905,2015.6779,-0.1,6.6,27.3,rrr,2.4,2.6,8.1,-0.0285,Southern_California.20150905.stacov.point-2016/02/16-12:28:44 
20150906,2015.6806,0.6,5.3,24.9,rrr,2.4,2.7,8.1,-0.0211,Southern_California.20150906.stacov.point-2016/02/16-12:28:46 
20150907,2015.6834,0.2,6.0,25.7,rrr,2.4,2.6,8.1,-0.0248,Southern_California.20150907.stacov.point-2016/02/16-12:28:47 
20150908,2015.6861,0.3,4.0,27.2,rrr,2.4,2.6,7.9,0.0015,Southern_California.20150908.stacov.point-2016/02/16-12:28:49 
20150909,2015.6889,2.5,5.3,31.2,rrr,2.4,2.6,8.1,-0.025,Southern_California.20150909.stacov.point-2016/02/16-12:28:51 
20150910,2015.6916,2.7,5.2,27.2,rrr,2.4,2.6,8.1,-0.0251,Southern_California.20150910.stacov.point-2016/02/16-12:28:52 
20150911,2015.6943,2.2,5.9,25.3,rrr,2.5,2.8,8.6,-0.0358,Southern_California.20150911.stacov.point-2016/02/16-12:28:54 
20150912,2015.6971,-0.5,6.0,26.9,rrr,2.4,2.6,8.1,-0.0212,Southern_California.20150912.stacov.point-2016/02/16-12:28:55 
20150913,2015.6998,1.9,6.7,24.4,rrr,2.4,2.6,8.1,-0.0276,Southern_California.20150913.stacov.point-2016/02/16-12:28:57 
20150914,2015.7025,1.0,7.2,27.5,rrr,2.4,2.6,8.1,-0.0358,Southern_California.20150914.stacov.point-2016/02/16-12:28:58 
20150915,2015.7053,1.9,8.1,21.7,rrr,2.4,2.6,8.1,-0.027,Southern_California.20150915.stacov.point-2016/02/16-12:29:00 
20150916,2015.708,1.3,8.5,32.0,rrr,2.4,2.7,8.1,-0.0468,Southern_California.20150916.stacov.point-2016/02/16-12:29:01 
20150917,2015.7108,0.5,5.1,24.2,rrr,2.4,2.7,8.1,-0.0263,Southern_California.20150917.stacov.point-2016/02/16-12:29:03 
20150918,2015.7135,1.3,4.8,31.2,rrr,2.4,2.7,8.1,-0.0217,Southern_California.20150918.stacov.point-2016/02/16-12:29:04 
20150919,2015.7162,1.0,5.9,26.9,rrr,2.4,2.7,8.1,-0.0395,Southern_California.20150919.stacov.point-2016/02/16-12:29:06 
20150920,2015.719,2.0,4.7,26.9,rrr,2.4,2.7,8.1,-0.0252,Southern_California.20150920.stacov.point-2016/02/16-12:29:07 
20150921,2015.7217,-0.7,4.8,33.4,rrr,2.4,2.6,8.1,-0.0455,Southern_California.20150921.stacov.point-2016/02/16-12:29:09 
20150922,2015.7244,0.7,5.4,25.1,rrr,2.4,2.6,8.1,-0.0319,Southern_California.20150922.stacov.point-2016/02/16-12:29:10 
20150923,2015.7272,-0.1,6.6,22.0,rrr,2.4,2.6,8.1,-0.0458,Southern_California.20150923.stacov.point-2016/02/16-12:29:12 
20150924,2015.7299,0.1,5.5,24.7,rrr,2.4,2.6,8.1,-0.0489,Southern_California.20150924.stacov.point-2016/02/16-12:29:13 
20150925,2015.7327,1.4,5.9,24.7,rrr,2.4,2.6,8.1,-0.0403,Southern_California.20150925.stacov.point-2016/02/16-12:29:15 
20150926,2015.7354,-0.1,2.7,31.2,rrr,2.4,2.6,8.1,-0.0404,Southern_California.20150926.stacov.point-2016/02/16-12:29:17 
20150927,2015.7381,-0.6,4.7,29.3,rrr,2.4,2.6,8.1,-0.0571,Southern_California.20150927.stacov.point-2016/02/16-12:29:18 
20150928,2015.7409,1.2,6.0,31.8,rrr,2.6,2.8,8.6,-0.0324,Southern_California.20150928.stacov.point-2016/02/16-12:29:20 
20150929,2015.7436,0.7,4.6,30.3,rrr,2.5,2.8,8.4,-0.0036,Southern_California.20150929.stacov.point-2016/02/16-12:29:22 
20150930,2015.7464,0.4,5.3,30.8,rrr,2.5,2.8,8.6,-0.0234,Southern_California.20150930.stacov.point-2016/02/16-12:29:23 
20151001,2015.7491,-1.9,6.8,31.7,rrr,2.5,2.7,8.6,-0.0115,Southern_California.20151001.stacov.point-2016/02/16-12:29:25 
20151002,2015.7518,-0.8,4.8,29.5,rrr,2.4,2.7,8.2,-0.0003,Southern_California.20151002.stacov.point-2016/02/16-12:29:26 
20151003,2015.7546,-0.7,5.1,27.6,rrr,2.4,2.6,8.1,-0.0471,Southern_California.20151003.stacov.point-2016/02/16-12:29:28 
20151004,2015.7573,-0.8,4.6,34.5,rrr,2.4,2.7,8.2,0.0322,Southern_California.20151004.stacov.point-2016/02/16-12:29:29 
20151005,2015.76,-0.5,6.3,25.8,rrr,2.4,2.7,8.2,0.0253,Southern_California.20151005.stacov.point-2016/02/16-12:29:31 
20151006,2015.7628,0.9,4.5,20.8,rrr,2.4,2.6,8.1,-0.0543,Southern_California.20151006.stacov.point-2016/02/16-12:29:32 
20151007,2015.7655,0.4,5.3,20.8,rrr,2.4,2.7,8.2,0.0173,Southern_California.20151007.stacov.point-2016/02/16-12:29:34 
20151008,2015.7683,-0.3,2.9,31.5,rrr,2.4,2.7,8.2,0.0122,Southern_California.20151008.stacov.point-2016/02/16-12:29:35 
20151009,2015.771,0.8,5.7,27.7,rrr,2.4,2.7,8.2,0.0107,Southern_California.20151009.stacov.point-2016/02/16-12:29:37 
20151010,2015.7737,0.6,4.7,23.4,rrr,2.5,2.7,8.6,-0.0051,Southern_California.20151010.stacov.point-2016/02/16-12:29:39 
20151011,2015.7765,0.1,5.6,27.3,rrr,2.4,2.7,8.2,0.0178,Southern_California.20151011.stacov.point-2016/02/16-12:29:40 
20151012,2015.7792,-0.9,3.7,34.3,rrr,2.5,2.8,8.5,0.0003,Southern_California.20151012.stacov.point-2016/02/16-12:29:42 
20151013,2015.7819,0.5,4.1,30.8,rrr,2.5,2.7,8.6,-0.0065,Southern_California.20151013.stacov.point-2016/02/16-12:29:43 
20151014,2015.7847,1.7,3.4,27.8,rrr,2.4,2.7,8.2,0.0052,Southern_California.20151014.stacov.point-2016/02/16-12:29:45 
20151015,2015.7874,2.5,1.8,22.1,rrr,2.5,2.7,8.6,-0.0123,Southern_California.20151015.stacov.point-2016/02/16-12:29:46 
20151016,2015.7902,2.1,3.1,15.0,rrr,2.4,2.7,8.2,0.0261,Southern_California.20151016.stacov.point-2016/02/16-12:29:48 
20151017,2015.7929,-0.8,5.9,20.9,rrr,2.4,2.7,8.2,0.0192,Southern_California.20151017.stacov.point-2016/02/16-12:29:49 
20151018,2015.7956,0.0,6.5,33.0,rrr,2.4,2.7,8.2,0.0336,Southern_California.20151018.stacov.point-2016/02/16-12:29:51 
20151019,2015.7984,0.8,4.7,32.5,rrr,2.4,2.7,8.2,-0.0014,Southern_California.20151019.stacov.point-2016/02/16-12:29:52 
20151020,2015.8011,0.3,3.0,29.0,rrr,2.5,2.8,8.4,-0.0103,Southern_California.20151020.stacov.point-2016/02/16-12:29:55 
20151021,2015.8038,1.4,2.2,29.0,rrr,2.5,2.8,8.6,-0.0094,Southern_California.20151021.stacov.point-2016/02/16-12:29:58 
20151022,2015.8066,0.6,3.9,30.9,rrr,2.5,2.8,8.6,-0.0176,Southern_California.20151022.stacov.point-2016/02/16-12:29:59 
20151023,2015.8093,2.2,4.4,28.5,rrr,2.5,2.8,8.6,-0.001,Southern_California.20151023.stacov.point-2016/02/16-12:30:01 
20151024,2015.8121,-0.1,5.0,32.2,rrr,2.5,2.8,8.6,-0.01,Southern_California.20151024.stacov.point-2016/02/16-12:30:02 
20151025,2015.8148,0.9,4.8,32.0,rrr,2.5,2.8,8.6,-0.0172,Southern_California.20151025.stacov.point-2016/02/16-12:30:05 
20151026,2015.8175,1.1,5.5,27.8,rrr,2.5,2.8,8.6,-0.0038,Southern_California.20151026.stacov.point-2016/02/16-12:30:06 
20151027,2015.8203,1.3,5.6,29.2,rrr,2.5,2.8,8.6,-0.0257,Southern_California.20151027.stacov.point-2016/02/16-12:30:07 
20151028,2015.823,0.1,3.6,24.3,rrr,2.5,2.8,8.6,-0.002,Southern_California.20151028.stacov.point-2016/02/16-12:30:09 
20151029,2015.8258,-0.3,4.3,36.3,rrr,2.5,2.7,8.6,-0.0097,Southern_California.20151029.stacov.point-2016/02/16-12:30:12 
20151030,2015.8285,-0.1,6.1,32.6,rrr,2.5,2.8,8.6,-0.008,Southern_California.20151030.stacov.point-2016/02/16-12:30:13 
20151031,2015.8312,-1.1,5.3,33.0,rrr,2.5,2.8,8.6,-0.0012,Southern_California.20151031.stacov.point-2016/02/16-12:30:15 
20151101,2015.8341,-0.1,6.6,31.1,rrr,2.5,2.8,8.6,-0.0074,Southern_California.20151101.stacov.point-2016/02/16-12:30:16 
20151102,2015.8368,0.7,5.2,25.8,rrr,2.5,2.8,8.4,0.0238,Southern_California.20151102.stacov.point-2016/02/16-12:30:18 
20151103,2015.8396,0.6,5.3,27.1,rrr,2.4,2.8,8.2,0.0436,Southern_California.20151103.stacov.point-2016/02/16-12:30:20 
20151104,2015.8423,0.9,6.8,24.2,rrr,2.5,2.8,8.6,0.0064,Southern_California.20151104.stacov.point-2016/02/16-12:30:22 
20151105,2015.845,1.4,3.8,28.4,rrr,2.5,2.8,8.6,-0.0009,Southern_California.20151105.stacov.point-2016/02/16-12:30:23 
20151106,2015.8478,-0.2,4.1,28.0,rrr,2.5,2.9,8.7,0.0586,Southern_California.20151106.stacov.point-2016/02/16-12:30:26 
20151107,2015.8505,1.4,4.7,27.7,rrr,2.5,2.8,8.6,-0.0096,Southern_California.20151107.stacov.point-2016/02/16-12:30:28 
20151108,2015.8532,1.6,3.7,28.3,rrr,2.5,2.8,8.6,0.0079,Southern_California.20151108.stacov.point-2016/02/16-12:30:29 
20151109,2015.856,-0.7,5.7,29.9,rrr,2.5,2.8,8.6,0.012,Southern_California.20151109.stacov.point-2016/02/16-12:30:31 
20151110,2015.8587,0.6,4.9,30.3,rrr,2.5,2.8,8.6,-0.0124,Southern_California.20151110.stacov.point-2016/02/16-12:30:33 
20151111,2015.8615,-0.4,3.0,25.9,rrr,2.5,2.8,8.6,-0.0081,Southern_California.20151111.stacov.point-2016/02/16-12:30:34 
20151112,2015.8642,0.6,4.0,27.5,rrr,2.5,2.8,8.6,0.0003,Southern_California.20151112.stacov.point-2016/02/16-12:30:36 
20151113,2015.8669,-0.5,4.7,27.8,rrr,2.5,2.8,8.6,0.0096,Southern_California.20151113.stacov.point-2016/02/16-12:30:37 
20151114,2015.8697,-0.1,4.3,30.0,rrr,2.5,2.8,8.8,-0.0313,Southern_California.20151114.stacov.point-2016/02/16-12:30:39 
20151115,2015.8724,1.2,6.1,30.2,rrr,2.5,2.8,8.6,0.0057,Southern_California.20151115.stacov.point-2016/02/16-12:30:40 
20151116,2015.8751,-0.1,5.6,30.8,rrr,2.5,2.9,8.7,0.0588,Southern_California.20151116.stacov.point-2016/02/16-12:30:42 
20151117,2015.8779,1.2,4.5,29.0,rrr,2.5,2.8,8.6,-0.0069,Southern_California.20151117.stacov.point-2016/02/16-12:30:43 
20151118,2015.8806,2.0,3.9,32.5,rrr,2.6,2.9,8.9,0.0112,Southern_California.20151118.stacov.point-2016/02/16-12:30:45 
20151119,2015.8834,1.1,3.9,28.3,rrr,2.4,2.8,8.2,0.0291,Southern_California.20151119.stacov.point-2016/02/16-12:30:47 
20151120,2015.8861,1.7,3.8,25.0,rrr,2.4,2.9,8.2,0.0163,Southern_California.20151120.stacov.point-2016/02/16-12:30:48 
20151121,2015.8888,1.5,3.9,22.0,rrr,2.4,2.7,8.1,-0.037,Southern_California.20151121.stacov.point-2016/02/16-12:30:50 
20151122,2015.8916,1.4,5.3,28.9,rrr,2.4,2.8,8.2,0.0062,Southern_California.20151122.stacov.point-2016/02/16-12:30:51 
