,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19940718,1994.544,-302.5,336.4,-0.0,rrr,2.8,3.4,10.8,0.2052,Southern_California.19940718.stacov.point-2016/02/16-09:19:24 
1,19940719,1994.5467,-303.0,337.6,3.9,rrr,2.8,3.5,10.6,0.2118,Southern_California.19940719.stacov.point-2016/02/16-09:19:24 
2,19940720,1994.5495,-300.3,336.6,0.9,rrr,2.8,3.4,10.6,0.2019,Southern_California.19940720.stacov.point-2016/02/16-09:19:24 
3,19940721,1994.5522,-301.0,335.3,-6.1,rrr,2.9,3.4,10.6,0.1931,Southern_California.19940721.stacov.point-2016/02/16-09:19:24 
4,19940722,1994.5549,-303.7,336.6,-2.3,rrr,3.0,3.7,10.8,0.2283,Southern_California.19940722.stacov.point-2016/02/16-09:19:25 
5,19940723,1994.5577,-300.8,337.4,1.7,rrr,2.9,3.4,10.6,0.2153,Southern_California.19940723.stacov.point-2016/02/16-09:19:25 
6,19940724,1994.5604,-303.5,335.2,-1.7,rrr,2.8,3.4,10.8,0.2037,Southern_California.19940724.stacov.point-2016/02/16-09:19:25 
7,19940725,1994.5632,-300.7,337.9,5.8,rrr,2.9,3.5,11.1,0.2211,Southern_California.19940725.stacov.point-2016/02/16-09:19:25 
8,19940726,1994.5659,-307.0,330.1,-5.9,rrr,2.9,3.5,10.8,0.1926,Southern_California.19940726.stacov.point-2016/02/16-09:19:25 
9,19940727,1994.5686,-304.9,334.0,-1.3,rrr,3.3,3.8,12.5,0.1774,Southern_California.19940727.stacov.point-2016/02/16-09:19:26 
10,19940728,1994.5714,-307.9,333.2,-8.3,rrr,3.7,4.0,16.9,-0.0157,Southern_California.19940728.stacov.point-2016/02/16-09:19:26 
11,19940729,1994.5741,-305.2,334.3,5.8,rrr,2.7,3.3,10.1,0.1723,Southern_California.19940729.stacov.point-2016/02/16-09:19:26 
12,19940730,1994.5768,-302.8,336.3,-0.5,rrr,2.9,3.4,10.6,0.2102,Southern_California.19940730.stacov.point-2016/02/16-09:19:26 
13,19940731,1994.5796,-302.0,336.1,4.2,rrr,2.8,3.4,10.6,0.2003,Southern_California.19940731.stacov.point-2016/02/16-09:19:26 
14,19940801,1994.5823,-302.7,332.9,-6.1,rrr,2.8,3.6,10.9,0.2256,Southern_California.19940801.stacov.point-2016/02/16-09:19:26 
15,19940802,1994.5851,-300.7,335.6,-4.2,rrr,3.0,3.5,11.1,0.2485,Southern_California.19940802.stacov.point-2016/02/16-09:19:27 
16,19940803,1994.5878,-303.7,334.3,-11.9,rrr,3.2,3.9,12.1,0.2637,Southern_California.19940803.stacov.point-2016/02/16-09:19:27 
17,19940804,1994.5905,-303.1,342.0,1.6,rrr,3.2,4.1,12.8,0.2182,Southern_California.19940804.stacov.point-2016/02/16-09:19:27 
18,19940805,1994.5933,-303.7,333.8,12.0,rrr,3.4,4.3,13.9,0.2344,Southern_California.19940805.stacov.point-2016/02/16-09:19:27 
19,19940806,1994.596,-308.1,334.1,7.1,rrr,3.3,4.0,13.0,0.216,Southern_California.19940806.stacov.point-2016/02/16-09:19:27 
20,19940807,1994.5987,-305.9,330.1,-2.1,rrr,3.2,4.1,13.3,0.186,Southern_California.19940807.stacov.point-2016/02/16-09:19:28 
21,19940808,1994.6015,-305.1,332.1,3.2,rrr,3.3,4.0,13.0,0.2032,Southern_California.19940808.stacov.point-2016/02/16-09:19:28 
22,19940809,1994.6042,-311.1,329.4,7.1,rrr,3.3,4.2,13.3,0.2513,Southern_California.19940809.stacov.point-2016/02/16-09:19:28 
23,19940810,1994.607,-305.5,333.0,6.0,rrr,3.2,4.0,13.0,0.185,Southern_California.19940810.stacov.point-2016/02/16-09:19:28 
24,19940811,1994.6097,-312.9,329.0,13.4,rrr,3.1,4.1,12.8,0.212,Southern_California.19940811.stacov.point-2016/02/16-09:19:28 
