DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
19981230,1998.9959,-281.0,282.3,-7.9,rrr,2.5,3.0,8.7,-0.0103,Southern_California.19981230.stacov.point-2016/02/16-09:26:46 
19981231,1998.9987,-282.5,282.3,-4.1,rrr,2.7,3.0,9.1,-0.0452,Southern_California.19981231.stacov.point-2016/02/16-09:26:46 
19990101,1999.0014,-281.5,282.8,-5.6,rrr,2.7,3.1,9.3,-0.0873,Southern_California.19990101.stacov.point-2016/02/16-09:26:47 
19990102,1999.0042,-280.4,282.2,-6.2,rrr,2.7,3.0,9.1,-0.0398,Southern_California.19990102.stacov.point-2016/02/16-09:26:47 
19990103,1999.0069,-280.0,282.8,-4.6,rrr,2.6,3.1,8.9,-0.0195,Southern_California.19990103.stacov.point-2016/02/16-09:26:47 
19990104,1999.0096,-280.8,281.4,-10.9,rrr,2.6,2.9,8.6,-0.05,Southern_California.19990104.stacov.point-2016/02/16-09:26:48 
19990105,1999.0124,-282.1,280.2,-3.7,rrr,2.6,3.0,8.9,-0.0272,Southern_California.19990105.stacov.point-2016/02/16-09:26:48 
19990106,1999.0151,-279.3,281.0,-9.7,rrr,2.5,3.0,8.7,-0.0276,Southern_California.19990106.stacov.point-2016/02/16-09:26:48 
19990107,1999.0178,-281.3,282.2,-7.5,rrr,2.5,2.9,8.6,-0.0438,Southern_California.19990107.stacov.point-2016/02/16-09:26:49 
19990108,1999.0206,-282.6,282.4,-5.0,rrr,2.5,2.9,8.6,-0.0635,Southern_California.19990108.stacov.point-2016/02/16-09:26:49 
19990109,1999.0233,-280.3,281.5,-10.5,rrr,2.6,2.9,8.8,-0.0901,Southern_California.19990109.stacov.point-2016/02/16-09:26:50 
19990110,1999.0261,-278.7,281.4,-8.2,rrr,2.6,2.9,8.8,-0.1094,Southern_California.19990110.stacov.point-2016/02/16-09:26:50 
19990111,1999.0288,-280.4,281.5,-2.8,rrr,2.6,3.1,9.1,-0.062,Southern_California.19990111.stacov.point-2016/02/16-09:26:50 
19990113,1999.0343,-279.3,282.7,-5.9,rrr,3.3,3.6,11.0,0.0135,Southern_California.19990113.stacov.point-2016/02/16-09:26:51 
19990114,1999.037,-280.5,283.1,-9.6,rrr,2.8,3.0,9.7,-0.1387,Southern_California.19990114.stacov.point-2016/02/16-09:26:51 
19990115,1999.0397,-280.4,282.5,-7.4,rrr,2.6,3.0,9.1,-0.0431,Southern_California.19990115.stacov.point-2016/02/16-09:26:52 
19990116,1999.0425,-281.5,281.2,-5.4,rrr,2.5,2.9,8.6,-0.0628,Southern_California.19990116.stacov.point-2016/02/16-09:26:52 
19990117,1999.0452,-280.3,280.8,-7.3,rrr,2.5,2.9,8.6,-0.0462,Southern_California.19990117.stacov.point-2016/02/16-09:26:52 
19990118,1999.048,-280.1,281.4,-4.9,rrr,2.6,2.9,8.6,-0.0496,Southern_California.19990118.stacov.point-2016/02/16-09:26:53 
19990119,1999.0507,-278.1,281.6,-7.6,rrr,2.6,2.9,8.6,-0.062,Southern_California.19990119.stacov.point-2016/02/16-09:26:53 
19990120,1999.0534,-280.0,280.7,-6.5,rrr,2.6,2.9,8.8,-0.0873,Southern_California.19990120.stacov.point-2016/02/16-09:26:54 
19990121,1999.0562,-280.7,280.5,-4.2,rrr,2.7,2.9,8.9,-0.0923,Southern_California.19990121.stacov.point-2016/02/16-09:26:54 
19990122,1999.0589,-277.4,279.6,-7.8,rrr,2.6,3.0,8.9,-0.0827,Southern_California.19990122.stacov.point-2016/02/16-09:26:54 
19990123,1999.0617,-279.3,281.6,-7.2,rrr,2.7,2.9,8.7,-0.0689,Southern_California.19990123.stacov.point-2016/02/16-09:26:55 
19990124,1999.0644,-276.4,281.3,-7.7,rrr,2.5,2.9,8.6,-0.0483,Southern_California.19990124.stacov.point-2016/02/16-09:26:55 
19990125,1999.0671,-278.4,282.8,-8.2,rrr,2.6,2.9,8.8,-0.0793,Southern_California.19990125.stacov.point-2016/02/16-09:26:55 
19990126,1999.0699,-279.7,280.5,-3.9,rrr,2.7,3.0,9.1,-0.0326,Southern_California.19990126.stacov.point-2016/02/16-09:26:56 
19990127,1999.0726,-280.7,280.3,-14.6,rrr,2.7,3.1,9.1,-0.04,Southern_California.19990127.stacov.point-2016/02/16-09:26:56 
19990128,1999.0753,-280.6,280.2,-0.9,rrr,2.5,2.9,8.6,-0.0405,Southern_California.19990128.stacov.point-2016/02/16-09:26:57 
19990129,1999.0781,-278.1,281.1,-4.5,rrr,2.7,3.1,9.0,-0.0555,Southern_California.19990129.stacov.point-2016/02/16-09:26:57 
19990130,1999.0808,-276.5,280.4,2.2,rrr,2.7,3.0,9.1,-0.0202,Southern_California.19990130.stacov.point-2016/02/16-09:26:57 
19990131,1999.0836,-278.5,280.0,-1.5,rrr,2.7,3.0,9.3,-0.0875,Southern_California.19990131.stacov.point-2016/02/16-09:26:58 
19990201,1999.0863,-279.4,280.6,-1.8,rrr,2.6,3.0,8.7,-0.0102,Southern_California.19990201.stacov.point-2016/02/16-09:26:58 
19990202,1999.089,-279.8,280.5,-1.7,rrr,2.6,3.0,9.1,-0.0294,Southern_California.19990202.stacov.point-2016/02/16-09:26:59 
19990203,1999.0918,-279.3,279.6,-3.1,rrr,2.5,2.9,8.6,-0.0721,Southern_California.19990203.stacov.point-2016/02/16-09:26:59 
19990204,1999.0945,-281.4,280.2,-6.3,rrr,2.7,3.0,9.1,-0.0484,Southern_California.19990204.stacov.point-2016/02/16-09:26:59 
19990205,1999.0972,-279.9,277.3,-7.3,rrr,2.6,3.0,9.1,-0.0159,Southern_California.19990205.stacov.point-2016/02/16-09:27:00 
19990206,1999.1,-279.8,277.5,-11.4,rrr,2.5,3.0,8.7,-0.0058,Southern_California.19990206.stacov.point-2016/02/16-09:27:00 
19990207,1999.1027,-279.3,277.1,-7.6,rrr,2.6,3.0,8.9,-0.0313,Southern_California.19990207.stacov.point-2016/02/16-09:27:00 
19990208,1999.1055,-280.0,279.2,-1.7,rrr,2.5,2.8,8.6,-0.0419,Southern_California.19990208.stacov.point-2016/02/16-09:27:01 
19990209,1999.1082,-277.2,277.8,-3.3,rrr,2.6,3.0,9.1,-0.0305,Southern_California.19990209.stacov.point-2016/02/16-09:27:01 
19990210,1999.1109,-277.7,277.4,-4.6,rrr,2.6,3.0,8.9,-0.0293,Southern_California.19990210.stacov.point-2016/02/16-09:27:02 
19990211,1999.1137,-275.8,280.1,-5.7,rrr,2.7,3.0,9.1,-0.037,Southern_California.19990211.stacov.point-2016/02/16-09:27:02 
19990212,1999.1164,-276.7,279.5,-7.3,rrr,2.7,3.1,9.3,-0.0407,Southern_California.19990212.stacov.point-2016/02/16-09:27:02 
19990213,1999.1191,-273.3,278.8,-6.2,rrr,2.6,3.0,9.1,-0.0081,Southern_California.19990213.stacov.point-2016/02/16-09:27:03 
19990214,1999.1219,-279.8,280.6,-3.5,rrr,2.6,3.0,8.9,-0.0558,Southern_California.19990214.stacov.point-2016/02/16-09:27:03 
19990215,1999.1246,-284.3,278.0,-5.5,rrr,2.7,3.2,9.8,-0.0684,Southern_California.19990215.stacov.point-2016/02/16-09:27:03 
19990216,1999.1274,-296.9,275.1,-5.4,rrr,2.7,3.4,10.7,-0.0243,Southern_California.19990216.stacov.point-2016/02/16-09:27:04 
19990217,1999.1301,-285.0,275.8,-8.3,rrr,2.6,3.2,9.4,-0.0386,Southern_California.19990217.stacov.point-2016/02/16-09:27:04 
19990218,1999.1328,-304.0,271.8,8.9,rrr,2.6,3.3,10.1,0.0811,Southern_California.19990218.stacov.point-2016/02/16-09:27:05 
19990219,1999.1356,-296.9,274.3,-1.9,rrr,2.7,3.3,10.1,-0.0693,Southern_California.19990219.stacov.point-2016/02/16-09:27:05 
19990220,1999.1383,-292.3,275.2,4.8,rrr,2.7,3.3,9.9,-0.0073,Southern_California.19990220.stacov.point-2016/02/16-09:27:05 
19990221,1999.141,-296.0,269.6,7.8,rrr,2.6,3.3,10.1,0.0176,Southern_California.19990221.stacov.point-2016/02/16-09:27:06 
19990222,1999.1438,-303.5,271.8,9.4,rrr,2.7,3.3,10.3,0.024,Southern_California.19990222.stacov.point-2016/02/16-09:27:06 
19990223,1999.1465,-294.5,273.0,3.6,rrr,2.6,3.4,10.1,0.0008,Southern_California.19990223.stacov.point-2016/02/16-09:27:07 
