,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20140702,2014.5006,-21.7,36.6,40.6,rrr,2.3,2.5,8.0,0.0698,Southern_California.20140702.stacov.point-2016/02/16-12:12:26 
1,20140704,2014.5061,-20.8,36.8,35.7,rrr,2.4,2.6,8.1,0.0503,Southern_California.20140704.stacov.point-2016/02/16-12:12:29 
2,20140705,2014.5088,-22.3,36.5,44.7,rrr,2.4,2.7,8.5,0.0844,Southern_California.20140705.stacov.point-2016/02/16-12:12:31 
3,20140706,2014.5116,-22.3,35.4,31.0,rrr,2.3,2.6,8.0,0.082,Southern_California.20140706.stacov.point-2016/02/16-12:12:33 
4,20140707,2014.5143,-20.3,38.8,41.3,rrr,2.4,2.6,8.0,0.0573,Southern_California.20140707.stacov.point-2016/02/16-12:12:34 
5,20140708,2014.517,-20.3,37.8,48.5,rrr,2.4,2.6,8.1,0.0613,Southern_California.20140708.stacov.point-2016/02/16-12:12:36 
6,20140709,2014.5198,-21.7,39.8,39.5,rrr,2.5,2.7,8.7,0.0733,Southern_California.20140709.stacov.point-2016/02/16-12:12:37 
7,20140710,2014.5225,-22.9,36.0,43.0,rrr,2.4,2.8,8.5,0.0888,Southern_California.20140710.stacov.point-2016/02/16-12:12:39 
8,20140711,2014.5252,-20.5,36.7,40.8,rrr,2.3,2.6,8.0,0.0616,Southern_California.20140711.stacov.point-2016/02/16-12:12:40 
9,20140712,2014.528,-22.1,36.5,33.8,rrr,2.4,2.6,8.0,0.0744,Southern_California.20140712.stacov.point-2016/02/16-12:12:42 
10,20140713,2014.5307,-21.5,36.2,34.8,rrr,2.4,2.8,8.1,0.1318,Southern_California.20140713.stacov.point-2016/02/16-12:12:43 
11,20140714,2014.5335,-20.9,36.4,35.5,rrr,2.3,2.6,8.0,0.088,Southern_California.20140714.stacov.point-2016/02/16-12:12:45 
12,20140715,2014.5362,-23.1,34.6,44.2,rrr,2.4,2.7,8.5,0.1236,Southern_California.20140715.stacov.point-2016/02/16-12:12:47 
13,20140716,2014.5389,-22.3,35.7,44.9,rrr,2.4,2.6,8.0,0.0858,Southern_California.20140716.stacov.point-2016/02/16-12:12:48 
14,20140717,2014.5417,-23.3,37.1,41.8,rrr,2.4,2.5,8.0,0.0961,Southern_California.20140717.stacov.point-2016/02/16-12:12:50 
15,20140718,2014.5444,-21.8,37.2,43.6,rrr,2.4,2.6,8.0,0.0774,Southern_California.20140718.stacov.point-2016/02/16-12:12:51 
16,20140719,2014.5471,-24.1,35.4,39.3,rrr,2.3,2.6,8.0,0.087,Southern_California.20140719.stacov.point-2016/02/16-12:12:53 
17,20140720,2014.5499,-21.9,37.6,49.2,rrr,2.3,2.6,8.0,0.099,Southern_California.20140720.stacov.point-2016/02/16-12:12:54 
18,20140721,2014.5526,-21.3,38.3,42.0,rrr,2.3,2.6,8.0,0.0779,Southern_California.20140721.stacov.point-2016/02/16-12:12:56 
19,20140722,2014.5554,-22.3,36.9,43.2,rrr,2.3,2.6,8.0,0.0773,Southern_California.20140722.stacov.point-2016/02/16-12:12:58 
20,20140723,2014.5581,-23.4,36.7,33.7,rrr,2.4,2.6,8.1,0.0843,Southern_California.20140723.stacov.point-2016/02/16-12:12:59 
21,20140724,2014.5608,-22.8,35.8,44.1,rrr,2.4,2.6,8.0,0.0895,Southern_California.20140724.stacov.point-2016/02/16-12:13:01 
22,20140725,2014.5636,-21.9,34.8,40.5,rrr,2.4,2.7,8.5,0.0892,Southern_California.20140725.stacov.point-2016/02/16-12:13:02 
