,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20000831,2000.666,-266.8,260.6,10.6,rrr,2.7,3.0,9.3,-0.0289,Southern_California.20000831.stacov.point-2016/02/16-09:32:08 
1,20000901,2000.6687,-267.2,261.3,17.9,rrr,2.7,2.9,9.3,-0.0056,Southern_California.20000901.stacov.point-2016/02/16-09:32:08 
2,20000902,2000.6714,-268.1,261.3,12.6,rrr,2.7,3.0,9.1,-0.0283,Southern_California.20000902.stacov.point-2016/02/16-09:32:09 
3,20000903,2000.6742,-266.9,265.7,13.6,rrr,2.5,2.8,8.6,-0.0111,Southern_California.20000903.stacov.point-2016/02/16-09:32:10 
4,20000904,2000.6769,-266.5,264.1,16.4,rrr,2.7,3.0,9.3,-0.0378,Southern_California.20000904.stacov.point-2016/02/16-09:32:10 
5,20000905,2000.6796,-266.3,263.2,16.3,rrr,2.6,3.0,8.9,0.0034,Southern_California.20000905.stacov.point-2016/02/16-09:32:11 
6,20000906,2000.6824,-264.5,262.9,13.0,rrr,2.8,3.1,9.4,0.0316,Southern_California.20000906.stacov.point-2016/02/16-09:32:12 
7,20000907,2000.6851,-265.2,259.8,11.9,rrr,2.7,3.1,9.6,0.0186,Southern_California.20000907.stacov.point-2016/02/16-09:32:12 
8,20000908,2000.6879,-265.4,263.6,10.6,rrr,2.8,3.0,9.6,0.0098,Southern_California.20000908.stacov.point-2016/02/16-09:32:13 
9,20000909,2000.6906,-265.7,265.1,10.9,rrr,2.9,3.0,9.8,0.0392,Southern_California.20000909.stacov.point-2016/02/16-09:32:14 
10,20000910,2000.6933,-265.9,264.4,15.7,rrr,2.8,3.0,9.6,0.056,Southern_California.20000910.stacov.point-2016/02/16-09:32:14 
11,20000911,2000.6961,-266.7,262.6,10.6,rrr,2.7,2.9,9.1,0.0221,Southern_California.20000911.stacov.point-2016/02/16-09:32:15 
12,20000912,2000.6988,-265.0,264.2,17.9,rrr,2.7,2.9,9.3,-0.0108,Southern_California.20000912.stacov.point-2016/02/16-09:32:16 
13,20000913,2000.7015,-261.6,265.3,28.3,rrr,4.7,5.0,15.9,0.0573,Southern_California.20000913.stacov.point-2016/02/16-09:32:16 
14,20000914,2000.7043,-267.6,264.8,30.6,rrr,2.8,3.1,9.8,0.0367,Southern_California.20000914.stacov.point-2016/02/16-09:32:17 
15,20000915,2000.707,-265.8,261.9,16.2,rrr,2.6,2.9,9.1,0.0181,Southern_California.20000915.stacov.point-2016/02/16-09:32:18 
16,20000916,2000.7098,-266.6,262.5,18.2,rrr,2.6,3.0,9.1,0.0032,Southern_California.20000916.stacov.point-2016/02/16-09:32:18 
17,20000917,2000.7125,-266.2,261.7,15.8,rrr,2.5,2.9,8.9,-0.0026,Southern_California.20000917.stacov.point-2016/02/16-09:32:19 
18,20000918,2000.7152,-266.7,262.1,20.4,rrr,2.6,2.9,8.9,0.0135,Southern_California.20000918.stacov.point-2016/02/16-09:32:20 
19,20000919,2000.718,-266.7,262.6,17.2,rrr,2.6,2.9,8.9,-0.002,Southern_California.20000919.stacov.point-2016/02/16-09:32:20 
20,20000920,2000.7207,-264.3,263.0,17.2,rrr,2.6,3.0,8.9,0.012,Southern_California.20000920.stacov.point-2016/02/16-09:32:21 
21,20000921,2000.7234,-263.8,264.7,24.4,rrr,2.5,3.0,8.7,0.0395,Southern_California.20000921.stacov.point-2016/02/16-09:32:21 
22,20000922,2000.7262,-264.7,263.9,17.8,rrr,3.7,4.4,13.1,-0.0093,Southern_California.20000922.stacov.point-2016/02/16-09:32:22 
23,20000924,2000.7317,-264.3,264.7,14.1,rrr,4.1,4.7,13.8,0.0965,Southern_California.20000924.stacov.point-2016/02/16-09:32:23 
24,20000925,2000.7344,-264.3,262.7,19.1,rrr,2.5,3.0,8.9,0.0207,Southern_California.20000925.stacov.point-2016/02/16-09:32:24 
25,20000926,2000.7371,-264.1,264.5,20.9,rrr,2.6,3.0,9.2,0.0469,Southern_California.20000926.stacov.point-2016/02/16-09:32:25 
26,20000927,2000.7399,-263.9,264.7,26.7,rrr,2.6,2.9,9.1,0.0392,Southern_California.20000927.stacov.point-2016/02/16-09:32:25 
27,20000928,2000.7426,-265.5,263.6,10.9,rrr,5.6,6.4,19.7,0.0914,Southern_California.20000928.stacov.point-2016/02/16-09:32:26 
28,20000929,2000.7454,-266.6,262.2,16.4,rrr,3.4,4.1,12.1,0.0202,Southern_California.20000929.stacov.point-2016/02/16-09:32:27 
29,20000930,2000.7481,-265.3,261.5,9.1,rrr,2.5,3.0,8.9,0.0107,Southern_California.20000930.stacov.point-2016/02/16-09:32:27 
30,20001001,2000.7508,-264.3,262.8,19.6,rrr,2.6,2.9,9.1,0.039,Southern_California.20001001.stacov.point-2016/02/16-09:32:28 
31,20001002,2000.7536,-265.0,263.4,14.0,rrr,2.5,2.9,8.9,0.0316,Southern_California.20001002.stacov.point-2016/02/16-09:32:29 
32,20001003,2000.7563,-263.7,262.5,15.2,rrr,2.6,2.9,9.1,0.0271,Southern_California.20001003.stacov.point-2016/02/16-09:32:29 
33,20001004,2000.759,-263.7,262.2,19.8,rrr,2.7,2.9,9.3,0.0003,Southern_California.20001004.stacov.point-2016/02/16-09:32:30 
34,20001005,2000.7618,-263.6,262.2,21.8,rrr,2.6,3.0,8.9,0.0042,Southern_California.20001005.stacov.point-2016/02/16-09:32:31 
35,20001006,2000.7645,-263.6,264.0,15.5,rrr,2.5,3.0,8.9,0.017,Southern_California.20001006.stacov.point-2016/02/16-09:32:31 
36,20001007,2000.7673,-264.1,264.7,17.2,rrr,2.5,2.9,8.7,0.0429,Southern_California.20001007.stacov.point-2016/02/16-09:32:32 
37,20001008,2000.77,-262.1,263.7,11.5,rrr,2.5,2.9,8.7,0.0468,Southern_California.20001008.stacov.point-2016/02/16-09:32:33 
38,20001009,2000.7727,-263.8,263.5,16.9,rrr,2.5,2.9,9.0,0.02,Southern_California.20001009.stacov.point-2016/02/16-09:32:33 
39,20001010,2000.7755,-263.6,261.8,19.2,rrr,2.7,3.0,9.2,0.0323,Southern_California.20001010.stacov.point-2016/02/16-09:32:34 
40,20001011,2000.7782,-264.2,261.4,9.3,rrr,2.6,2.9,8.9,0.0051,Southern_California.20001011.stacov.point-2016/02/16-09:32:35 
41,20001012,2000.7809,-263.3,264.9,9.8,rrr,2.6,3.0,8.9,0.0301,Southern_California.20001012.stacov.point-2016/02/16-09:32:35 
42,20001013,2000.7837,-264.3,264.6,13.8,rrr,2.6,3.0,8.9,0.0116,Southern_California.20001013.stacov.point-2016/02/16-09:32:36 
43,20001014,2000.7864,-264.0,259.7,15.6,rrr,2.6,3.0,9.2,0.0398,Southern_California.20001014.stacov.point-2016/02/16-09:32:37 
44,20001015,2000.7892,-264.1,260.0,14.5,rrr,2.5,2.9,8.7,0.0426,Southern_California.20001015.stacov.point-2016/02/16-09:32:38 
45,20001016,2000.7919,-263.7,261.9,17.6,rrr,2.6,2.9,8.9,0.0283,Southern_California.20001016.stacov.point-2016/02/16-09:32:38 
46,20001017,2000.7946,-264.5,264.7,20.1,rrr,2.7,2.9,9.3,-0.0216,Southern_California.20001017.stacov.point-2016/02/16-09:32:39 
47,20001018,2000.7974,-262.5,262.6,20.0,rrr,2.7,3.1,9.4,0.0408,Southern_California.20001018.stacov.point-2016/02/16-09:32:40 
48,20001019,2000.8001,-261.5,263.1,8.5,rrr,2.6,3.0,9.3,-0.0121,Southern_California.20001019.stacov.point-2016/02/16-09:32:40 
49,20001020,2000.8028,-262.2,261.3,16.3,rrr,2.6,2.9,9.0,0.005,Southern_California.20001020.stacov.point-2016/02/16-09:32:41 
50,20001021,2000.8056,-261.9,260.6,17.6,rrr,2.5,2.9,8.7,0.0564,Southern_California.20001021.stacov.point-2016/02/16-09:32:42 
51,20001022,2000.8083,-261.5,263.1,18.1,rrr,2.6,2.9,8.9,0.0202,Southern_California.20001022.stacov.point-2016/02/16-09:32:42 
52,20001023,2000.8111,-263.1,260.3,20.9,rrr,2.5,2.9,8.7,0.0492,Southern_California.20001023.stacov.point-2016/02/16-09:32:43 
53,20001024,2000.8138,-263.2,262.3,11.4,rrr,2.5,2.9,8.7,0.0498,Southern_California.20001024.stacov.point-2016/02/16-09:32:44 
54,20001025,2000.8165,-262.2,262.6,15.9,rrr,2.6,2.9,9.1,0.0036,Southern_California.20001025.stacov.point-2016/02/16-09:32:44 
