DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20150811,2015.6095,-45.3,51.1,22.1,rrr,3.7,4.2,16.9,0.2595,Southern_California.20150811.stacov.point-2016/02/16-12:28:08 
20150814,2015.6177,-45.9,50.4,19.9,rrr,3.6,4.1,16.9,0.278,Southern_California.20150814.stacov.point-2016/02/16-12:28:12 
20150815,2015.6204,-44.6,51.7,16.8,rrr,3.7,4.2,16.9,0.2556,Southern_California.20150815.stacov.point-2016/02/16-12:28:14 
20150816,2015.6231,-41.1,61.1,32.6,rrr,3.6,4.1,17.1,0.2341,Southern_California.20150816.stacov.point-2016/02/16-12:28:15 
20150817,2015.6259,-43.9,49.7,26.0,rrr,3.6,4.1,16.9,0.2563,Southern_California.20150817.stacov.point-2016/02/16-12:28:17 
20150818,2015.6286,-42.3,50.6,18.4,rrr,3.6,4.0,16.9,0.2624,Southern_California.20150818.stacov.point-2016/02/16-12:28:18 
20150819,2015.6314,-43.3,47.3,23.4,rrr,3.7,4.1,17.1,0.2296,Southern_California.20150819.stacov.point-2016/02/16-12:28:19 
20150820,2015.6341,-44.2,48.3,17.4,rrr,3.6,4.2,16.9,0.2696,Southern_California.20150820.stacov.point-2016/02/16-12:28:21 
20150821,2015.6368,-45.0,50.9,12.7,rrr,3.6,4.1,16.9,0.2575,Southern_California.20150821.stacov.point-2016/02/16-12:28:22 
20150822,2015.6396,-42.7,51.8,11.4,rrr,3.7,4.2,16.7,0.2566,Southern_California.20150822.stacov.point-2016/02/16-12:28:24 
20150823,2015.6423,-44.5,47.7,21.8,rrr,3.8,4.2,17.2,0.2861,Southern_California.20150823.stacov.point-2016/02/16-12:28:25 
20150824,2015.6451,-45.2,49.8,18.8,rrr,3.7,4.1,16.7,0.2779,Southern_California.20150824.stacov.point-2016/02/16-12:28:27 
20150825,2015.6478,-43.9,53.2,4.2,rrr,3.8,4.1,17.8,0.2617,Southern_California.20150825.stacov.point-2016/02/16-12:28:28 
20150826,2015.6505,-42.2,52.4,15.1,rrr,3.7,4.1,16.7,0.2743,Southern_California.20150826.stacov.point-2016/02/16-12:28:30 
20150827,2015.6533,-42.2,51.3,14.2,rrr,3.6,4.1,16.9,0.2634,Southern_California.20150827.stacov.point-2016/02/16-12:28:31 
20150828,2015.656,-43.8,50.6,22.1,rrr,3.6,4.0,16.4,0.2504,Southern_California.20150828.stacov.point-2016/02/16-12:28:33 
20150829,2015.6587,-44.6,49.5,20.3,rrr,3.7,4.1,17.1,0.2387,Southern_California.20150829.stacov.point-2016/02/16-12:28:34 
20150830,2015.6615,-42.0,49.6,21.4,rrr,3.6,4.2,16.9,0.2802,Southern_California.20150830.stacov.point-2016/02/16-12:28:36 
20150831,2015.6642,-42.9,52.5,8.5,rrr,3.6,4.2,16.9,0.2684,Southern_California.20150831.stacov.point-2016/02/16-12:28:37 
20150901,2015.667,-42.6,52.4,19.3,rrr,3.7,4.1,17.1,0.2442,Southern_California.20150901.stacov.point-2016/02/16-12:28:38 
20150902,2015.6697,-43.0,51.6,21.3,rrr,3.8,4.2,17.1,0.2444,Southern_California.20150902.stacov.point-2016/02/16-12:28:40 
20150903,2015.6724,-43.5,49.2,25.5,rrr,3.7,4.1,17.5,0.2108,Southern_California.20150903.stacov.point-2016/02/16-12:28:41 
20150904,2015.6752,-41.9,50.3,22.0,rrr,3.7,4.3,17.4,0.2568,Southern_California.20150904.stacov.point-2016/02/16-12:28:43 
