,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19991009,1999.7707,-329.2,304.1,-13.6,rrr,2.9,3.5,11.6,-0.0954,Southern_California.19991009.stacov.point-2016/02/16-09:28:44 
1,19991010,1999.7734,-328.2,302.6,-12.1,rrr,2.8,3.5,11.2,-0.1074,Southern_California.19991010.stacov.point-2016/02/16-09:28:45 
2,19991011,1999.7761,-327.8,301.8,-10.3,rrr,2.6,3.2,10.2,-0.1125,Southern_California.19991011.stacov.point-2016/02/16-09:28:45 
3,19991012,1999.7789,-328.2,302.1,-17.9,rrr,3.0,3.7,12.0,-0.0147,Southern_California.19991012.stacov.point-2016/02/16-09:28:46 
4,19991013,1999.7816,-330.3,301.0,-5.2,rrr,2.7,3.4,10.5,-0.0935,Southern_California.19991013.stacov.point-2016/02/16-09:28:46 
5,19991014,1999.7843,-328.5,302.7,-14.0,rrr,2.7,3.5,10.9,-0.1197,Southern_California.19991014.stacov.point-2016/02/16-09:28:47 
6,19991015,1999.7871,-326.3,300.2,-4.5,rrr,2.6,3.2,10.2,-0.1102,Southern_California.19991015.stacov.point-2016/02/16-09:28:47 
7,19991016,1999.7898,-328.6,299.4,-9.3,rrr,2.6,3.2,10.0,-0.1383,Southern_California.19991016.stacov.point-2016/02/16-09:28:48 
8,19991017,1999.7926,-327.6,300.4,-8.5,rrr,2.6,3.2,10.2,-0.1119,Southern_California.19991017.stacov.point-2016/02/16-09:28:48 
9,19991018,1999.7953,-329.1,300.7,-2.8,rrr,2.8,3.4,11.2,-0.0841,Southern_California.19991018.stacov.point-2016/02/16-09:28:49 
10,19991019,1999.798,-330.1,301.8,-7.4,rrr,3.1,3.8,12.4,-0.1158,Southern_California.19991019.stacov.point-2016/02/16-09:28:49 
11,19991020,1999.8008,-329.8,301.4,-11.7,rrr,3.2,3.9,12.9,-0.0754,Southern_California.19991020.stacov.point-2016/02/16-09:28:50 
12,19991021,1999.8035,-328.4,298.9,-11.0,rrr,2.8,3.4,11.1,-0.1436,Southern_California.19991021.stacov.point-2016/02/16-09:28:50 
13,19991022,1999.8062,-330.9,300.3,-13.1,rrr,2.7,3.2,10.5,-0.1331,Southern_California.19991022.stacov.point-2016/02/16-09:28:51 
14,19991023,1999.809,-329.0,299.9,-19.5,rrr,2.8,3.4,11.0,-0.0578,Southern_California.19991023.stacov.point-2016/02/16-09:28:52 
15,19991024,1999.8117,-329.1,297.2,-14.4,rrr,3.0,3.8,11.8,-0.1227,Southern_California.19991024.stacov.point-2016/02/16-09:28:52 
16,19991025,1999.8145,-327.8,298.3,-25.8,rrr,2.8,3.5,11.0,-0.0841,Southern_California.19991025.stacov.point-2016/02/16-09:28:53 
17,19991026,1999.8172,-327.3,300.8,-17.7,rrr,2.6,3.3,10.5,-0.0891,Southern_California.19991026.stacov.point-2016/02/16-09:28:53 
18,19991027,1999.8199,-330.1,298.4,-11.9,rrr,2.7,3.3,10.5,-0.0854,Southern_California.19991027.stacov.point-2016/02/16-09:28:54 
19,19991028,1999.8227,-325.0,295.1,-13.5,rrr,2.8,3.5,11.2,-0.1046,Southern_California.19991028.stacov.point-2016/02/16-09:28:54 
20,19991029,1999.8254,-326.7,297.3,-16.7,rrr,3.0,3.8,11.4,-0.068,Southern_California.19991029.stacov.point-2016/02/16-09:28:55 
21,19991030,1999.8282,-326.6,300.3,-8.0,rrr,3.5,4.3,13.9,-0.0319,Southern_California.19991030.stacov.point-2016/02/16-09:28:55 
22,19991031,1999.831,-328.1,298.5,-9.8,rrr,3.5,4.2,13.5,-0.0873,Southern_California.19991031.stacov.point-2016/02/16-09:28:56 
23,19991101,1999.8337,-327.6,300.3,-14.9,rrr,3.0,3.8,12.0,-0.0564,Southern_California.19991101.stacov.point-2016/02/16-09:28:57 
24,19991102,1999.8365,-326.7,298.8,-12.2,rrr,2.8,3.5,11.3,-0.0494,Southern_California.19991102.stacov.point-2016/02/16-09:28:57 
25,19991103,1999.8392,-326.4,298.8,-12.8,rrr,2.9,3.6,11.6,-0.0777,Southern_California.19991103.stacov.point-2016/02/16-09:28:58 
26,19991104,1999.842,-326.7,301.2,-8.1,rrr,2.8,3.4,10.9,-0.0909,Southern_California.19991104.stacov.point-2016/02/16-09:28:58 
27,19991105,1999.8447,-326.5,298.9,-15.4,rrr,2.8,3.5,11.1,-0.157,Southern_California.19991105.stacov.point-2016/02/16-09:28:59 
