,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20011220,2001.9693,-167.2,127.0,-16.1,rrr,2.6,3.0,9.2,-0.0077,Southern_California.20011220.stacov.point-2016/02/16-09:38:02 
1,20011221,2001.972,-167.7,128.1,-27.9,rrr,2.5,3.0,9.0,-0.0408,Southern_California.20011221.stacov.point-2016/02/16-09:38:03 
2,20011222,2001.9748,-169.2,126.4,-19.2,rrr,2.5,2.9,8.5,-0.0154,Southern_California.20011222.stacov.point-2016/02/16-09:38:04 
3,20011223,2001.9775,-168.8,128.7,-17.7,rrr,2.5,3.0,8.8,0.0055,Southern_California.20011223.stacov.point-2016/02/16-09:38:04 
4,20011224,2001.9803,-169.4,125.7,-28.7,rrr,2.5,3.0,8.8,-0.0115,Southern_California.20011224.stacov.point-2016/02/16-09:38:05 
5,20011225,2001.983,-170.3,128.1,-20.4,rrr,2.5,3.0,8.8,0.0026,Southern_California.20011225.stacov.point-2016/02/16-09:38:06 
6,20011226,2001.9857,-169.6,126.2,-22.4,rrr,2.4,2.8,8.7,-0.0318,Southern_California.20011226.stacov.point-2016/02/16-09:38:07 
7,20011227,2001.9885,-169.6,127.8,-12.9,rrr,2.5,3.0,8.8,-0.0099,Southern_California.20011227.stacov.point-2016/02/16-09:38:07 
8,20011228,2001.9912,-171.2,128.2,-8.4,rrr,2.5,3.0,8.8,0.006,Southern_California.20011228.stacov.point-2016/02/16-09:38:08 
9,20011229,2001.994,-173.5,117.3,-19.6,rrr,2.6,3.0,9.0,-0.0502,Southern_California.20011229.stacov.point-2016/02/16-09:38:09 
10,20011230,2001.9967,-172.4,125.1,-14.2,rrr,2.6,3.0,9.4,-0.0455,Southern_California.20011230.stacov.point-2016/02/16-09:38:10 
11,20011231,2001.9994,-170.7,130.2,-12.1,rrr,2.6,3.0,9.4,-0.0567,Southern_California.20011231.stacov.point-2016/02/16-09:38:10 
12,20020101,2002.0022,-172.1,127.1,-16.7,rrr,2.5,2.9,8.8,0.018,Southern_California.20020101.stacov.point-2016/02/16-09:38:11 
