,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20141219,2014.9662,-80.2,83.3,0.4,rrr,2.5,3.1,10.9,0.0151,Southern_California.20141219.stacov.point-2016/02/16-12:18:39 
1,20141220,2014.9689,-78.5,84.2,-0.9,rrr,2.4,3.0,10.8,-0.0075,Southern_California.20141220.stacov.point-2016/02/16-12:18:43 
2,20141222,2014.9744,-80.0,83.0,-0.1,rrr,2.5,3.0,10.9,0.0227,Southern_California.20141222.stacov.point-2016/02/16-12:18:48 
3,20141223,2014.9771,-79.0,83.7,-2.5,rrr,2.5,3.0,10.9,0.0175,Southern_California.20141223.stacov.point-2016/02/16-12:18:53 
4,20141224,2014.9799,-80.9,82.8,-1.6,rrr,2.5,3.0,10.9,0.0339,Southern_California.20141224.stacov.point-2016/02/16-12:18:55 
5,20141227,2014.9881,-78.4,83.9,5.1,rrr,2.4,2.9,10.5,0.0228,Southern_California.20141227.stacov.point-2016/02/16-12:19:03 
6,20141230,2014.9963,-78.3,79.5,9.8,rrr,2.4,3.0,10.9,0.0318,Southern_California.20141230.stacov.point-2016/02/16-12:19:19 
7,20150102,2015.0045,-78.3,81.7,-1.5,rrr,2.4,3.0,10.5,0.0239,Southern_California.20150102.stacov.point-2016/02/16-12:19:25 
8,20150103,2015.0072,-78.7,82.0,2.9,rrr,2.4,3.0,10.5,0.0176,Southern_California.20150103.stacov.point-2016/02/16-12:19:26 
9,20150105,2015.0127,-79.2,82.4,-4.1,rrr,2.4,3.1,10.8,-0.0112,Southern_California.20150105.stacov.point-2016/02/16-12:19:35 
10,20150107,2015.0182,-78.3,83.2,-2.3,rrr,2.5,3.1,10.9,0.0086,Southern_California.20150107.stacov.point-2016/02/16-12:19:43 
11,20150112,2015.0319,-78.3,82.1,0.7,rrr,2.4,3.0,10.8,-0.007,Southern_California.20150112.stacov.point-2016/02/16-12:20:06 
12,20150114,2015.0373,-77.8,81.5,5.1,rrr,2.4,3.1,10.8,-0.0085,Southern_California.20150114.stacov.point-2016/02/16-12:20:11 
13,20150117,2015.0456,-76.8,81.2,0.8,rrr,2.5,3.0,10.9,0.0373,Southern_California.20150117.stacov.point-2016/02/16-12:20:20 
14,20150121,2015.0565,-80.0,80.1,-2.1,rrr,2.5,3.1,10.9,0.0258,Southern_California.20150121.stacov.point-2016/02/16-12:20:32 
15,20150125,2015.0675,-77.4,81.0,3.9,rrr,2.4,3.0,10.5,0.0145,Southern_California.20150125.stacov.point-2016/02/16-12:20:45 
