,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,20201207,2020.9348,-14.3,11.1,-7.8,rrr,2.4,2.9,8.2,-0.0359,Southern_California.20201207.stacov.point-2021/04/06-22:30:48 
1,20201208,2020.9375,-13.6,11.8,-6.1,rrr,2.5,2.9,8.3,-0.0302,Southern_California.20201208.stacov.point-2021/04/07-22:32:37 
2,20201209,2020.9403,-14.8,11.7,-5.1,rrr,2.5,2.9,8.3,-0.0368,Southern_California.20201209.stacov.point-2021/04/08-22:31:22 
3,20201210,2020.943,-13.1,11.4,0.6,rrr,2.4,2.8,8.3,-0.0318,Southern_California.20201210.stacov.point-2021/04/09-22:33:53 
4,20201211,2020.9458,-14.0,12.1,-0.5,rrr,2.4,2.9,8.2,-0.0384,Southern_California.20201211.stacov.point-2021/04/10-22:34:13 
5,20201212,2020.9485,-13.3,12.0,-1.7,rrr,2.4,2.9,8.2,-0.0459,Southern_California.20201212.stacov.point-2021/02/09-22:45:42 
6,20201213,2020.9512,-13.8,11.3,-1.3,rrr,2.4,2.9,8.2,-0.0275,Southern_California.20201213.stacov.point-2021/04/12-22:31:29 
7,20201214,2020.954,-12.6,12.0,1.1,rrr,2.4,2.9,8.3,-0.0392,Southern_California.20201214.stacov.point-2021/04/13-22:29:20 
8,20201215,2020.9567,-12.1,12.2,1.7,rrr,2.4,2.9,8.2,-0.0236,Southern_California.20201215.stacov.point-2021/04/14-22:28:46 
9,20201216,2020.9594,-11.6,11.7,-1.2,rrr,2.4,2.9,8.2,-0.0444,Southern_California.20201216.stacov.point-2021/04/15-22:31:53 
10,20201217,2020.9622,-12.6,11.7,-0.9,rrr,2.3,2.9,8.2,-0.0365,Southern_California.20201217.stacov.point-2021/04/16-22:30:22 
11,20201218,2020.9649,-12.7,12.2,-1.1,rrr,2.4,2.9,8.3,-0.0293,Southern_California.20201218.stacov.point-2021/04/17-22:31:03 
12,20201219,2020.9677,-10.9,12.5,-3.4,rrr,2.5,2.9,8.5,-0.0741,Southern_California.20201219.stacov.point-2021/04/18-22:28:17 
13,20201220,2020.9704,-13.4,11.8,-0.7,rrr,2.5,2.9,8.5,-0.0643,Southern_California.20201220.stacov.point-2021/04/19-22:30:10 
14,20201221,2020.9731,-11.1,11.3,-2.8,rrr,2.4,2.9,8.3,-0.0341,Southern_California.20201221.stacov.point-2021/04/20-22:30:56 
15,20201222,2020.9759,-11.2,11.6,-1.4,rrr,2.5,2.9,8.5,-0.0608,Southern_California.20201222.stacov.point-2021/04/21-22:30:49 
16,20201223,2020.9786,-11.6,11.2,-1.5,rrr,2.4,2.9,8.3,-0.0455,Southern_California.20201223.stacov.point-2021/04/22-22:31:41 
17,20201224,2020.9813,-10.5,10.1,-5.2,rrr,2.5,3.0,8.5,-0.063,Southern_California.20201224.stacov.point-2021/04/23-22:30:12 
18,20201225,2020.9841,-11.4,12.6,-2.3,rrr,2.5,2.9,8.5,-0.0734,Southern_California.20201225.stacov.point-2021/04/24-22:28:13 
19,20201226,2020.9868,-10.8,11.4,2.1,rrr,2.4,2.9,8.2,-0.032,Southern_California.20201226.stacov.point-2021/04/25-22:30:53 
20,20201227,2020.9896,-12.2,11.6,-2.1,rrr,2.4,2.9,8.2,-0.033,Southern_California.20201227.stacov.point-2021/04/26-22:30:31 
21,20201228,2020.9923,-10.0,12.3,0.5,rrr,2.4,2.8,8.3,-0.0268,Southern_California.20201228.stacov.point-2021/04/27-22:29:56 
22,20201229,2020.995,-10.8,9.8,-2.0,rrr,2.5,2.9,8.3,-0.0224,Southern_California.20201229.stacov.point-2021/04/28-22:27:36 
23,20201230,2020.9978,-10.2,10.6,1.0,rrr,2.4,2.9,8.2,-0.0299,Southern_California.20201230.stacov.point-2021/04/29-22:29:23 
24,20201231,2021.0005,-10.5,10.2,-2.6,rrr,2.4,2.8,8.3,-0.0152,Southern_California.20201231.stacov.point-2021/04/30-22:31:07 
25,20210103,2021.0087,-11.3,13.1,0.0,rrr,2.4,2.9,8.3,-0.0343,Southern_California.20210103.stacov.point-2021/05/03-22:29:37 
26,20210104,2021.0115,-10.7,11.0,-0.2,rrr,2.4,2.9,8.2,-0.0452,Southern_California.20210104.stacov.point-2021/05/04-22:29:37 
27,20210105,2021.0142,-10.9,11.1,-1.3,rrr,2.4,2.9,8.3,-0.0304,Southern_California.20210105.stacov.point-2021/05/05-22:30:58 
28,20210106,2021.0169,-10.8,10.9,-2.0,rrr,2.4,2.9,8.3,-0.0351,Southern_California.20210106.stacov.point-2021/05/06-22:34:08 
29,20210107,2021.0197,-10.3,11.0,0.0,rrr,2.5,2.9,8.3,-0.0319,Southern_California.20210107.stacov.point-2021/05/07-22:30:30 
30,20210108,2021.0224,-9.8,11.8,-1.1,rrr,2.4,2.9,8.2,-0.0273,Southern_California.20210108.stacov.point-2021/05/08-22:31:14 
31,20210109,2021.0252,-9.5,10.4,1.8,rrr,2.4,2.9,8.2,-0.0357,Southern_California.20210109.stacov.point-2021/05/09-22:31:13 
32,20210110,2021.0279,-8.8,11.5,-2.6,rrr,2.4,2.9,8.2,-0.0324,Southern_California.20210110.stacov.point-2021/03/10-22:47:42 
33,20210111,2021.0306,-8.5,10.4,-4.6,rrr,2.4,2.9,8.3,-0.0367,Southern_California.20210111.stacov.point-2021/03/11-22:46:11 
