Date lat long dep m 
1999-01-27 36.816 -115.989 5.0 4.8
1999-05-14 34.062 -116.366 1.9 4.9
1999-10-16 34.594 -116.271 0.0 7.1
1999-10-16 34.445 -116.264 0.3 4.8
1999-10-16 34.502 -116.203 6.0 5.0
1999-10-16 34.678 -116.290 15.3 5.8
1999-10-16 34.706 -116.341 1.6 4.7
1999-10-16 34.362 -116.148 0.1 4.8
1999-10-16 34.441 -116.252 2.0 5.4
1999-10-21 34.867 -116.393 4.0 5.0
1999-10-21 34.860 -116.404 0.4 5.0
1999-10-21 34.874 -116.391 1.0 5.0
1999-10-22 34.865 -116.409 0.9 5.0
2001-02-10 34.289 -116.946 9.1 4.7
2001-07-17 36.016 -117.874 3.0 5.2
2001-07-17 36.017 -117.882 0.4 4.9
2001-10-31 33.508 -116.514 15.2 5.0
2002-09-03 33.917 -117.776 12.9 4.8
2002-10-29 34.803 -116.266 4.6 4.8
2003-02-22 34.310 -116.848 1.2 5.0
2004-09-29 35.390 -118.624 3.5 5.0
2005-06-12 33.529 -116.573 14.2 5.2
2005-06-16 34.058 -117.011 11.6 4.9
2005-09-22 35.043 -119.014 11.0 4.7
2007-08-09 34.300 -118.620 7.6 4.7
2007-09-02 33.732 -117.477 12.6 4.7
2008-07-29 33.953 -117.761 14.7 5.4
2008-12-06 34.813 -116.419 7.3 5.1
2009-05-18 33.938 -118.336 13.9 4.7
2009-05-23 36.396 -117.838 1.1 4.7
