,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19940603,1994.4208,-389.0,362.4,-8.9,rrr,2.9,3.4,11.1,0.0078,Southern_California.19940603.stacov.point-2016/02/16-09:19:16 
1,19940604,1994.4235,-391.5,360.0,-12.0,rrr,2.9,3.4,11.1,-0.001,Southern_California.19940604.stacov.point-2016/02/16-09:19:16 
2,19940605,1994.4263,-391.7,359.6,-9.6,rrr,2.9,3.4,11.1,-0.0008,Southern_California.19940605.stacov.point-2016/02/16-09:19:16 
3,19940606,1994.429,-392.4,357.3,-14.2,rrr,2.9,3.4,11.0,-0.0119,Southern_California.19940606.stacov.point-2016/02/16-09:19:16 
4,19940607,1994.4317,-392.3,356.2,-13.6,rrr,3.0,3.6,11.4,0.02,Southern_California.19940607.stacov.point-2016/02/16-09:19:17 
5,19940608,1994.4345,-391.5,356.0,-15.1,rrr,2.9,3.5,11.2,0.044,Southern_California.19940608.stacov.point-2016/02/16-09:19:17 
6,19940609,1994.4372,-390.2,360.5,-17.2,rrr,2.9,3.4,11.1,0.0088,Southern_California.19940609.stacov.point-2016/02/16-09:19:17 
7,19940610,1994.4399,-393.0,361.1,-13.5,rrr,2.9,3.6,11.2,0.0523,Southern_California.19940610.stacov.point-2016/02/16-09:19:17 
8,19940611,1994.4427,-392.9,359.2,-20.0,rrr,2.9,3.6,11.2,0.042,Southern_California.19940611.stacov.point-2016/02/16-09:19:17 
9,19940612,1994.4454,-390.7,358.7,-17.6,rrr,2.9,3.4,11.1,-0.0086,Southern_California.19940612.stacov.point-2016/02/16-09:19:17 
10,19940613,1994.4482,-392.4,358.2,-20.9,rrr,2.9,3.6,11.2,0.0578,Southern_California.19940613.stacov.point-2016/02/16-09:19:18 
11,19940614,1994.4509,-389.5,359.1,-12.5,rrr,3.0,3.6,11.6,0.0129,Southern_California.19940614.stacov.point-2016/02/16-09:19:18 
12,19940615,1994.4536,-392.4,358.4,-13.4,rrr,3.0,3.6,11.4,0.0114,Southern_California.19940615.stacov.point-2016/02/16-09:19:18 
13,19940616,1994.4564,-389.6,360.3,-18.1,rrr,3.0,3.6,11.4,0.0277,Southern_California.19940616.stacov.point-2016/02/16-09:19:18 
14,19940617,1994.4591,-392.4,356.3,-15.9,rrr,2.9,3.6,11.2,0.0416,Southern_California.19940617.stacov.point-2016/02/16-09:19:18 
15,19940618,1994.4618,-392.2,356.3,-10.0,rrr,3.1,3.8,11.9,0.0294,Southern_California.19940618.stacov.point-2016/02/16-09:19:19 
16,19940619,1994.4646,-391.9,356.8,-13.7,rrr,3.0,3.7,11.4,0.0147,Southern_California.19940619.stacov.point-2016/02/16-09:19:19 
17,19940620,1994.4673,-391.7,356.1,-17.2,rrr,2.9,3.6,11.4,0.0108,Southern_California.19940620.stacov.point-2016/02/16-09:19:19 
18,19940621,1994.4701,-391.6,354.8,-13.2,rrr,2.9,3.6,11.4,0.0153,Southern_California.19940621.stacov.point-2016/02/16-09:19:19 
19,19940622,1994.4728,-389.6,359.3,-18.4,rrr,3.0,3.6,11.4,0.0039,Southern_California.19940622.stacov.point-2016/02/16-09:19:19 
20,19940623,1994.4755,-389.5,356.1,-21.3,rrr,2.9,3.5,11.2,0.0479,Southern_California.19940623.stacov.point-2016/02/16-09:19:19 
21,19940624,1994.4783,-390.4,358.1,-16.8,rrr,2.9,3.4,11.1,0.0001,Southern_California.19940624.stacov.point-2016/02/16-09:19:20 
22,19940625,1994.481,-389.7,356.8,-16.0,rrr,2.9,3.6,11.2,0.0395,Southern_California.19940625.stacov.point-2016/02/16-09:19:20 
23,19940626,1994.4838,-391.9,358.1,-16.7,rrr,3.0,3.6,11.6,0.0294,Southern_California.19940626.stacov.point-2016/02/16-09:19:20 
24,19940627,1994.4865,-395.1,357.8,-22.7,rrr,3.0,3.6,11.6,0.0412,Southern_California.19940627.stacov.point-2016/02/16-09:19:20 
25,19940628,1994.4892,-390.8,357.7,-20.7,rrr,3.0,3.7,11.6,0.0088,Southern_California.19940628.stacov.point-2016/02/16-09:19:20 
26,19940629,1994.492,-391.0,358.1,-22.5,rrr,2.9,3.6,11.4,0.0207,Southern_California.19940629.stacov.point-2016/02/16-09:19:21 
27,19940630,1994.4947,-388.6,357.5,-21.6,rrr,2.9,3.6,11.2,0.0511,Southern_California.19940630.stacov.point-2016/02/16-09:19:21 
28,19940701,1994.4974,-387.5,359.3,-4.9,rrr,3.0,3.6,11.6,0.0185,Southern_California.19940701.stacov.point-2016/02/16-09:19:21 
29,19940702,1994.5002,-393.0,353.6,-15.4,rrr,2.9,3.4,11.1,0.0146,Southern_California.19940702.stacov.point-2016/02/16-09:19:21 
30,19940703,1994.5029,-389.6,356.9,-19.7,rrr,2.9,3.4,11.1,0.0225,Southern_California.19940703.stacov.point-2016/02/16-09:19:21 
31,19940704,1994.5057,-388.5,355.2,-13.6,rrr,2.9,3.5,11.2,0.0547,Southern_California.19940704.stacov.point-2016/02/16-09:19:21 
32,19940705,1994.5084,-389.0,358.3,-23.9,rrr,2.9,3.4,11.1,0.0194,Southern_California.19940705.stacov.point-2016/02/16-09:19:22 
33,19940706,1994.5111,-387.3,359.7,-7.2,rrr,2.9,3.4,11.1,0.0112,Southern_California.19940706.stacov.point-2016/02/16-09:19:22 
34,19940707,1994.5139,-388.3,358.9,-15.7,rrr,2.9,3.6,11.2,0.0531,Southern_California.19940707.stacov.point-2016/02/16-09:19:22 
35,19940708,1994.5166,-388.8,358.0,-11.9,rrr,2.8,3.4,11.0,-0.0032,Southern_California.19940708.stacov.point-2016/02/16-09:19:22 
36,19940709,1994.5193,-388.5,354.4,-15.4,rrr,2.8,3.4,11.0,-0.0062,Southern_California.19940709.stacov.point-2016/02/16-09:19:22 
37,19940710,1994.5221,-388.4,356.5,-21.1,rrr,2.9,3.4,11.1,0.0092,Southern_California.19940710.stacov.point-2016/02/16-09:19:22 
38,19940711,1994.5248,-387.7,355.7,-18.6,rrr,2.9,3.6,11.2,0.048,Southern_California.19940711.stacov.point-2016/02/16-09:19:23 
39,19940712,1994.5276,-387.2,360.8,-14.8,rrr,3.0,3.6,11.8,0.0055,Southern_California.19940712.stacov.point-2016/02/16-09:19:23 
40,19940713,1994.5303,-388.2,359.4,-19.3,rrr,3.8,4.4,14.3,0.031,Southern_California.19940713.stacov.point-2016/02/16-09:19:23 
41,19940714,1994.533,-389.8,356.1,-15.4,rrr,2.8,3.4,11.0,-0.0038,Southern_California.19940714.stacov.point-2016/02/16-09:19:23 
42,19940715,1994.5358,-385.2,360.4,-9.1,rrr,2.8,3.4,10.7,0.0279,Southern_California.19940715.stacov.point-2016/02/16-09:19:23 
43,19940716,1994.5385,-385.9,361.7,-9.6,rrr,2.9,3.4,11.1,0.0066,Southern_California.19940716.stacov.point-2016/02/16-09:19:24 
44,19940717,1994.5412,-386.2,360.2,-1.7,rrr,2.9,3.6,11.4,0.028,Southern_California.19940717.stacov.point-2016/02/16-09:19:24 
45,19940718,1994.544,-386.0,356.9,-3.7,rrr,2.9,3.5,11.2,0.0501,Southern_California.19940718.stacov.point-2016/02/16-09:19:24 
46,19940719,1994.5467,-388.2,357.9,-10.6,rrr,2.8,3.4,11.0,-0.0094,Southern_California.19940719.stacov.point-2016/02/16-09:19:24 
47,19940720,1994.5495,-382.6,358.2,-11.9,rrr,2.9,3.6,11.2,0.0482,Southern_California.19940720.stacov.point-2016/02/16-09:19:24 
48,19940721,1994.5522,-383.6,357.2,-14.3,rrr,2.9,3.6,11.2,0.0444,Southern_California.19940721.stacov.point-2016/02/16-09:19:24 
49,19940722,1994.5549,-386.4,357.2,-10.7,rrr,2.9,3.5,11.5,0.0289,Southern_California.19940722.stacov.point-2016/02/16-09:19:25 
50,19940723,1994.5577,-384.8,357.7,-2.0,rrr,2.9,3.6,11.2,0.0417,Southern_California.19940723.stacov.point-2016/02/16-09:19:25 
51,19940724,1994.5604,-385.8,357.0,-6.3,rrr,2.9,3.6,11.2,0.046,Southern_California.19940724.stacov.point-2016/02/16-09:19:25 
52,19940725,1994.5632,-384.1,358.1,-4.2,rrr,2.9,3.4,11.1,0.002,Southern_California.19940725.stacov.point-2016/02/16-09:19:25 
53,19940726,1994.5659,-388.9,353.6,-19.3,rrr,2.9,3.6,11.2,0.0673,Southern_California.19940726.stacov.point-2016/02/16-09:19:25 
54,19940727,1994.5686,-388.9,355.7,-9.4,rrr,3.0,3.6,11.6,0.0426,Southern_California.19940727.stacov.point-2016/02/16-09:19:26 
55,19940728,1994.5714,-389.4,352.4,-11.9,rrr,3.2,3.8,12.4,0.0572,Southern_California.19940728.stacov.point-2016/02/16-09:19:26 
56,19940729,1994.5741,-387.0,357.6,-2.5,rrr,2.9,3.6,11.2,0.0527,Southern_California.19940729.stacov.point-2016/02/16-09:19:26 
