,DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
0,19951020,1995.8007,-267.6,267.6,-14.2,rrr,3.4,3.7,12.4,0.0111,Southern_California.19951020.stacov.point-2016/02/16-09:21:09 
1,19951021,1995.8034,-270.9,267.1,-15.7,rrr,3.2,3.7,12.1,0.0284,Southern_California.19951021.stacov.point-2016/02/16-09:21:10 
2,19951022,1995.8062,-269.6,267.8,-5.0,rrr,3.3,3.7,12.4,-0.0213,Southern_California.19951022.stacov.point-2016/02/16-09:21:10 
3,19951023,1995.8089,-269.2,265.4,-18.5,rrr,3.5,4.0,12.9,0.0275,Southern_California.19951023.stacov.point-2016/02/16-09:21:10 
4,19951024,1995.8116,-268.2,266.8,-15.0,rrr,3.3,3.6,12.2,0.0328,Southern_California.19951024.stacov.point-2016/02/16-09:21:10 
5,19951025,1995.8144,-268.7,267.2,-16.3,rrr,3.3,3.5,11.9,0.0351,Southern_California.19951025.stacov.point-2016/02/16-09:21:11 
6,19951026,1995.8171,-268.9,268.6,-11.8,rrr,3.3,3.7,12.4,-0.0023,Southern_California.19951026.stacov.point-2016/02/16-09:21:11 
7,19951027,1995.8199,-271.1,265.9,-14.0,rrr,3.3,3.7,12.8,-0.021,Southern_California.19951027.stacov.point-2016/02/16-09:21:11 
8,19951028,1995.8226,-271.1,264.3,-11.9,rrr,3.5,3.7,12.8,-0.0041,Southern_California.19951028.stacov.point-2016/02/16-09:21:11 
9,19951029,1995.8254,-269.5,265.4,-11.9,rrr,3.3,3.7,12.4,0.0653,Southern_California.19951029.stacov.point-2016/02/16-09:21:12 
10,19951030,1995.8282,-269.1,266.1,-13.7,rrr,3.3,3.7,12.2,0.0351,Southern_California.19951030.stacov.point-2016/02/16-09:21:12 
11,19951031,1995.8309,-268.5,268.5,-11.0,rrr,3.3,3.7,12.0,0.0377,Southern_California.19951031.stacov.point-2016/02/16-09:21:12 
12,19951101,1995.8337,-270.9,263.0,-3.1,rrr,3.7,4.0,14.1,0.0754,Southern_California.19951101.stacov.point-2016/02/16-09:21:12 
13,19951102,1995.8364,-268.4,263.3,-16.0,rrr,3.7,4.1,14.3,0.0457,Southern_California.19951102.stacov.point-2016/02/16-09:21:13 
14,19951103,1995.8391,-267.6,264.0,-8.8,rrr,3.9,4.5,14.9,-0.0145,Southern_California.19951103.stacov.point-2016/02/16-09:21:13 
15,19951104,1995.8419,-265.1,267.2,-24.3,rrr,4.1,4.4,15.1,0.0226,Southern_California.19951104.stacov.point-2016/02/16-09:21:13 
16,19951105,1995.8446,-267.3,266.9,-10.7,rrr,3.9,4.3,14.6,-0.0093,Southern_California.19951105.stacov.point-2016/02/16-09:21:13 
17,19951106,1995.8473,-270.2,263.6,-6.0,rrr,3.7,4.2,14.6,0.0104,Southern_California.19951106.stacov.point-2016/02/16-09:21:14 
18,19951107,1995.8501,-267.5,266.6,-5.9,rrr,3.8,4.3,14.8,0.0628,Southern_California.19951107.stacov.point-2016/02/16-09:21:14 
19,19951108,1995.8528,-266.3,268.7,-13.4,rrr,4.0,4.3,14.7,0.0024,Southern_California.19951108.stacov.point-2016/02/16-09:21:14 
20,19951109,1995.8556,-267.6,264.0,-5.6,rrr,3.8,4.2,14.2,0.0015,Southern_California.19951109.stacov.point-2016/02/16-09:21:15 
21,19951110,1995.8583,-268.8,267.3,-9.2,rrr,3.9,4.2,14.8,0.0492,Southern_California.19951110.stacov.point-2016/02/16-09:21:15 
